gene	report_path	if_candidate	hpa_images_found	hpa_location	hpa_subcell_url	hpa_image_urls	hpa_error	pae_candidate	pae_url	pae_error	changed	applied
ASB7	detail/chromatin/ASB7/ASB7-evaluation.md	True	6	Golgi apparatus (approved)	https://www.proteinatlas.org/ENSG00000183475-ASB7/subcellular	https://images.proteinatlas.org/3300/71_E1_1_blue_red_green.jpg;https://images.proteinatlas.org/3300/71_E1_2_blue_red_green.jpg;https://images.proteinatlas.org/3300/72_E1_1_blue_red_green.jpg;https://images.proteinatlas.org/3300/72_E1_2_blue_red_green.jpg;https://images.proteinatlas.org/3300/73_E1_1_blue_red_green.jpg;https://images.proteinatlas.org/3300/73_E1_2_blue_red_green.jpg		False			True	True
AUNIP	detail/chromatin/AUNIP/AUNIP-evaluation.md	True	6	Centrosome (supported)	https://www.proteinatlas.org/ENSG00000127423-AUNIP/subcellular	https://images.proteinatlas.org/28730/1773_B12_3_blue_red_green.jpg;https://images.proteinatlas.org/28730/1773_B12_5_blue_red_green.jpg;https://images.proteinatlas.org/28730/273_H5_1_blue_red_green.jpg;https://images.proteinatlas.org/28730/273_H5_2_blue_red_green.jpg;https://images.proteinatlas.org/28730/274_H5_1_blue_red_green.jpg;https://images.proteinatlas.org/28730/274_H5_2_blue_red_green.jpg		False			True	True
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000228075-BOD1L2/subcellular			False			False	False
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000123219-CENPK/subcellular			False			False	False
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000120334-CENPL/subcellular		URLError: <urlopen error EOF occurred in violation of protocol (_ssl.c:1129)>	False			False	False
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	True	6	Nucleoplasm (supported)	https://www.proteinatlas.org/ENSG00000166582-CENPV/subcellular	https://images.proteinatlas.org/42616/1773_D6_3_red_green.jpg;https://images.proteinatlas.org/42616/1773_D6_4_red_green.jpg;https://images.proteinatlas.org/42616/1910_F1_1_red_green.jpg;https://images.proteinatlas.org/42616/1910_F1_2_red_green.jpg;https://images.proteinatlas.org/42616/2264_D2_246_red_green.jpg;https://images.proteinatlas.org/42616/2264_D2_287_red_green.jpg		False			True	True
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000169689-CENPX/subcellular			False			False	False
EME2	detail/chromatin/EME2/EME2-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000197774-EME2/subcellular			False			False	False
FBXO18	detail/chromatin/FBXO18/FBXO18-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000134452-FBH1/subcellular			False			False	False
IHO1	detail/chromatin/IHO1/IHO1-evaluation.md	True	6	Nucleoplasm (approved)	https://www.proteinatlas.org/ENSG00000173421-IHO1/subcellular	https://images.proteinatlas.org/69534/1331_D12_3_red_green.jpg;https://images.proteinatlas.org/69534/1331_D12_4_red_green.jpg;https://images.proteinatlas.org/69534/1339_G4_1_red_green.jpg;https://images.proteinatlas.org/69534/1339_G4_2_red_green.jpg;https://images.proteinatlas.org/69534/1345_D12_1_red_green.jpg;https://images.proteinatlas.org/69534/1345_D12_3_red_green.jpg		False			True	True
