batch_id	gene	current_path	status	current_lines	current_chars	risk	issues	excel_sheet	excel_row	hpa_loc	hpa_score	priority
1	ACP4	detail/rejected/ACP4/ACP4-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	1030	Nucleoli|Nucleoplasm	4	1
1	ADAM33	detail/rejected/ADAM33/ADAM33-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	270		3	1
1	ADAT3	detail/rejected/ADAT3/ADAT3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	1163	Nucleoli	6	1
1	ADPRHL1	detail/rejected/ADPRHL1/ADPRHL1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	524	Nucleoplasm	6	1
1	ADPRM	detail/rejected/ADPRM/ADPRM-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	127	Nucleoli|Nucleoplasm	3	1
2	ADPRS	detail/rejected/ADPRS/ADPRS-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	1161	Nucleoplasm	6	1
2	AFMID	detail/rejected/AFMID/AFMID-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	280	Nucleoli|Nucleoli fibrillar center|Nucleoplasm	6	1
2	AGAP2	detail/rejected/AGAP2/AGAP2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	854	Nuclear bodies|Nucleoplasm	6	1
2	AGBL5	detail/rejected/AGBL5/AGBL5-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	677	Nucleoplasm	4	1
2	AGFG1	detail/rejected/AGFG1/AGFG1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	1183	Nucleoplasm	6	1
3	AGPAT4	detail/rejected/AGPAT4/AGPAT4-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	721	Nucleoplasm	3	1
3	AGTPBP1	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	153		3	1
3	AHCYL2	detail/rejected/AHCYL2/AHCYL2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	1031	Nucleoli|Nucleoli rim	4	1
3	AIRIM	detail/rejected/AIRIM/AIRIM-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	1376		3	1
3	AKAP6	detail/rejected/AKAP6/AKAP6-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	850	Nucleoli|Nucleoli fibrillar center	3	1
4	AKAP7	detail/rejected/AKAP7/AKAP7-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	268	Nucleoplasm	6	1
4	AKIP1	detail/rejected/AKIP1/AKIP1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	1304	Nucleoplasm	3	1
4	AKIRIN1	detail/rejected/AKIRIN1/AKIRIN1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	723	Nucleoplasm	3	1
4	ALG14	detail/rejected/ALG14/ALG14-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	1319	Nucleoplasm	6	1
4	ALG8	detail/rejected/ALG8/ALG8-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	724	Nuclear speckles|Nucleoplasm	3	1
5	ALKBH2	detail/rejected/ALKBH2/ALKBH2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	重新pa一下	1032		3	1
