gene	excel_sheets	has_any_report	has_scored_report	has_rejected_report	has_duplicate	duplicate_status	current_status	current_lines	current_chars	needs_new_evaluation	skip_reason
ABL1	研究很少	False	False	False	False	OK	missing	0	0	True	
ACD	研究很少	False	False	False	False	OK	missing	0	0	True	
ACLY	研究很少	False	False	False	False	OK	missing	0	0	True	
ACSS2	研究很少	False	False	False	False	OK	missing	0	0	True	
AGO2	研究很少	False	False	False	False	OK	missing	0	0	True	
AGO3	研究很少	False	False	False	False	OK	missing	0	0	True	
AHR	研究很少	False	False	False	False	OK	missing	0	0	True	
AIRE	研究很少	False	False	False	False	OK	missing	0	0	True	
AKAP11	研究很少	False	False	False	False	OK	missing	0	0	True	
AKAP13	研究很少	False	False	False	False	OK	missing	0	0	True	
ALKBH5	研究很少	False	False	False	False	OK	missing	0	0	True	
ANG	研究很少	False	False	False	False	OK	missing	0	0	True	
APEX1	研究很少	False	False	False	False	OK	missing	0	0	True	
APEX2	研究很少	False	False	False	False	OK	missing	0	0	True	
AR	研究很少	False	False	False	False	OK	missing	0	0	True	
ARX	研究很少	False	False	False	False	OK	missing	0	0	True	
ASH1L	研究很少	False	False	False	False	OK	missing	0	0	True	
ASH2L	研究很少	False	False	False	False	OK	missing	0	0	True	
ASPA	研究很少	False	False	False	False	OK	missing	0	0	True	
ASXL1	研究很少	False	False	False	False	OK	missing	0	0	True	
ATF1	研究很少	False	False	False	False	OK	missing	0	0	True	
ATF2	研究很少	False	False	False	False	OK	missing	0	0	True	
ATF3	研究很少	False	False	False	False	OK	missing	0	0	True	
ATF4	研究很少	False	False	False	False	OK	missing	0	0	True	
ATF6	研究很少	False	False	False	False	OK	missing	0	0	True	
ATG16L2	研究很少	False	False	False	False	OK	missing	0	0	True	
ATG7	研究很少	False	False	False	False	OK	missing	0	0	True	
ATM	研究很少	False	False	False	False	OK	missing	0	0	True	
ATOH1	研究很少	False	False	False	False	OK	missing	0	0	True	
ATR	研究很少	False	False	False	False	OK	missing	0	0	True	
ATRX	研究很少	False	False	False	False	OK	missing	0	0	True	
ATXN1	研究很少	False	False	False	False	OK	missing	0	0	True	
AXIN1	研究很少	False	False	False	False	OK	missing	0	0	True	
Ahcy	Sheet1	False	False	False	False	OK	missing	0	0	True	
Alyref	Sheet1	False	False	False	False	OK	missing	0	0	True	
Anp32a	Sheet1	False	False	False	False	OK	missing	0	0	True	
B9D2	Sheet1	False	False	False	False	OK	missing	0	0	True	
BACH1	研究很少	False	False	False	False	OK	missing	0	0	True	
BACH2	研究很少	False	False	False	False	OK	missing	0	0	True	
BAG1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BAG3	研究很少	False	False	False	False	OK	missing	0	0	True	
BAG6	Sheet1	False	False	False	False	OK	missing	0	0	True	
BAMBI	Sheet1	False	False	False	False	OK	missing	0	0	True	
BANF1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BANP	Sheet1	False	False	False	False	OK	missing	0	0	True	
BAP1	研究很少	False	False	False	False	OK	missing	0	0	True	
BARD1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BARX1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BATF	研究很少	False	False	False	False	OK	missing	0	0	True	
BATF2	Sheet1	False	False	False	False	OK	missing	0	0	True	
BATF3	研究很少	False	False	False	False	OK	missing	0	0	True	
BCAR1	研究很少	False	False	False	False	OK	missing	0	0	True	
BCL10	Sheet1	False	False	False	False	OK	missing	0	0	True	
BCL11B	研究很少	False	False	False	False	OK	missing	0	0	True	
BCL2L1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BCL3	Sheet1	False	False	False	False	OK	missing	0	0	True	
BCL9	Sheet1	False	False	False	False	OK	missing	0	0	True	
BCL9L	Sheet1	False	False	False	False	OK	missing	0	0	True	
BCOR	研究很少	False	False	False	False	OK	missing	0	0	True	
BCORL1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BCR	研究很少	False	False	False	False	OK	missing	0	0	True	
BECN1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BEND3	Sheet1	False	False	False	False	OK	missing	0	0	True	
BHLHE22	Sheet1	False	False	False	False	OK	missing	0	0	True	
BHLHE23	Sheet1	False	False	False	False	OK	missing	0	0	True	
BHLHE40	研究很少	False	False	False	False	OK	missing	0	0	True	
BHLHE41	Sheet1	False	False	False	False	OK	missing	0	0	True	
BHMT	Sheet1	False	False	False	False	OK	missing	0	0	True	
BIRC2	Sheet1	False	False	False	False	OK	missing	0	0	True	
BIRC3	Sheet1	False	False	False	False	OK	missing	0	0	True	
BIRC5	Sheet1	False	False	False	False	OK	missing	0	0	True	
BLM	研究很少	False	False	False	False	OK	missing	0	0	True	
BMAL1	研究很少	False	False	False	False	OK	missing	0	0	True	
BMAL2	Sheet1	False	False	False	False	OK	missing	0	0	True	
BMPR2	Sheet1	False	False	False	False	OK	missing	0	0	True	
BMX	Sheet1	False	False	False	False	OK	missing	0	0	True	
BNIP3L	Sheet1	False	False	False	False	OK	missing	0	0	True	
BORA	Sheet1	False	False	False	False	OK	missing	0	0	True	
BPTF	研究很少	False	False	False	False	OK	missing	0	0	True	
BRAP	Sheet1	False	False	False	False	OK	missing	0	0	True	
BRCA1	研究很少	False	False	False	False	OK	missing	0	0	True	
BRCA2	研究很少	False	False	False	False	OK	missing	0	0	True	
BRDT	Sheet1	False	False	False	False	OK	missing	0	0	True	
BRF1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BRMS1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BRMS1L	Sheet1	False	False	False	False	OK	missing	0	0	True	
BRPF1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BTG1	Sheet1	False	False	False	False	OK	missing	0	0	True	
BTG2	Sheet1	False	False	False	False	OK	missing	0	0	True	
BTRC	研究很少	False	False	False	False	OK	missing	0	0	True	
