gene	source	attempted	success	packet_updated	evidence_found	error	note	timestamp
RCBTB2	ALL	true	True	True	True	OK	25s	2026-06-04 01:49:21.389708
RDH14	ALL	true	True	True	True	OK	22s	2026-06-04 01:49:43.536268
REXO1	ALL	true	True	True	True	OK	21s	2026-06-04 01:50:04.840919
RFESD	ALL	true	True	True	True	OK	22s	2026-06-04 01:50:26.922586
RHBDL1	ALL	true	True	True	True	OK	26s	2026-06-04 01:50:52.798554
RIMKLA	ALL	true	True	True	False	OK	21s	2026-06-04 01:51:13.352825
RIMS3	ALL	true	True	True	True	OK	23s	2026-06-04 01:51:36.537924
RIOX1	ALL	true	True	True	True	OK	26s	2026-06-04 01:52:02.868141
RIPPLY2	ALL	true	True	True	True	OK	24s	2026-06-04 01:52:26.818535
RIT2	ALL	true	True	True	True	OK	23s	2026-06-04 01:52:49.868237
RMND5A	ALL	true	True	True	True	OK	27s	2026-06-04 01:53:17.119856
RMP64	ALL	true	True	True	True	OK	36s	2026-06-04 01:53:53.474805
ROPN1L	ALL	true	True	True	True	OK	31s	2026-06-04 01:54:24.665337
RSRC1	ALL	true	True	True	True	OK	31s	2026-06-04 01:54:55.891151
RSRP1	ALL	true	True	True	True	OK	31s	2026-06-04 01:55:27.241550
RTKN2	ALL	true	True	True	True	OK	28s	2026-06-04 01:55:54.942393
RTL6	ALL	true	True	True	True	OK	22s	2026-06-04 01:56:17.218501
RTRAF	ALL	true	True	True	True	OK	31s	2026-06-04 01:56:47.839420
RWDD3	ALL	true	True	True	True	OK	25s	2026-06-04 01:57:13.214337
SACK1A	ALL	true	True	True	False	OK	29s	2026-06-04 01:57:41.960529
SAMD10	ALL	true	True	True	True	OK	23s	2026-06-04 01:58:04.922129
SASH3	ALL	true	True	True	False	OK	26s	2026-06-04 01:58:30.749316
SBF1	ALL	true	True	True	True	OK	39s	2026-06-04 01:59:09.874324
SBNO1	ALL	true	True	True	True	OK	27s	2026-06-04 01:59:36.564632
SCAMP1	ALL	true	True	True	True	OK	24s	2026-06-04 02:00:00.764029
