gene	cat	status	length	priority	issues_count	issues
ALKBH3	chromatin	scored	8327	OK	0	OK
ARID3A	chromatin	scored	8193	OK	0	OK
ASF1A	chromatin	scored	2771	MED	1	NO_pLDDT
ASXL3	chromatin	scored	5682	OK	0	OK
AURKC	chromatin	scored	2844	MED	1	NO_pLDDT
BAHD1	chromatin	scored	5642	OK	0	OK
BOD1L2	chromatin	scored	1108	HIGH	2	NO_PDB;NO_LITERATURE
CCDC137	chromatin	scored	4275	MED	1	NO_pLDDT
CDYL	chromatin	scored	2807	MED	1	NO_pLDDT
CENPH	chromatin	scored	3952	MED	1	NO_pLDDT
CENPI	chromatin	scored	4387	MED	1	NO_pLDDT
CENPK	chromatin	scored	4571	MED	1	NO_pLDDT
CENPL	chromatin	scored	4355	OK	0	OK
CENPM	chromatin	scored	4080	MED	1	NO_pLDDT
CENPT	chromatin	scored	3938	MED	1	NO_pLDDT
CENPU	chromatin	scored	4420	MED	1	NO_pLDDT
CENPV	chromatin	scored	4829	OK	0	OK
CENPX	chromatin	scored	4533	MED	1	NO_pLDDT
CFDP1	chromatin	scored	4923	MED	1	NO_pLDDT
CRAMP1	chromatin	scored	4784	OK	0	OK
CREB3L4	chromatin	scored	7435	OK	0	OK
CSNK1A1	chromatin	scored	3140	MED	1	NO_pLDDT
DDB2	chromatin	scored	2651	MED	1	NO_pLDDT
DSN1	chromatin	scored	4160	OK	0	OK
GINS4	chromatin	scored	2764	MED	1	NO_pLDDT
HP1BP3	chromatin	scored	13266	OK	0	OK
IHO1	chromatin	scored	4316	OK	0	OK
JADE1	chromatin	scored	4922	OK	0	OK
LRWD1	chromatin	scored	6633	MED	1	NO_PDB
MACROH2A2	chromatin	scored	6226	OK	0	OK
MPHOSPH8	chromatin	scored	4868	OK	0	OK
NAP1L1	chromatin	scored	2967	MED	1	NO_pLDDT
NAP1L2	chromatin	scored	2768	MED	1	NO_pLDDT
NAP1L4	chromatin	scored	2964	MED	1	NO_pLDDT
NCAPD2	chromatin	scored	2973	MED	1	NO_pLDDT
NCAPH	chromatin	scored	2817	MED	1	NO_pLDDT
NCAPH2	chromatin	scored	2817	MED	1	NO_pLDDT
NCBP2	chromatin	scored	4604	MED	1	NO_pLDDT
NFX1	chromatin	scored	4505	MED	1	NO_pLDDT
NMD3	chromatin	scored	4205	MED	1	NO_pLDDT
NSMCE2	chromatin	scored	2833	MED	1	NO_pLDDT
PAXIP1	chromatin	scored	4833	MED	1	NO_pLDDT
PAXX	chromatin	scored	3964	MED	1	NO_pLDDT
PHF14	chromatin	scored	2815	MED	1	NO_pLDDT
PIDD1	chromatin	scored	4549	MED	1	NO_pLDDT
PLRG1	chromatin	scored	4327	MED	1	NO_pLDDT
PMF1	chromatin	scored	3975	MED	1	NO_pLDDT
PPHLN1	chromatin	scored	4233	MED	1	NO_pLDDT
PRR14	chromatin	scored	3833	MED	1	NO_pLDDT
PRR7	chromatin	scored	3991	MED	1	NO_pLDDT
PRRC2A	chromatin	scored	3984	MED	1	NO_pLDDT
PTBP3	chromatin	scored	4253	MED	1	NO_pLDDT
PURB	chromatin	scored	3975	MED	1	NO_pLDDT
PUS1	chromatin	scored	4253	MED	1	NO_pLDDT
QRICH1	chromatin	scored	4077	MED	1	NO_pLDDT
QSER1	chromatin	scored	3866	MED	1	NO_pLDDT
REC114	chromatin	scored	3982	MED	1	NO_pLDDT
RTF2	chromatin	scored	3838	MED	1	NO_pLDDT
SAMD1	chromatin	scored	6332	OK	0	OK
SEM1	chromatin	scored	4197	MED	1	NO_pLDDT
SEPHS1	chromatin	scored	4155	MED	1	NO_pLDDT
SETMAR	chromatin	scored	2775	MED	1	NO_pLDDT
SGF29	chromatin	scored	4326	MED	1	NO_pLDDT
SGTA	chromatin	scored	4201	MED	1	NO_pLDDT
SHLD1	chromatin	scored	6394	OK	0	OK
SLFN5	chromatin	scored	4494	MED	1	NO_pLDDT
SLTM	chromatin	scored	4242	MED	1	NO_pLDDT
SMU1	chromatin	scored	4382	MED	1	NO_pLDDT
SPC24	chromatin	scored	4008	MED	1	NO_pLDDT
SPC25	chromatin	scored	3983	MED	1	NO_pLDDT
SPINDOC	chromatin	scored	4454	MED	1	NO_pLDDT
SSBP2	chromatin	scored	4043	MED	1	NO_pLDDT
STAG3	chromatin	scored	2834	MED	1	NO_pLDDT
SUPT16H	chromatin	scored	5322	MED	1	NO_pLDDT
SYCE1	chromatin	scored	4003	MED	1	NO_pLDDT
SYCE2	chromatin	scored	3970	MED	1	NO_pLDDT
TADA2A	chromatin	scored	4607	MED	1	NO_pLDDT
TASOR2	chromatin	scored	3855	MED	1	NO_pLDDT
TELO2	chromatin	scored	4440	MED	1	NO_pLDDT
TEX15	chromatin	scored	4013	MED	1	NO_pLDDT
THAP4	chromatin	scored	4169	MED	1	NO_pLDDT
TOX4	chromatin	scored	4204	MED	1	NO_pLDDT
UFL1	chromatin	scored	2860	MED	1	NO_pLDDT
UVSSA	chromatin	scored	4140	MED	1	NO_pLDDT
WDR77	chromatin	scored	4230	MED	1	NO_pLDDT
ZHX1	chromatin	scored	4437	MED	1	NO_pLDDT
ANKRD2	nuclear-body	scored	6059	OK	0	OK
DAPK3	nuclear-body	scored	4625	OK	0	OK
EAF1	nuclear-body	scored	3949	OK	0	OK
FANCL	nuclear-body	scored	3912	OK	0	OK
FOXJ2	nuclear-body	scored	4957	OK	0	OK
GEMIN6	nuclear-body	scored	4786	MED	1	NO_PDB
GMEB2	nuclear-body	scored	5023	MED	1	NO_PDB
GNB1L	nuclear-body	scored	4307	HIGH	2	NO_PDB;NO_LITERATURE
GTSF1	nuclear-body	scored	4217	HIGH	2	NO_PDB;NO_LITERATURE
KBTBD4	nuclear-body	scored	4788	MED	1	NO_PDB
MESD	nuclear-body	scored	3839	MED	1	NO_PDB
NAA15	nuclear-body	scored	4736	MED	1	NO_pLDDT
NUTM2B	nuclear-body	scored	3347	OK	0	OK
PLXDC2	nuclear-body	scored	3561	OK	0	OK
PRRC2B	nuclear-body	scored	3762	OK	0	OK
PSTK	nuclear-body	scored	3283	OK	0	OK
SHCBP1	nuclear-body	scored	6086	MED	1	NO_LITERATURE
SP140	nuclear-body	scored	4732	MED	1	NO_pLDDT
THAP11	nuclear-body	scored	4830	MED	1	NO_pLDDT
THAP7	nuclear-body	scored	4824	MED	1	NO_pLDDT
TMA7	nuclear-body	scored	4013	OK	0	OK
TRIM8	nuclear-body	scored	2999	MED	1	NO_pLDDT
TSC22D1	nuclear-body	scored	4202	OK	0	OK
WDFY3	nuclear-body	scored	5012	MED	1	NO_pLDDT
WRAP53	nuclear-body	scored	4824	MED	1	NO_pLDDT
AARSD1	nuclear-envelope	scored	5221	OK	0	OK
AGPAT3	nuclear-envelope	scored	4664	MED	1	NO_PUBMED_COUNT
AHCTF1	nuclear-envelope	scored	5629	OK	0	OK
AMPD3	nuclear-envelope	scored	3461	MED	1	NO_PDB
ANKRD17	nuclear-envelope	scored	7749	OK	0	OK
ARL6IP6	nuclear-envelope	scored	5035	OK	0	OK
CERS5	nuclear-envelope	scored	3382	OK	0	OK
CHMP7	nuclear-envelope	scored	6894	OK	0	OK
EOGT	nuclear-envelope	scored	3381	OK	0	OK
GPKOW	nuclear-envelope	scored	4261	HIGH	2	NO_PDB;NO_LITERATURE
LEMD2	nuclear-envelope	scored	5159	MED	1	NO_PDB
LEMD3	nuclear-envelope	scored	5401	MED	1	NO_PDB
NANOGP8	nuclear-envelope	scored	4502	MED	1	NO_pLDDT
NDC1	nuclear-envelope	scored	4369	MED	1	NO_pLDDT
NEMP1	nuclear-envelope	scored	4154	MED	1	NO_pLDDT
OTUD5	nuclear-envelope	scored	4390	MED	1	NO_pLDDT
PHC1	nuclear-envelope	scored	4507	MED	1	NO_pLDDT
RESF1	nuclear-envelope	scored	4058	MED	1	NO_pLDDT
SAMD4B	nuclear-envelope	scored	4049	MED	1	NO_pLDDT
SAMSN1	nuclear-envelope	scored	4447	MED	1	NO_pLDDT
SUPT6H	nuclear-envelope	scored	4818	MED	1	NO_pLDDT
SURF4	nuclear-envelope	scored	3504	OK	0	OK
TNFAIP2	nuclear-envelope	scored	3433	OK	0	OK
YAF2	nuclear-envelope	scored	4049	MED	1	NO_pLDDT
ANKRD55	nuclear-speckle	scored	5544	MED	1	NO_PUBMED_COUNT
AP5Z1	nuclear-speckle	scored	4987	OK	0	OK
ARGLU1	nuclear-speckle	scored	4944	MED	1	NO_LITERATURE
ATOH8	nuclear-speckle	scored	4531	OK	0	OK
ATXN7L3	nuclear-speckle	scored	9514	OK	0	OK
C12orf57	nuclear-speckle	scored	6867	OK	0	OK
CASC3	nuclear-speckle	scored	4570	MED	1	NO_pLDDT
CBY1	nuclear-speckle	scored	1542	OK	0	OK
CCDC85C	nuclear-speckle	scored	794	HIGH	2	NO_PDB;NO_LITERATURE
DENND1B	nuclear-speckle	scored	3463	OK	0	OK
