gene	file_count	paths	categories
ARL2	2	detail/rejected/ARL2/ARL2-evaluation.md, detail/nucleoplasm/ARL2/ARL2-evaluation.md	rejected, nucleoplasm
ARL3	2	detail/rejected/ARL3/ARL3-evaluation.md, detail/nucleoplasm/ARL3/ARL3-evaluation.md	rejected, nucleoplasm
BBX	2	detail/rejected/BBX/BBX-evaluation.md, detail/nucleoplasm/BBX/BBX-evaluation.md	rejected, nucleoplasm
CASC3	2	detail/nucleus-cytoplasm/CASC3/CASC3-evaluation.md, detail/nuclear-speckle/CASC3/CASC3-evaluation.md	nucleus-cytoplasm, nuclear-speckle
CCAR1	2	detail/nucleus-cytoplasm/CCAR1/CCAR1-evaluation.md, detail/nucleoplasm/CCAR1/CCAR1-evaluation.md	nucleus-cytoplasm, nucleoplasm
CCDC137	2	detail/nucleoplasm/CCDC137/CCDC137-evaluation.md, detail/chromatin/CCDC137/CCDC137-evaluation.md	nucleoplasm, chromatin
CCDC85C	2	detail/nucleoplasm/CCDC85C/CCDC85C-evaluation.md, detail/nuclear-speckle/CCDC85C/CCDC85C-evaluation.md	nucleoplasm, nuclear-speckle
CDAN1	2	detail/nucleus-cytoplasm/CDAN1/CDAN1-evaluation.md, detail/nucleoplasm/CDAN1/CDAN1-evaluation.md	nucleus-cytoplasm, nucleoplasm
CDC14A	2	detail/nucleus-cytoplasm/CDC14A/CDC14A-evaluation.md, detail/nucleoplasm/CDC14A/CDC14A-evaluation.md	nucleus-cytoplasm, nucleoplasm
CDX4	2	detail/nucleus-cytoplasm/CDX4/CDX4-evaluation.md, detail/nucleoplasm/CDX4/CDX4-evaluation.md	nucleus-cytoplasm, nucleoplasm
CEBPG	2	detail/nucleus-cytoplasm/CEBPG/CEBPG-evaluation.md, detail/nucleoplasm/CEBPG/CEBPG-evaluation.md	nucleus-cytoplasm, nucleoplasm
CENPH	2	detail/nucleoplasm/CENPH/CENPH-evaluation.md, detail/chromatin/CENPH/CENPH-evaluation.md	nucleoplasm, chromatin
CENPI	2	detail/nucleoplasm/CENPI/CENPI-evaluation.md, detail/chromatin/CENPI/CENPI-evaluation.md	nucleoplasm, chromatin
CENPK	2	detail/nucleoplasm/CENPK/CENPK-evaluation.md, detail/chromatin/CENPK/CENPK-evaluation.md	nucleoplasm, chromatin
CENPM	2	detail/nucleoplasm/CENPM/CENPM-evaluation.md, detail/chromatin/CENPM/CENPM-evaluation.md	nucleoplasm, chromatin
CENPT	2	detail/nucleoplasm/CENPT/CENPT-evaluation.md, detail/chromatin/CENPT/CENPT-evaluation.md	nucleoplasm, chromatin
CENPU	2	detail/nucleoplasm/CENPU/CENPU-evaluation.md, detail/chromatin/CENPU/CENPU-evaluation.md	nucleoplasm, chromatin
CENPX	2	detail/nucleoplasm/CENPX/CENPX-evaluation.md, detail/chromatin/CENPX/CENPX-evaluation.md	nucleoplasm, chromatin
CHMP1A	2	detail/nucleus-cytoplasm/CHMP1A/CHMP1A-evaluation.md, detail/nucleoplasm/CHMP1A/CHMP1A-evaluation.md	nucleus-cytoplasm, nucleoplasm
CHP2	2	detail/nucleus-cytoplasm/CHP2/CHP2-evaluation.md, detail/nucleoplasm/CHP2/CHP2-evaluation.md	nucleus-cytoplasm, nucleoplasm
CIPC	2	detail/nucleus-cytoplasm/CIPC/CIPC-evaluation.md, detail/nucleoplasm/CIPC/CIPC-evaluation.md	nucleus-cytoplasm, nucleoplasm
CLASP1	2	detail/rejected/CLASP1/CLASP1-evaluation.md, detail/nucleoplasm/CLASP1/CLASP1-evaluation.md	rejected, nucleoplasm
CLNS1A	2	detail/nucleus-cytoplasm/CLNS1A/CLNS1A-evaluation.md, detail/nucleoplasm/CLNS1A/CLNS1A-evaluation.md	nucleus-cytoplasm, nucleoplasm
CRTC3	2	detail/nucleus-cytoplasm/CRTC3/CRTC3-evaluation.md, detail/nucleoplasm/CRTC3/CRTC3-evaluation.md	nucleus-cytoplasm, nucleoplasm
CSRP1	2	detail/nucleus-cytoplasm/CSRP1/CSRP1-evaluation.md, detail/nucleoplasm/CSRP1/CSRP1-evaluation.md	nucleus-cytoplasm, nucleoplasm
CSRP2	2	detail/nucleus-cytoplasm/CSRP2/CSRP2-evaluation.md, detail/nucleoplasm/CSRP2/CSRP2-evaluation.md	nucleus-cytoplasm, nucleoplasm
CSRP3	2	detail/nucleus-cytoplasm/CSRP3/CSRP3-evaluation.md, detail/nucleoplasm/CSRP3/CSRP3-evaluation.md	nucleus-cytoplasm, nucleoplasm
CSTF2T	2	detail/nucleus-cytoplasm/CSTF2T/CSTF2T-evaluation.md, detail/nucleoplasm/CSTF2T/CSTF2T-evaluation.md	nucleus-cytoplasm, nucleoplasm
CTNNBL1	2	detail/nucleus-cytoplasm/CTNNBL1/CTNNBL1-evaluation.md, detail/nucleoplasm/CTNNBL1/CTNNBL1-evaluation.md	nucleus-cytoplasm, nucleoplasm
CUTC	2	detail/nucleus-cytoplasm/CUTC/CUTC-evaluation.md, detail/nucleoplasm/CUTC/CUTC-evaluation.md	nucleus-cytoplasm, nucleoplasm
FOXL1	2	detail/rejected/FOXL1/FOXL1-evaluation.md, detail/nucleolus/FOXL1/FOXL1-evaluation.md	rejected, nucleolus
GNAI1	2	detail/rejected/GNAI1/GNAI1-evaluation.md, detail/nucleolus/GNAI1/GNAI1-evaluation.md	rejected, nucleolus
HASPIN	2	detail/rejected/HASPIN/HASPIN-evaluation.md, detail/nucleoplasm/HASPIN/HASPIN-evaluation.md	rejected, nucleoplasm
HAT1	2	detail/rejected/HAT1/HAT1-evaluation.md, detail/nucleoplasm/HAT1/HAT1-evaluation.md	rejected, nucleoplasm
HSF4	2	detail/rejected/HSF4/HSF4-evaluation.md, detail/nucleoplasm/HSF4/HSF4-evaluation.md	rejected, nucleoplasm
MEOX2	2	detail/rejected/MEOX2/MEOX2-evaluation.md, detail/nucleoplasm/MEOX2/MEOX2-evaluation.md	rejected, nucleoplasm
NEK6	2	detail/rejected/NEK6/NEK6-evaluation.md, detail/nucleoplasm/NEK6/NEK6-evaluation.md	rejected, nucleoplasm
PLD4	2	detail/nucleus-cytoplasm/PLD4/PLD4-evaluation.md, detail/nucleoplasm/PLD4/PLD4-evaluation.md	nucleus-cytoplasm, nucleoplasm
PLK3	2	detail/rejected/PLK3/PLK3-evaluation.md, detail/nucleolus/PLK3/PLK3-evaluation.md	rejected, nucleolus
PLK4	2	detail/rejected/PLK4/PLK4-evaluation.md, detail/nucleolus/PLK4/PLK4-evaluation.md	rejected, nucleolus
PPM1A	2	detail/rejected/PPM1A/PPM1A-evaluation.md, detail/nucleoplasm/PPM1A/PPM1A-evaluation.md	rejected, nucleoplasm
PRDM11	2	detail/nucleus-cytoplasm/PRDM11/PRDM11-evaluation.md, detail/nucleoplasm/PRDM11/PRDM11-evaluation.md	nucleus-cytoplasm, nucleoplasm
SEBOX	2	detail/nucleus-cytoplasm/SEBOX/SEBOX-evaluation.md, detail/nucleoplasm/SEBOX/SEBOX-evaluation.md	nucleus-cytoplasm, nucleoplasm
SENP2	2	detail/rejected/SENP2/SENP2-evaluation.md, detail/nucleoplasm/SENP2/SENP2-evaluation.md	rejected, nucleoplasm
SENP3	2	detail/rejected/SENP3/SENP3-evaluation.md, detail/nucleolus/SENP3/SENP3-evaluation.md	rejected, nucleolus
SMYD2	2	detail/rejected/SMYD2/SMYD2-evaluation.md, detail/nucleoplasm/SMYD2/SMYD2-evaluation.md	rejected, nucleoplasm
