gene	category	status	lines	risk	modified_today	issues	issue_count
C20orf173	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C20orf194	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C20orf202	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C20orf96	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C21orf58	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C22orf15	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C22orf23	rejected	rejected	10	CRITICAL	True	SHORT(10lines); PACKET_ERR; NO_UNIPROT; NO_PUBMED; NO_PLDDT; NO_REASON; NO_HPA	7
C22orf39	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NO_UNIPROT; NO_REASON; NO_HPA	5
C22orf42	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NO_UNIPROT; NO_REASON; NO_HPA	5
C2CD3	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C2orf68	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C2orf72	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C2orf78	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C2orf81	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C3orf20	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C3orf33	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C3orf62	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C3orf80	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C4orf19	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C4orf33	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C4orf45	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C4orf47	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C4orf51	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C5orf34	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
C5orf46	rejected	rejected	10	CRITICAL	True	SHORT(10lines); PACKET_ERR; NO_UNIPROT; NO_PUBMED; NO_PLDDT; NO_REASON; NO_HPA	7
C5orf60	rejected	rejected	10	CRITICAL	True	SHORT(10lines); NO_NUKE_EV; NUKE_0_10; NO_REASON; NO_HPA	5
