gene	category	status	lines	is_thin	is_one_liner	has_packet_error	has_template	risk	missing_fields	issues
C5orf46	rejected	rejected	11	True	False	True	False	CRITICAL	HPA,PubMed,AlphaFold/pLDDT,PDB,PPI	THIN,PACKET_ERROR,THIN_REJECTED
IQCF3	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM110A	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
PRELID3B	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
LZIC	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TGDS	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BCL9L	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM199X	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
LEKR1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TSACC	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CCDC34	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TRMT10B	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CSTA	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
SATL1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TSTD2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM90A15	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TTC39C	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CIP2A	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
