gene	current_path	status	lines	final_score	nuclear_score	hpa_nuclear	uniprot_nuclear	go_nuclear	chromatin_or_rna_or_dna_related	pubmed_relevant	ppi_relevant	structure_relevant	rejection_reason	risk_level	recommended_action	reason
ABCA13	detail/rejected/ABCA13/ABCA13-evaluation.md	rejected	158	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
ABCA17	detail/rejected/ABCA17/ABCA17-evaluation.md	rejected	155	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
ABCA2	detail/rejected/ABCA2/ABCA2-evaluation.md	rejected	155	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
ABCA3	detail/rejected/ABCA3/ABCA3-evaluation.md	rejected	155	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
ACP4	detail/rejected/ACP4/ACP4-evaluation.md	rejected	154	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
ADAM33	detail/rejected/ADAM33/ADAM33-evaluation.md	rejected	168	N/A	N/A	False	False	False	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
ADPRHL1	detail/rejected/ADPRHL1/ADPRHL1-evaluation.md	rejected	148	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
AFMID	detail/rejected/AFMID/AFMID-evaluation.md	rejected	173	N/A	N/A	False	True	True	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
AGPAT4	detail/rejected/AGPAT4/AGPAT4-evaluation.md	rejected	114	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
AGTPBP1	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	rejected	114	N/A	N/A	False	True	True	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
AIRIM	detail/rejected/AIRIM/AIRIM-evaluation.md	rejected	111	N/A	N/A	False	True	True	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
AKAP6	detail/rejected/AKAP6/AKAP6-evaluation.md	rejected	129	N/A	N/A	False	True	True	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
