gene	file_count	paths	categories
MIOS	2	detail/rejected/MIOS/MIOS-evaluation.md, detail/nucleoplasm/MIOS/MIOS-evaluation.md	rejected, nucleoplasm
MIS18A	2	detail/rejected/MIS18A/MIS18A-evaluation.md, detail/nucleoplasm/MIS18A/MIS18A-evaluation.md	rejected, nucleoplasm
MLIP	2	detail/rejected/MLIP/MLIP-evaluation.md, detail/nuclear-envelope/MLIP/MLIP-evaluation.md	rejected, nuclear-envelope
MLXIPL	2	detail/rejected/MLXIPL/MLXIPL-evaluation.md, detail/nucleoplasm/MLXIPL/MLXIPL-evaluation.md	rejected, nucleoplasm
MMS19	2	detail/rejected/MMS19/MMS19-evaluation.md, detail/nucleoplasm/MMS19/MMS19-evaluation.md	rejected, nucleoplasm
MMS22L	2	detail/rejected/MMS22L/MMS22L-evaluation.md, detail/nucleoplasm/MMS22L/MMS22L-evaluation.md	rejected, nucleoplasm
MNS1	2	detail/rejected/MNS1/MNS1-evaluation.md, detail/nuclear-speckle/MNS1/MNS1-evaluation.md	rejected, nuclear-speckle
MOB1A	2	detail/rejected/MOB1A/MOB1A-evaluation.md, detail/nucleolus/MOB1A/MOB1A-evaluation.md	rejected, nucleolus
MOB1B	2	detail/rejected/MOB1B/MOB1B-evaluation.md, detail/nucleolus/MOB1B/MOB1B-evaluation.md	rejected, nucleolus
MOB2	2	detail/rejected/MOB2/MOB2-evaluation.md, detail/nucleolus/MOB2/MOB2-evaluation.md	rejected, nucleolus
MOCS2	2	detail/rejected/MOCS2/MOCS2-evaluation.md, detail/nuclear-speckle/MOCS2/MOCS2-evaluation.md	rejected, nuclear-speckle
MON2	2	detail/rejected/MON2/MON2-evaluation.md, detail/nucleolus/MON2/MON2-evaluation.md	rejected, nucleolus
MORN2	2	detail/rejected/MORN2/MORN2-evaluation.md, detail/nucleoplasm/MORN2/MORN2-evaluation.md	rejected, nucleoplasm
MOSPD1	2	detail/rejected/MOSPD1/MOSPD1-evaluation.md, detail/nucleoplasm/MOSPD1/MOSPD1-evaluation.md	rejected, nucleoplasm
MPHOSPH6	2	detail/rejected/MPHOSPH6/MPHOSPH6-evaluation.md, detail/nucleolus/MPHOSPH6/MPHOSPH6-evaluation.md	rejected, nucleolus
MPHOSPH9	2	detail/rejected/MPHOSPH9/MPHOSPH9-evaluation.md, detail/nucleoplasm/MPHOSPH9/MPHOSPH9-evaluation.md	rejected, nucleoplasm
MPND	2	detail/rejected/MPND/MPND-evaluation.md, detail/nucleoplasm/MPND/MPND-evaluation.md	rejected, nucleoplasm
MPPE1	2	detail/rejected/MPPE1/MPPE1-evaluation.md, detail/nucleoplasm/MPPE1/MPPE1-evaluation.md	rejected, nucleoplasm
MRFAP1	2	detail/rejected/MRFAP1/MRFAP1-evaluation.md, detail/nucleoplasm/MRFAP1/MRFAP1-evaluation.md	rejected, nucleoplasm
MRGBP	2	detail/rejected/MRGBP/MRGBP-evaluation.md, detail/nucleoplasm/MRGBP/MRGBP-evaluation.md	rejected, nucleoplasm
MRI1	2	detail/rejected/MRI1/MRI1-evaluation.md, detail/nucleolus/MRI1/MRI1-evaluation.md	rejected, nucleolus
MRPL44	2	detail/nuclear-body/MRPL44/MRPL44-evaluation.md, detail/rejected/MRPL44/MRPL44-evaluation.md	nuclear-body, rejected
NEXMIF	2	detail/rejected/NEXMIF/NEXMIF-evaluation.md, detail/nucleoplasm/NEXMIF/NEXMIF-evaluation.md	rejected, nucleoplasm
NFATC2IP	2	detail/rejected/NFATC2IP/NFATC2IP-evaluation.md, detail/nucleoplasm/NFATC2IP/NFATC2IP-evaluation.md	rejected, nucleoplasm
NFKBIL1	2	detail/rejected/NFKBIL1/NFKBIL1-evaluation.md, detail/nucleoplasm/NFKBIL1/NFKBIL1-evaluation.md	rejected, nucleoplasm
NFU1	2	detail/rejected/NFU1/NFU1-evaluation.md, detail/nucleoplasm/NFU1/NFU1-evaluation.md	rejected, nucleoplasm
NGDN	2	detail/rejected/NGDN/NGDN-evaluation.md, detail/nucleolus/NGDN/NGDN-evaluation.md	rejected, nucleolus
NHEJ1	2	detail/rejected/NHEJ1/NHEJ1-evaluation.md, detail/nucleolus/NHEJ1/NHEJ1-evaluation.md	rejected, nucleolus
NHLRC1	2	detail/rejected/NHLRC1/NHLRC1-evaluation.md, detail/nucleoplasm/NHLRC1/NHLRC1-evaluation.md	rejected, nucleoplasm
NHLRC2	2	detail/rejected/NHLRC2/NHLRC2-evaluation.md, detail/nucleoplasm/NHLRC2/NHLRC2-evaluation.md	rejected, nucleoplasm
NHSL1	2	detail/rejected/NHSL1/NHSL1-evaluation.md, detail/nuclear-envelope/NHSL1/NHSL1-evaluation.md	rejected, nuclear-envelope
NIF3L1	2	detail/rejected/NIF3L1/NIF3L1-evaluation.md, detail/nucleoplasm/NIF3L1/NIF3L1-evaluation.md	rejected, nucleoplasm
NIPAL3	2	detail/rejected/NIPAL3/NIPAL3-evaluation.md, detail/nucleoplasm/NIPAL3/NIPAL3-evaluation.md	rejected, nucleoplasm
NKIRAS2	2	detail/rejected/NKIRAS2/NKIRAS2-evaluation.md, detail/nucleoplasm/NKIRAS2/NKIRAS2-evaluation.md	rejected, nucleoplasm
NLE1	2	detail/rejected/NLE1/NLE1-evaluation.md, detail/nucleolus/NLE1/NLE1-evaluation.md	rejected, nucleolus
NME7	2	detail/rejected/NME7/NME7-evaluation.md, detail/nucleoplasm/NME7/NME7-evaluation.md	rejected, nucleoplasm
NME8	2	detail/nuclear-body/NME8/NME8-evaluation.md, detail/rejected/NME8/NME8-evaluation.md	nuclear-body, rejected
NMRK1	2	detail/rejected/NMRK1/NMRK1-evaluation.md, detail/nucleoplasm/NMRK1/NMRK1-evaluation.md	rejected, nucleoplasm
