gene	has_hpa_url	hpa_urls	local_imgs	total_img_tags	broken	broken_srcs
AAAS	False			0	False	
ABCA13	True	https://images.proteinatlas.org/63601/1443_H3_1_selected.jpg		1	False	
ACADS	False			0	False	
ACTR8	True	https://images.proteinatlas.org/65236/1202_C11_2_selected.jpg		1	False	
ACTRT3	True	https://images.proteinatlas.org/35817/442_G5_3_selected.jpg		1	False	
ADCK2	True	https://images.proteinatlas.org/36036/408_E11_2_selected.jpg		1	False	
ADNP	False			0	False	
ADPGK	True	https://images.proteinatlas.org/58525/1178_D9_4_selected.jpg		1	False	
AGBL5	True	https://images.proteinatlas.org/30981/1773_G1_4_selected.jpg		1	False	
AGTPBP1	True	https://images.proteinatlas.org/71094/1931_B6_1_selected.jpg		1	False	
AHI1	False			0	False	
AK5	False			0	False	
AK6	True	https://images.proteinatlas.org/70217/1893_L15_29_cr5bc333a09d34e_selected.jpg		1	False	
AKAP9	False			0	False	
AKNA	True	https://images.proteinatlas.org/52367/1262_B3_3_selected.jpg		1	False	
ALDH8A1	True	https://images.proteinatlas.org/55414/1405_C9_3_selected.jpg		1	False	
ALMS1	False			0	False	
ALPK1	False			0	False	
AMN1	True	https://images.proteinatlas.org/62290/1170_A5_4_selected.jpg		1	False	
ANKAR	True	https://images.proteinatlas.org/36168/434_E8_2_selected.jpg		1	False	
ANKRD31	True	https://images.proteinatlas.org/38028/2058_H3_5_selected.jpg		1	False	
ANKRD45	True	https://images.proteinatlas.org/31656/1834_F6_1_selected.jpg		1	False	
ANP32A	False			0	False	
ANP32B	False			0	False	
ANP32E	False			0	False	
APEX1	False			0	False	
APOBR	True	https://images.proteinatlas.org/79642/2061_E5_6_selected.jpg		1	False	
ARHGAP29	True	https://images.proteinatlas.org/26534/290_B4_2_selected.jpg		1	False	
ARHGAP40	True	https://images.proteinatlas.org/42840/571_B12_1_selected.jpg		1	False	
ARHGEF38	True	https://images.proteinatlas.org/45484/1362_C6_1_selected.jpg		1	False	
ARL2BP	True	https://images.proteinatlas.org/43066/504_A8_1_selected.jpg		1	False	
ARL3	False			0	False	
ARL9	True	https://images.proteinatlas.org/58135/1901_G21_2_selected.jpg		1	False	
ASAP1	False			0	False	
ATAD5	True	https://images.proteinatlas.org/66823/1802_B10_2_selected.jpg		1	False	
ATF3	False			0	False	
ATG5	False			0	False	
ATP11B	True	https://images.proteinatlas.org/36237/393_B4_1_selected.jpg		1	False	
AUH	False			0	False	
AUNIP	True	https://images.proteinatlas.org/28730/273_H5_2_selected.jpg		1	False	
AURKA	False			0	False	
AVEN	False			0	False	
B9D2	True	https://images.proteinatlas.org/42229/2166_H11_8_selected.jpg		1	False	
BAG2	False			0	False	
BAG5	False			0	False	
BBIP1	True	https://images.proteinatlas.org/75343/2123_G10_6_selected.jpg		1	False	
BBOF1	True	https://images.proteinatlas.org/3136/39_F8_1_selected.jpg		1	False	
BCAR3	True	https://images.proteinatlas.org/14858/121_F6_2_selected.jpg		1	False	
BCAS2	True	https://images.proteinatlas.org/67881/1754_B11_18_cr57f3d18739590_selected.jpg		1	False	
