gene	hpa_url	source_centrosome	source_centriolar_satellite	source_both	hpa_location_text	hpa_reliability	hpa_evidence_text	seed_source_urls	fetched_at	fetch_method	notes
AAAS	https://www.proteinatlas.org/ENSG00000094914-AAAS	TRUE	FALSE	FALSE	Centrosome/Centriolar satellite		Evidence at protein level	https://www.proteinatlas.org/search/subcell_location%3ACentrosome	2026-06-08T19:28:03.621723	HPA JSON API	
ABCA13	https://www.proteinatlas.org/ENSG00000179869-ABCA13	TRUE	FALSE	FALSE	Centrosome/Centriolar satellite		Evidence at transcript level	https://www.proteinatlas.org/search/subcell_location%3ACentrosome	2026-06-08T19:28:03.621733	HPA JSON API	
ACADS	https://www.proteinatlas.org/ENSG00000122971-ACADS	TRUE	FALSE	FALSE	Centrosome/Centriolar satellite		Evidence at protein level	https://www.proteinatlas.org/search/subcell_location%3ACentrosome	2026-06-08T19:28:03.621735	HPA JSON API	
ACTR8	https://www.proteinatlas.org/ENSG00000113812-ACTR8	TRUE	FALSE	FALSE	Centrosome/Centriolar satellite		Evidence at protein level	https://www.proteinatlas.org/search/subcell_location%3ACentrosome	2026-06-08T19:28:03.621736	HPA JSON API	
ACTRT3	https://www.proteinatlas.org/ENSG00000184378-ACTRT3	TRUE	FALSE	FALSE	Centrosome/Centriolar satellite		Evidence at protein level	https://www.proteinatlas.org/search/subcell_location%3ACentrosome	2026-06-08T19:28:03.621737	HPA JSON API	
ADCK2	https://www.proteinatlas.org/ENSG00000133597-ADCK2	TRUE	FALSE	FALSE	Centrosome/Centriolar satellite		Evidence at protein level	https://www.proteinatlas.org/search/subcell_location%3ACentrosome	2026-06-08T19:28:03.621739	HPA JSON API	
ADNP	https://www.proteinatlas.org/ENSG00000101126-ADNP	TRUE	FALSE	FALSE	Centrosome/Centriolar satellite		Evidence at protein level	https://www.proteinatlas.org/search/subcell_location%3ACentrosome	2026-06-08T19:28:03.621740	HPA JSON API	
ADPGK	https://www.proteinatlas.org/ENSG00000159322-ADPGK	TRUE	FALSE	FALSE	Centrosome/Centriolar satellite		Evidence at protein level	https://www.proteinatlas.org/search/subcell_location%3ACentrosome	2026-06-08T19:28:03.621741	HPA JSON API	
AGBL5		FALSE	TRUE	FALSE	Centrosome/Centriolar satellite			https://www.proteinatlas.org/search/subcell_location%3ACentriolar+satellite	2026-06-08T19:28:03.621742	HPA JSON API	
AGTPBP1		FALSE	TRUE	FALSE	Centrosome/Centriolar satellite			https://www.proteinatlas.org/search/subcell_location%3ACentriolar+satellite	2026-06-08T19:28:03.621744	HPA JSON API	
