gene,protein_full_name,uniprot_id,status,final_centrosome_score,centrosome_evidence_score,pubmed_score,ppi_score,structure_domain_score,novelty_specificity_score,pubmed_strict_count,pubmed_broad_count,pubmed_display_count,source_centrosome,source_centriolar_satellite,source_both,hpa_location_text,has_if_image,has_hpa_image_url,has_string_ppi,ppi_status,has_structure_domain,in_main_atlas,main_status,main_category,report_path,docs_report_path,has_hpa_seed,has_pubmed,has_ppi_humanppi,has_structure_domain,manual_review,te_relevance_score
CEP192,,,centrosome_eliminated,75.0,20.0,0,18.0,5.0,6.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/CEP192/CEP192-centrosome-evaluation.md,docs/centrosome/reports/CEP192.html,False,False,True,True,False,0
CETN2,,,centrosome_eliminated,74.0,19.0,0,14.0,10.0,7.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/CETN2/CETN2-centrosome-evaluation.md,docs/centrosome/reports/CETN2.html,False,False,True,True,False,0
ACTRT3,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/ACTRT3/ACTRT3-centrosome-evaluation.md,docs/centrosome/reports/ACTRT3.html,False,False,True,True,False,0
ADCK2,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/ADCK2/ADCK2-centrosome-evaluation.md,docs/centrosome/reports/ADCK2.html,False,False,True,True,False,0
ANKRD45,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/ANKRD45/ANKRD45-centrosome-evaluation.md,docs/centrosome/reports/ANKRD45.html,False,False,True,True,False,0
C11orf80,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/C11orf80/C11orf80-centrosome-evaluation.md,docs/centrosome/reports/C11orf80.html,False,False,True,True,False,0
CCDC74A,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/CCDC74A/CCDC74A-centrosome-evaluation.md,docs/centrosome/reports/CCDC74A.html,False,False,True,True,False,0
CCDC74B,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/CCDC74B/CCDC74B-centrosome-evaluation.md,docs/centrosome/reports/CCDC74B.html,False,False,True,True,False,0
CEP85,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/CEP85/CEP85-centrosome-evaluation.md,docs/centrosome/reports/CEP85.html,False,False,True,True,False,0
CLHC1,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/CLHC1/CLHC1-centrosome-evaluation.md,docs/centrosome/reports/CLHC1.html,False,False,True,True,False,0
DNAJC28,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/DNAJC28/DNAJC28-centrosome-evaluation.md,docs/centrosome/reports/DNAJC28.html,False,False,True,True,False,0
DNAL4,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/DNAL4/DNAL4-centrosome-evaluation.md,docs/centrosome/reports/DNAL4.html,False,False,True,True,False,0
DYNC2I2,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/DYNC2I2/DYNC2I2-centrosome-evaluation.md,docs/centrosome/reports/DYNC2I2.html,False,False,True,True,False,0
EEF1AKMT3,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/EEF1AKMT3/EEF1AKMT3-centrosome-evaluation.md,docs/centrosome/reports/EEF1AKMT3.html,False,False,True,True,False,0
ENSG00000272772,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/ENSG00000272772/ENSG00000272772-centrosome-evaluation.md,docs/centrosome/reports/ENSG00000272772.html,False,False,True,True,False,0
ENSG00000273217,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/ENSG00000273217/ENSG00000273217-centrosome-evaluation.md,docs/centrosome/reports/ENSG00000273217.html,False,False,True,True,False,0
ENSG00000274792,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/ENSG00000274792/ENSG00000274792-centrosome-evaluation.md,docs/centrosome/reports/ENSG00000274792.html,False,False,True,True,False,0
ENSG00000285188,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/ENSG00000285188/ENSG00000285188-centrosome-evaluation.md,docs/centrosome/reports/ENSG00000285188.html,False,False,True,True,False,0
FAM117B,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/FAM117B/FAM117B-centrosome-evaluation.md,docs/centrosome/reports/FAM117B.html,False,False,True,True,False,0
GATD3,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/GATD3/GATD3-centrosome-evaluation.md,docs/centrosome/reports/GATD3.html,False,False,True,True,False,0
GOLGA6A,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/GOLGA6A/GOLGA6A-centrosome-evaluation.md,docs/centrosome/reports/GOLGA6A.html,False,False,True,True,False,0
GOLGA6C,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/GOLGA6C/GOLGA6C-centrosome-evaluation.md,docs/centrosome/reports/GOLGA6C.html,False,False,True,True,False,0
HAUS2,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/HAUS2/HAUS2-centrosome-evaluation.md,docs/centrosome/reports/HAUS2.html,False,False,True,True,False,0
HAUS7,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/HAUS7/HAUS7-centrosome-evaluation.md,docs/centrosome/reports/HAUS7.html,False,False,True,True,False,0
INTS6L,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/INTS6L/INTS6L-centrosome-evaluation.md,docs/centrosome/reports/INTS6L.html,False,False,True,True,False,0
KIF19,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/KIF19/KIF19-centrosome-evaluation.md,docs/centrosome/reports/KIF19.html,False,False,True,True,False,0
KXD1,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/KXD1/KXD1-centrosome-evaluation.md,docs/centrosome/reports/KXD1.html,False,False,True,True,False,0
MZT2B,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/MZT2B/MZT2B-centrosome-evaluation.md,docs/centrosome/reports/MZT2B.html,False,False,True,True,False,0
PLK4,,,centrosome_eliminated,73.0,20.0,0,18.0,9.0,3.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/PLK4/PLK4-centrosome-evaluation.md,docs/centrosome/reports/PLK4.html,False,False,True,True,False,0
PPP4R3B,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/PPP4R3B/PPP4R3B-centrosome-evaluation.md,docs/centrosome/reports/PPP4R3B.html,False,False,True,True,False,0
RFPL4A,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/RFPL4A/RFPL4A-centrosome-evaluation.md,docs/centrosome/reports/RFPL4A.html,False,False,True,True,False,0
SPICE1,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/SPICE1/SPICE1-centrosome-evaluation.md,docs/centrosome/reports/SPICE1.html,False,False,True,True,False,0
SRGAP2B,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/SRGAP2B/SRGAP2B-centrosome-evaluation.md,docs/centrosome/reports/SRGAP2B.html,False,False,True,True,False,0
TBC1D31,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/TBC1D31/TBC1D31-centrosome-evaluation.md,docs/centrosome/reports/TBC1D31.html,False,False,True,True,False,0
TMEM86B,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/TMEM86B/TMEM86B-centrosome-evaluation.md,docs/centrosome/reports/TMEM86B.html,False,False,True,True,False,0
TRIM6-TRIM34,,,centrosome_candidate,73.0,16.0,0,18.0,6.0,10.0,,,,False,False,False,,,,,,True,False,,,centrosome/detail/TRIM6-TRIM34/TRIM6-TRIM34-centrosome-evaluation.md,docs/centrosome/reports/TRIM6-TRIM34.html,False,False,True,True,False,0
