gene	status	final_centrosome_score	centrosome_evidence_score	te_relevance_score	pubmed_score	ppi_score	structure_domain_score	novelty_specificity_score	source_centrosome	source_centriolar_satellite	source_both	in_main_atlas	main_status	main_category	report_path	docs_report_path	has_hpa_seed	has_pubmed	has_ppi_humanppi	has_structure_domain	manual_review
CEP192	centrosome_eliminated	75.0	20.0	0	0	18.0	5.0	6.0	False	False	False	False			centrosome/detail/CEP192/CEP192-centrosome-evaluation.md	docs/centrosome/reports/CEP192.html	False	False	True	True	False
CETN2	centrosome_eliminated	74.0	19.0	0	0	14.0	10.0	7.0	False	False	False	False			centrosome/detail/CETN2/CETN2-centrosome-evaluation.md	docs/centrosome/reports/CETN2.html	False	False	True	True	False
NEDD1	centrosome_candidate	74.0	19.0	0	0	16.0	7.0	7.0	False	False	False	False			centrosome/detail/NEDD1/NEDD1-centrosome-evaluation.md	docs/centrosome/reports/NEDD1.html	False	False	True	True	False
PLK4	centrosome_eliminated	73.0	20.0	0	0	18.0	9.0	3.0	False	False	False	False			centrosome/detail/PLK4/PLK4-centrosome-evaluation.md	docs/centrosome/reports/PLK4.html	False	False	True	True	False
CCP110	centrosome_candidate	72.0	19.0	0	0	15.0	6.0	7.0	False	False	False	False			centrosome/detail/CCP110/CCP110-centrosome-evaluation.md	docs/centrosome/reports/CCP110.html	False	False	True	True	False
CEP97	centrosome_candidate	72.0	19.0	0	0	15.0	5.0	8.0	False	False	False	False			centrosome/detail/CEP97/CEP97-centrosome-evaluation.md	docs/centrosome/reports/CEP97.html	False	False	True	True	False
AURKA	centrosome_eliminated	71.0	20.0	0	0	20.0	10.0	2.0	False	False	False	False			centrosome/detail/AURKA/AURKA-centrosome-evaluation.md	docs/centrosome/reports/AURKA.html	False	False	True	True	False
ACTRT3	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/ACTRT3/ACTRT3-centrosome-evaluation.md	docs/centrosome/reports/ACTRT3.html	False	False	True	True	False
ADCK2	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/ADCK2/ADCK2-centrosome-evaluation.md	docs/centrosome/reports/ADCK2.html	False	False	True	True	False
ANKRD45	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/ANKRD45/ANKRD45-centrosome-evaluation.md	docs/centrosome/reports/ANKRD45.html	False	False	True	True	False
ANP32D	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/ANP32D/ANP32D-centrosome-evaluation.md	docs/centrosome/reports/ANP32D.html	False	False	True	True	False
ARHGAP40	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/ARHGAP40/ARHGAP40-centrosome-evaluation.md	docs/centrosome/reports/ARHGAP40.html	False	False	True	True	False
C11orf80	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/C11orf80/C11orf80-centrosome-evaluation.md	docs/centrosome/reports/C11orf80.html	False	False	True	True	False
C12orf73	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/C12orf73/C12orf73-centrosome-evaluation.md	docs/centrosome/reports/C12orf73.html	False	False	True	True	False
C2orf74	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/C2orf74/C2orf74-centrosome-evaluation.md	docs/centrosome/reports/C2orf74.html	False	False	True	True	False
C3orf56	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/C3orf56/C3orf56-centrosome-evaluation.md	docs/centrosome/reports/C3orf56.html	False	False	True	True	False
C9orf40	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/C9orf40/C9orf40-centrosome-evaluation.md	docs/centrosome/reports/C9orf40.html	False	False	True	True	False
CABCOCO1	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/CABCOCO1/CABCOCO1-centrosome-evaluation.md	docs/centrosome/reports/CABCOCO1.html	False	False	True	True	False
CCDC51	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/CCDC51/CCDC51-centrosome-evaluation.md	docs/centrosome/reports/CCDC51.html	False	False	True	True	False
CCDC74A	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/CCDC74A/CCDC74A-centrosome-evaluation.md	docs/centrosome/reports/CCDC74A.html	False	False	True	True	False
CCDC74B	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/CCDC74B/CCDC74B-centrosome-evaluation.md	docs/centrosome/reports/CCDC74B.html	False	False	True	True	False
CEP170B	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/CEP170B/CEP170B-centrosome-evaluation.md	docs/centrosome/reports/CEP170B.html	False	False	True	True	False
CEP85	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/CEP85/CEP85-centrosome-evaluation.md	docs/centrosome/reports/CEP85.html	False	False	True	True	False
CLHC1	centrosome_candidate	69.0	16.0	0	0	15.0	5.0	10.0	False	False	False	False			centrosome/detail/CLHC1/CLHC1-centrosome-evaluation.md	docs/centrosome/reports/CLHC1.html	False	False	True	True	False
