gene	pubmed_total	pubmed_centrosome	decision
AAAS	5691	-1	ELIMINATED
ABCA13	77	0	PASSED
ACADS	225	-1	ELIMINATED
ACTR8	14	0	PASSED
ACTRT3	8	0	PASSED
ADCK2	9	0	PASSED
ADNP	460	-1	ELIMINATED
ADPGK	75	0	PASSED
AGBL5	24	8	PASSED
AGTPBP1	83	2	PASSED
AHI1	225	-1	ELIMINATED
AK5	149	0	ELIMINATED
AK6	42	0	PASSED
AKAP9	248	-1	ELIMINATED
AKNA	65	6	PASSED
ALDH8A1	32	0	PASSED
ALMS1	343	-1	ELIMINATED
ALPK1	154	-1	ELIMINATED
AMN1	35	0	PASSED
ANKAR	59	0	PASSED
ANKRD31	21	0	PASSED
ANKRD45	5	1	PASSED
ANP32A	206	-1	ELIMINATED
ANP32B	127	0	ELIMINATED
ANP32D	-1	0	ERROR
ANP32E	137	0	ELIMINATED
APEX1	1710	-1	ELIMINATED
APOBR	20	0	PASSED
ARHGAP29	89	0	PASSED
ARHGAP40	8	0	PASSED
ARHGEF38	16	0	PASSED
ARL2BP	42	8	PASSED
ARL3	170	-1	ELIMINATED
ARL9	9	0	PASSED
ASAP1	263	-1	ELIMINATED
ATAD5	68	1	PASSED
ATF3	2774	-1	ELIMINATED
ATG5	5905	-1	ELIMINATED
ATP11B	41	0	PASSED
AUH	1085	-1	ELIMINATED
AUNIP	25	2	PASSED
AVEN	1093	-1	ELIMINATED
B9D2	24	15	PASSED
BAG2	300	-1	ELIMINATED
BAG5	102	0	ELIMINATED
BBIP1	12	6	PASSED
BBOF1	4	1	PASSED
BCAR3	97	0	PASSED
BCAS2	52	1	PASSED
BCO1	208	-1	ELIMINATED
BEAN1	24	0	PASSED
BHLHE22	62	0	PASSED
BICC1	132	14	ELIMINATED
BIRC7	286	-1	ELIMINATED
BLTP1	8	0	PASSED
BRAF	28140	-1	ELIMINATED
BRMS1	227	-1	ELIMINATED
BUD31	29	1	PASSED
C11orf80	7	0	PASSED
C12orf73	2	0	PASSED
C16orf74	16	0	PASSED
C16orf96	3	1	PASSED
C19orf54	3	0	PASSED
C1QTNF2	12	0	PASSED
C1orf146	0	0	PASSED
C20orf96	2	0	PASSED
C2CD3	42	32	PASSED
C2CD5	11	0	PASSED
C2orf74	7	0	PASSED
C3orf49	0	0	PASSED
C3orf56	1	0	PASSED
C5orf58	2	0	PASSED
C9orf40	3	0	PASSED
CABCOCO1	2	1	PASSED
CALCR	196	-1	ELIMINATED
CALML6	18	0	PASSED
CAMK2N2	25	0	PASSED
CAPN6	44	0	PASSED
CAPN7	24	0	PASSED
CAPRIN1	203	-1	ELIMINATED
CAPRIN2	38	0	PASSED
CAPS2	990	-1	ELIMINATED
CASP8	6012	-1	ELIMINATED
CBY1	63	14	PASSED
CCDC13	9	3	PASSED
CCDC32	13	1	PASSED
CCDC39	93	53	PASSED
CCDC51	9	0	PASSED
CCDC57	21	5	PASSED
CCDC65	20	11	PASSED
CCDC66	42	8	PASSED
CCDC74A	3	0	PASSED
CCDC74B	2	0	PASSED
CCDC88A	212	-1	ELIMINATED
CCDC88B	23	0	PASSED
CCDC92	31	2	PASSED
CCNF	239	-1	ELIMINATED
CCNO	165	-1	ELIMINATED
CD163L1	28	0	PASSED
CD226	589	-1	ELIMINATED
CD2AP	657	-1	ELIMINATED
CD86	13986	-1	ELIMINATED
CDC45	696	-1	ELIMINATED
CDIP1	26	0	PASSED
CDK2	10029	-1	ELIMINATED
CDK5RAP2	208	-1	ELIMINATED
CDKL2	38	3	PASSED
CDKN1B	3176	-1	ELIMINATED
CENPJ	131	90	ELIMINATED
CENPU	76	1	PASSED
CEP112	17	5	PASSED
CEP128	22	7	PASSED
CEP131	54	41	PASSED
CEP152	99	76	PASSED
CEP162	16	9	PASSED
CEP164	106	88	ELIMINATED
CEP170	69	37	PASSED
CEP170B	3	0	PASSED
CEP19	20	13	PASSED
CEP20	16	9	PASSED
CEP250	69	44	PASSED
CEP290	438	-1	ELIMINATED
CEP350	32	22	PASSED
CEP43	26	6	PASSED
CEP55	371	-1	ELIMINATED
CEP57	52	23	PASSED
CEP63	54	45	PASSED
CEP68	32	18	PASSED
CEP70	26	18	PASSED
CEP85	10	6	PASSED
CEP89	25	17	PASSED
CEP95	8	0	PASSED
CETN3	39	16	PASSED
CFAP298	12	9	PASSED
CFAP300	16	10	PASSED
CFAP418	16	5	PASSED
CFAP52	17	11	PASSED
CFAP70	17	8	PASSED
