gene	report_path	row_class	note	priority
ALKBH4		warning		candidate
AMMECR1		warning		candidate
ARL14EP		warning		candidate
BOD1L1		warning		candidate
C10ORF71		warning		candidate
C10ORF90		warning		candidate
C11ORF21		warning		candidate
C11ORF96		warning		candidate
C12ORF57		warning		candidate
C14ORF39		warning		candidate
C16ORF87		warning		candidate
C17ORF107		warning		candidate
C19ORF47		warning		candidate
C19ORF67		warning		candidate
C1ORF159		warning		candidate
C1ORF174		warning		candidate
C1ORF216		warning		candidate
C1ORF226		warning		candidate
C1ORF52		warning		candidate
C1ORF94		warning		candidate
C22ORF23		warning		candidate
C22ORF31		warning		candidate
C2ORF68		warning		candidate
C2ORF72		warning		candidate
C3ORF38		warning		candidate
C3ORF62		warning		candidate
C5ORF22		warning		candidate
C6ORF163		warning		candidate
C7ORF25		warning		candidate
C8ORF33		warning		candidate
C8ORF58		warning		candidate
C8ORF76		warning		candidate
C9ORF152		warning		candidate
C9ORF40		warning		candidate
CARNMT1		warning		candidate
CCAR2		warning		candidate
CCDC89		warning		candidate
CHTOP		warning		candidate
CSRNP2		warning		candidate
CXORF58		warning		candidate
DCANP1		warning		candidate
DEK		warning		candidate
DERPC		warning		candidate
DMRTC2		warning		candidate
DPY19L2		warning		candidate
ERFL		warning		candidate
ERICH1		warning		candidate
ERICH6		warning		candidate
FAM124A		warning		candidate
FAM124B		warning		candidate
FAM131A		warning		candidate
FAM133A		warning		candidate
FAM133B		warning		candidate
FAM13C		warning		candidate
FAM156A		warning		candidate
FAM169A		warning		candidate
FAM171B		warning		candidate
FAM177A1		warning		candidate
FAM178B		warning		candidate
FAM186A		warning		candidate
FAM193B		warning		candidate
FAM204A		warning		candidate
FAM209A		warning		candidate
FAM209B		warning		candidate
FAM217B		warning		candidate
FAM220A		warning		candidate
FAM222B		warning		candidate
FAM47E		warning		candidate
FAM53A		warning		candidate
FAM76A		warning		candidate
FAM81A		warning		candidate
FAM98B		warning		candidate
FAM98C		warning		candidate
FAM9A		warning		candidate
FAM9C		warning		candidate
FBL		warning		candidate
FUBP1		warning		candidate
FYTTD1		warning		candidate
GARIN3		warning		candidate
GLYR1		warning		candidate
GMCL1		warning		candidate
GMCL2		warning		candidate
GON4L		warning		candidate
HCFC1		warning		candidate
HJURP		warning		candidate
HROB		warning		candidate
JRKL		warning		candidate
KHNYN		warning		candidate
KIAA0408		warning		candidate
KIAA0930		warning		candidate
KNOP1		warning		candidate
LBHD1		warning		candidate
LBR		warning		candidate
LENG1		warning		candidate
LRRC27		warning		candidate
LYSMD1		warning		candidate
MAMLD1		warning		candidate
MCRIP1		warning		candidate
MPG		warning		candidate
MTF2		warning		candidate
NACC1		warning		candidate
NAT10		warning		candidate
NPM1		warning		candidate
PAGR1		warning		candidate
PHF3		warning		candidate
PIMREG		warning		candidate
PQBP1		warning		candidate
RBPJ		warning		candidate
RERE		warning		candidate
SETX		warning		candidate
SNURF		warning		candidate
SPANXB1		warning		candidate
SPATA24		warning		candidate
SPRYD4		warning		candidate
SPTY2D1		warning		candidate
SSUH2		warning		candidate
SSX3		warning		candidate
STPG1		warning		candidate
STPG4		warning		candidate
TATDN3		warning		candidate
TDRD3		warning		candidate
TDRP		warning		candidate
THYN1		warning		candidate
TMPO		warning		candidate
TTC14		warning		candidate
UBTFL1		warning		candidate
WDR18		warning		candidate
WDR76		warning		candidate
WDR77		warning		candidate
XRCC6		warning		candidate
