gene	is_new
A1CF	false
AAAS	false
AADAC	false
AADACL2	false
AADAT	false
AAGAB	false
AAK1	false
AAMDC	false
AAMP	false
AAR2	false
AARD	false
AARS1	false
AARS2	false
AARSD1	false
AASDHPPT	false
AASS	false
AATF	false
AATK	false
ABAT	false
ABCA1	false
ABCA13	false
ABCA17	false
ABCA2	false
ABCA3	false
ABI1	false
ABI2	false
ABITRAM	false
ABL1	false
ABLIM2	false
ABLIM3	false
ABR	false
ABRACL	false
ABRAXAS1	false
ABRAXAS2	false
ABT1	false
ABTB1	false
ABTB2	false
ABTB3	false
ACACA	false
ACADS	false
ACAP3	false
ACAT2	false
ACBD4	false
ACBD6	false
ACD	false
ACIN1	false
ACLY	false
ACOT12	false
ACOX1	false
ACOXL	false
ACP1	false
ACP4	false
ACSS2	false
ACYP1	false
ACYP2	false
ADAM33	false
ADARB1	false
ADARB2	false
ADAT1	false
ADAT2	false
ADAT3	false
ADD1	false
ADIG	false
ADIRF	false
ADK	false
ADNP	false
ADPRH	false
ADPRHL1	false
ADPRM	false
ADPRS	false
ADRA1A	false
AEBP1	false
AEN	false
AFDN	false
AFF1	false
AFF2	false
AFF3	false
AFF4	false
AFMID	false
AGAP2	false
AGBL2	false
AGBL5	false
AGFG1	false
AGL	false
AGO2	false
AGO3	false
AGPAT3	false
AGPAT4	false
AGTPBP1	false
AHCTF1	false
AHCYL2	false
AHDC1	false
AHR	false
AHRR	false
AICDA	false
AIM2	false
AIMP2	false
AIPL1	false
AIRE	false
AIRIM	false
AJUBA	false
AK6	false
AK9	false
AKAP11	false
AKAP13	false
AKAP6	false
AKAP7	false
AKAP8	false
AKAP8L	false
AKIP1	false
AKIRIN1	false
AKIRIN2	false
AKNA	false
AKT2	false
AKT3	false
AKTIP	false
ALG14	false
ALG1L2	false
ALG8	false
ALKBH2	false
ALKBH3	false
ALKBH4	false
ALKBH5	false
ALKBH6	false
ALKBH8	false
ALMS1	false
ALOX5	false
ALOX5AP	false
ALPK3	false
ALX1	false
ALX3	false
ALX4	false
AMD1	false
AMDHD1	false
AMDHD2	false
AMER1	false
AMER2	false
AMER3	false
AMHR2	false
AMMECR1	false
AMMECR1L	false
AMPD3	false
AMZ2	false
ANAPC10	false
ANAPC11	false
ANAPC13	false
ANAPC15	false
ANAPC16	false
ANAPC2	false
ANAPC4	false
ANAPC5	false
ANAPC7	false
ANG	false
ANGEL1	false
ANGEL2	false
ANHX	false
ANKAR	false
ANKDD1A	false
ANKDD1B	false
ANKEF1	false
ANKFN1	false
ANKLE1	false
ANKMY2	false
ANKRA2	false
ANKRD1	false
ANKRD10	false
ANKRD11	false
ANKRD12	false
ANKRD16	false
ANKRD17	false
ANKRD2	false
ANKRD20A1	false
ANKRD22	false
ANKRD23	false
ANKRD29	false
ANKRD30A	false
ANKRD30B	false
ANKRD31	false
ANKRD33	false
ANKRD34B	false
ANKRD35	false
ANKRD36	false
ANKRD36B	false
ANKRD36C	false
ANKRD37	false
ANKRD39	false
ANKRD40	false
ANKRD42	false
ANKRD44	false
ANKRD49	false
ANKRD50	false
ANKRD52	false
ANKRD54	false
ANKRD55	false
ANKRD61	false
ANKRD62	false
ANKRD65	false
ANKRD7	false
ANKS1A	false
ANKS1B	false
ANKS3	false
ANKS4B	false
ANKS6	false
ANLN	false
ANP32B	false
ANP32D	false
ANP32E	false
ANXA10	false
ANXA11	false
ANXA13	false
ANXA2R	false
ANXA5	false
ANXA9	false
AOPEP	false
AOX1	false
AP3B1	false
AP3B2	false
AP5B1	false
AP5S1	false
AP5Z1	false
APAF1	false
APBA1	false
APBB3	false
APEX1	false
APEX2	false
API5	false
APIP	false
APLF	false
APMAP	false
APOBEC3A_B	false
APOL6	false
APPBP2	false
APPL1	false
APRT	false
APTX	false
AQP7B	false
AQR	false
AR	false
ARB2A	false
ARFGAP1	false
ARFGEF1	false
ARFIP1	false
ARFIP2	false
ARGFX	false
ARGLU1	false
ARID1A	false
ARID1B	false
ARID3A	false
ARID3B	false
ARID3C	false
ARID4A	false
ARID4B	false
ARID5A	false
ARID5B	false
ARIH1	false
ARIH2	false
ARK2C	false
ARK2N	false
ARL14EP	false
ARL17A	false
ARL17B	false
ARL2	false
ARL2BP	false
ARL3	false
ARL4A	false
ARL6	false
ARL6IP6	false
ARMC2	false
ARMC5	false
ARMC8	false
ARMCX3	false
ARMCX4	false
ARMCX5	false
ARNT	false
ARNT2	false
ARPP19	false
ARPP21	false
ARRB1	false
ARRB2	false
ARRDC2	false
ARVCF	false
ARX	false
ASAP3	false
ASB1	false
ASB10	false
ASB13	false
ASB18	false
ASB2	false
ASB7	false
ASCC1	false
ASCC2	false
ASCC3	false
ASCL1	false
ASCL2	false
ASCL3	false
ASCL4	false
ASCL5	false
ASF1A	false
ASF1B	false
ASH1L	false
ASH2L	false
ASPA	false
