gene	uniprot_id	protein_full_name	source	confidence	updated_at
A1CF	Q9NQ94	APOBEC1 complementation factor (APOBEC1-stimulating protein)	UniProt:9606	MEDIUM	2026-06-05
AAAS	Q9NRG9	Aladin	detail_report	HIGH	2026-06-05
AADAC	P22760	Arylacetamide deacetylase (EC 3.1.1.3)	UniProt:9606	MEDIUM	2026-06-05
AADACL2	Q6P093	Arylacetamide deacetylase-like 2 (EC 3.1.1.-)	UniProt:9606	MEDIUM	2026-06-05
AADAT	Q8N5Z0	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Glycine transaminase AADAT) (EC 2.6.1.4) (Kynurenine aminotransferase II) (Kynurenine--glyoxylate transaminase AADAT) (EC 2.6.1.63) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II) (Methionine--glyoxylate transaminase AADAT) (EC 2.6.1.73)	UniProt:9606	MEDIUM	2026-06-05
AAGAB	Q6PD74	Alpha- and gamma-adaptin-binding protein p34	UniProt:9606	MEDIUM	2026-06-05
AAK1	Q2M2I8	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	UniProt:9606	MEDIUM	2026-06-05
AAMDC	Q9H7C9	Mth938 domain-containing protein	detail_report	HIGH	2026-06-05
AAMP	Q13685	Angio-associated migratory cell protein	UniProt:9606	MEDIUM	2026-06-05
AAR2	Q9Y312	Protein AAR2 homolog (AAR2 splicing factor homolog)	UniProt:9606	MEDIUM	2026-06-05
AARD	Q4LEZ3	Alanine- and arginine-rich domain-containing protein	UniProt:9606	MEDIUM	2026-06-05
AARS1	P49588	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase AARS1) (EC 6.-.-.-) (Renal carcinoma antigen NY-REN-42)	UniProt:9606	MEDIUM	2026-06-05
AARS2	Q5JTZ9	Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase AARS2) (EC 6.-.-.-)	UniProt:9606	MEDIUM	2026-06-05
AARSD1	Q9BTE6	Alanyl-tRNA editing protein Aarsd1	detail_report	HIGH	2026-06-05
AASDHPPT	Q9NRN7	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog)	UniProt:9606	MEDIUM	2026-06-05
AASS	Q9UDR5	Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]	UniProt:9606	MEDIUM	2026-06-05
AATF	Q9NY61	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	UniProt:9606	MEDIUM	2026-06-05
AATK	Q6ZMQ8	Serine/threonine-protein kinase LMTK1 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (CDK5-binding protein) (Lemur tyrosine kinase 1) (p35-binding protein) (p35BP)	UniProt:9606	MEDIUM	2026-06-05
