gene	status	category	score	nuclear_score	source_table_status	source_table_category	report_path	docs_report_path	category_page	lines	has_hpa	has_if_image	has_pae	has_pdb	has_ppi	has_pubmed	has_scoring_table	has_manual_review	duplicate_count	duplicate_type	is_primary_candidate	known_backlog_flags	parse_quality	parse_notes
ALKBH3	scored	chromatin	1	6			detail/chromatin/ALKBH3/ALKBH3-evaluation.md	reports/ALKBH3.html	category/chromatin.html	239	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
ANKRD2	scored	chromatin	1.5	28			detail/chromatin/ANKRD2/ANKRD2-evaluation.md	reports/ANKRD2.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
ARID3A	scored	chromatin	3	9			detail/chromatin/ARID3A/ARID3A-evaluation.md	reports/ARID3A.html	category/chromatin.html	232	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
ASB7	scored	chromatin	1.83	4			detail/chromatin/ASB7/ASB7-evaluation.md	reports/ASB7.html	category/chromatin.html	150	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
ASF1A	scored	chromatin	1.83	36			detail/chromatin/ASF1A/ASF1A-evaluation.md	reports/ASF1A.html	category/chromatin.html	118	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
ASXL3	scored	chromatin	1	32			detail/chromatin/ASXL3/ASXL3-evaluation.md	reports/ASXL3.html	category/chromatin.html	190	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
AUNIP	scored	chromatin	1.83	7			detail/chromatin/AUNIP/AUNIP-evaluation.md	reports/AUNIP.html	category/chromatin.html	146	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
AURKC	scored	chromatin	3	28			detail/chromatin/AURKC/AURKC-evaluation.md	reports/AURKC.html	category/chromatin.html	187	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
BAHD1	scored	chromatin	2	9			detail/chromatin/BAHD1/BAHD1-evaluation.md	reports/BAHD1.html	category/chromatin.html	194	True	False	True	True	True	True	True	False	1	NONE	True		GOOD	ok
BANF2	scored	chromatin	1	28			detail/chromatin/BANF2/BANF2-evaluation.md	reports/BANF2.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
BARHL2	scored	chromatin	2.5	32			detail/chromatin/BARHL2/BARHL2-evaluation.md	reports/BARHL2.html	category/chromatin.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
BATF2	scored	chromatin	1	2			detail/chromatin/BATF2/BATF2-evaluation.md	reports/BATF2.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
BHLHA9	scored	chromatin	0.5	28			detail/chromatin/BHLHA9/BHLHA9-evaluation.md	reports/BHLHA9.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
BHLHE23	scored	chromatin	1	32			detail/chromatin/BHLHE23/BHLHE23-evaluation.md	reports/BHLHE23.html	category/chromatin.html	175	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
BOD1L2	scored	chromatin	1.83	1			detail/chromatin/BOD1L2/BOD1L2-evaluation.md	reports/BOD1L2.html	category/chromatin.html	141	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
BSX	scored	chromatin	0.5	32			detail/chromatin/BSX/BSX-evaluation.md	reports/BSX.html	category/chromatin.html	161	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CALCOCO1	scored	chromatin	1.5	28			detail/chromatin/CALCOCO1/CALCOCO1-evaluation.md	reports/CALCOCO1.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CENPK	scored	chromatin	1.83	50			detail/chromatin/CENPK/CENPK-evaluation.md	reports/CENPK.html	category/chromatin.html	104	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CENPL	scored	chromatin	1.83	73.2			detail/chromatin/CENPL/CENPL-evaluation.md	reports/CENPL.html	category/chromatin.html	109	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CENPV	scored	chromatin	1.83	32			detail/chromatin/CENPV/CENPV-evaluation.md	reports/CENPV.html	category/chromatin.html	115	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CENPX	scored	chromatin	1.83	9			detail/chromatin/CENPX/CENPX-evaluation.md	reports/CENPX.html	category/chromatin.html	104	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CFDP1	scored	chromatin	2	32			detail/chromatin/CFDP1/CFDP1-evaluation.md	reports/CFDP1.html	category/chromatin.html	155	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CKAP5	scored	chromatin	1.5	16			detail/chromatin/CKAP5/CKAP5-evaluation.md	reports/CKAP5.html	category/chromatin.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CRAMP1	scored	chromatin	71.6	32			detail/chromatin/CRAMP1/CRAMP1-evaluation.md	reports/CRAMP1.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CREB3L4	scored	chromatin	76.5	28			detail/chromatin/CREB3L4/CREB3L4-evaluation.md	reports/CREB3L4.html	category/chromatin.html	176	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CSNK1A1	scored	chromatin	5	5			detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	reports/CSNK1A1.html	category/chromatin.html	197	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CTPS1	scored	chromatin	2.5	28			detail/chromatin/CTPS1/CTPS1-evaluation.md	reports/CTPS1.html	category/chromatin.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CUX2	scored	chromatin	2.5	28			detail/chromatin/CUX2/CUX2-evaluation.md	reports/CUX2.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CYREN	scored	chromatin	1.5	28			detail/chromatin/CYREN/CYREN-evaluation.md	reports/CYREN.html	category/chromatin.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DBX1	scored	chromatin	1	32			detail/chromatin/DBX1/DBX1-evaluation.md	reports/DBX1.html	category/chromatin.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMBX1	scored	chromatin	0.5	32			detail/chromatin/DMBX1/DMBX1-evaluation.md	reports/DMBX1.html	category/chromatin.html	167	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRT3	scored	chromatin	1	32			detail/chromatin/DMRT3/DMRT3-evaluation.md	reports/DMRT3.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRTB1	scored	chromatin	1	32			detail/chromatin/DMRTB1/DMRTB1-evaluation.md	reports/DMRTB1.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRTC2	scored	chromatin	0.5	32			detail/chromatin/DMRTC2/DMRTC2-evaluation.md	reports/DMRTC2.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJB13	scored	chromatin	1	16			detail/chromatin/DNAJB13/DNAJB13-evaluation.md	reports/DNAJB13.html	category/chromatin.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DPRX	scored	chromatin	0.5	32			detail/chromatin/DPRX/DPRX-evaluation.md	reports/DPRX.html	category/chromatin.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DSN1	scored	chromatin	1	28			detail/chromatin/DSN1/DSN1-evaluation.md	reports/DSN1.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DYNC1I1	scored	chromatin	1.5	16			detail/chromatin/DYNC1I1/DYNC1I1-evaluation.md	reports/DYNC1I1.html	category/chromatin.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DYNLT3	scored	chromatin	1.5	28			detail/chromatin/DYNLT3/DYNLT3-evaluation.md	reports/DYNLT3.html	category/chromatin.html	181	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
ELOF1	scored	chromatin	3	28			detail/chromatin/ELOF1/ELOF1-evaluation.md	reports/ELOF1.html	category/chromatin.html	188	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
EME2	scored	chromatin	2	32			detail/chromatin/EME2/EME2-evaluation.md	reports/EME2.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
EXD2	scored	chromatin	3	28			detail/chromatin/EXD2/EXD2-evaluation.md	reports/EXD2.html	category/chromatin.html	196	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FAM131A	scored	chromatin	0.5	28			detail/chromatin/FAM131A/FAM131A-evaluation.md	reports/FAM131A.html	category/chromatin.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FBH1	scored	chromatin	2	32			detail/chromatin/FBH1/FBH1-evaluation.md	reports/FBH1.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FBXO18	scored	chromatin	2	32			detail/chromatin/FBXO18/FBXO18-evaluation.md	reports/FBXO18.html	category/chromatin.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FERD3L	scored	chromatin	0.5	32			detail/chromatin/FERD3L/FERD3L-evaluation.md	reports/FERD3L.html	category/chromatin.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FOXB2	scored	chromatin	0.5	32			detail/chromatin/FOXB2/FOXB2-evaluation.md	reports/FOXB2.html	category/chromatin.html	157	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FOXI2	scored	chromatin	0.5	32			detail/chromatin/FOXI2/FOXI2-evaluation.md	reports/FOXI2.html	category/chromatin.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
GBX1	scored	chromatin	2.5	32			detail/chromatin/GBX1/GBX1-evaluation.md	reports/GBX1.html	category/chromatin.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
GINS4	scored	chromatin	1.83	28			detail/chromatin/GINS4/GINS4-evaluation.md	reports/GINS4.html	category/chromatin.html	120	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
GSC2	scored	chromatin	1	32			detail/chromatin/GSC2/GSC2-evaluation.md	reports/GSC2.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
H4C7	scored	chromatin	1.5	32			detail/chromatin/H4C7/H4C7-evaluation.md	reports/H4C7.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
HES2	scored	chromatin	1	32			detail/chromatin/HES2/HES2-evaluation.md	reports/HES2.html	category/chromatin.html	160	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
HMGB4	scored	chromatin	1.5	32			detail/chromatin/HMGB4/HMGB4-evaluation.md	reports/HMGB4.html	category/chromatin.html	172	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
HP1BP3	rejected	chromatin	1.83	36			detail/chromatin/HP1BP3/HP1BP3-evaluation.md	reports/HP1BP3.html	category/chromatin.html	252	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
HPF1	scored	chromatin	3	28			detail/chromatin/HPF1/HPF1-evaluation.md	reports/HPF1.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
IHO1	scored	chromatin	100	36			detail/chromatin/IHO1/IHO1-evaluation.md	reports/IHO1.html	category/chromatin.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
