gene	source_count	sources
AAAS	1	End piece
ABCB6	2	Mid piece|Principal piece
ABCC8	1	Principal piece
ABHD2	2	Connecting piece|Flagellar centriole
ABLIM1	2	Connecting piece|Mid piece
ACADM	3	Calyx|Perinuclear theca|Principal piece
ACADS	3	End piece|Mid piece|Principal piece
ACLY	1	Principal piece
ACRV1	1	Acrosome
ACTL7A	1	Perinuclear theca
ACTL9	2	Acrosome|Equatorial segment
ACTR10	5	Connecting piece|Flagellar centriole|Mid piece|Perinuclear theca|Principal piece
ACTRT3	1	Acrosome
ADAM30	1	Mid piece
ADAM32	1	Principal piece
ADGB	1	Mid piece
AFG3L2	5	Calyx|Connecting piece|Mid piece|Perinuclear theca|Principal piece
AGBL2	4	End piece|Flagellar centriole|Mid piece|Principal piece
AIFM1	1	Connecting piece
AK1	1	Annulus
AK7	1	Principal piece
AK8	4	End piece|Flagellar centriole|Mid piece|Principal piece
AK9	1	Calyx
AKAP3	1	Principal piece
AKAP4	1	Principal piece
AKT1	4	Calyx|End piece|Perinuclear theca|Principal piece
ALMS1	3	End piece|Flagellar centriole|Mid piece
ANK2	1	Acrosome
AQP9	1	Mid piece
ARL13A	4	Acrosome|Connecting piece|Mid piece|Principal piece
ARL13B	5	Acrosome|End piece|Equatorial segment|Mid piece|Principal piece
ARL2	3	Equatorial segment|Flagellar centriole|Mid piece
ARMC9	3	Annulus|Flagellar centriole|Mid piece
ARMS2	2	End piece|Principal piece
ARSA	1	Mid piece
ART3	2	End piece|Principal piece
ASIP	2	Flagellar centriole|Mid piece
ATAD3A	1	Acrosome
ATAD3B	1	Acrosome
ATG16L1	3	Equatorial segment|Mid piece|Principal piece
ATG7	3	Connecting piece|Flagellar centriole|Mid piece
ATOH7	2	Flagellar centriole|Mid piece
ATP2A2	3	End piece|Mid piece|Perinuclear theca
ATP5F1A	1	End piece
ATP5F1D	3	Connecting piece|Flagellar centriole|Principal piece
ATP5MG	1	Principal piece
ATP5MGL	1	Principal piece
ATP5PF	2	End piece|Flagellar centriole
ATP6V0A2	4	Connecting piece|End piece|Mid piece|Principal piece
ATP8A2	3	Acrosome|Annulus|Mid piece
B9D1	5	Acrosome|End piece|Equatorial segment|Mid piece|Principal piece
BAD	2	End piece|Principal piece
BAG2	2	Mid piece|Principal piece
BBS4	5	Acrosome|Annulus|Flagellar centriole|Perinuclear theca|Principal piece
BBS5	2	Acrosome|Perinuclear theca
BBS9	5	Acrosome|Equatorial segment|Flagellar centriole|Mid piece|Principal piece
BCL2L1	1	Acrosome
BCS1L	1	Mid piece
BEST2	3	End piece|Flagellar centriole|Principal piece
BOLL	4	Annulus|End piece|Mid piece|Principal piece
BRAF	3	End piece|Mid piece|Principal piece
BSG	3	End piece|Mid piece|Principal piece
C16orf78	4	Connecting piece|End piece|Mid piece|Principal piece
C1orf100	1	Calyx
C20orf85	1	Mid piece
C2CD3	3	Acrosome|Equatorial segment|Principal piece
C2CD6	3	Acrosome|Equatorial segment|Principal piece
C4orf17	1	Mid piece
C4orf45	2	Mid piece|Principal piece
C4orf47	2	End piece|Principal piece
C7orf33	2	Acrosome|Equatorial segment
C9orf24	2	Equatorial segment|Principal piece
CABYR	1	Principal piece
CACNA1B	2	Acrosome|Equatorial segment
CACNA1G	3	Acrosome|Equatorial segment|Perinuclear theca
CACNA1I	1	Acrosome
CACNA1S	2	Acrosome|Equatorial segment
CACNA2D2	2	Flagellar centriole|Mid piece
CACNA2D3	1	Principal piece
CACNA2D4	2	Mid piece|Principal piece
CAMK2A	5	Calyx|Connecting piece|End piece|Perinuclear theca|Principal piece
CAMK2B	5	Calyx|Connecting piece|End piece|Perinuclear theca|Principal piece
CAMK2D	5	Calyx|Connecting piece|End piece|Perinuclear theca|Principal piece
CAMK2G	5	Calyx|Connecting piece|End piece|Perinuclear theca|Principal piece
CAPN11	5	Acrosome|End piece|Equatorial segment|Mid piece|Principal piece
CAPN2	3	Connecting piece|Mid piece|Principal piece
CAPZA3	1	Calyx
CASP8	3	Connecting piece|Mid piece|Principal piece
CATIP	2	Connecting piece|Mid piece
CATSPER1	1	Principal piece
CATSPER2	2	End piece|Principal piece
CATSPER3	2	Mid piece|Principal piece
CATSPERB	1	Mid piece
CATSPERD	1	Mid piece
