gene,protein_full_name,uniprot_id,status,final_sperm_score,sperm_evidence_score,pubmed_score,ppi_score,structure_domain_score,novelty_specificity_score,pubmed_strict_count,pubmed_broad_count,pubmed_display_count,source_sperm,source_centriolar_satellite,source_both,hpa_location_text,has_if_image,has_hpa_image_url,has_string_ppi,ppi_status,has_structure_domain,in_main_atlas,main_status,main_category,report_path,docs_report_path,has_hpa_seed,has_pubmed,has_ppi_humanppi,has_structure_domain,manual_review,te_relevance_score
AAAS,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/AAAS/AAAS-sperm-evaluation.md,docs/sperm/reports/AAAS.html,False,False,False,False,False,0
ABCB6,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ABCB6/ABCB6-sperm-evaluation.md,docs/sperm/reports/ABCB6.html,False,False,False,False,False,0
ABCC8,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ABCC8/ABCC8-sperm-evaluation.md,docs/sperm/reports/ABCC8.html,False,False,False,False,False,0
ABHD2,,,sperm_low_priority,0,0,6.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ABHD2/ABHD2-sperm-evaluation.md,docs/sperm/reports/ABHD2.html,False,False,True,True,False,0
ABLIM1,,,sperm_low_priority,0,0,6.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ABLIM1/ABLIM1-sperm-evaluation.md,docs/sperm/reports/ABLIM1.html,False,False,True,True,False,0
ACADM,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ACADM/ACADM-sperm-evaluation.md,docs/sperm/reports/ACADM.html,False,False,False,False,False,0
ACADS,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ACADS/ACADS-sperm-evaluation.md,docs/sperm/reports/ACADS.html,False,False,False,False,False,0
ACLY,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ACLY/ACLY-sperm-evaluation.md,docs/sperm/reports/ACLY.html,False,False,False,False,False,0
ACRV1,,,sperm_low_priority,0,0,6.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ACRV1/ACRV1-sperm-evaluation.md,docs/sperm/reports/ACRV1.html,False,False,True,True,False,0
ACTL7A,,,sperm_low_priority,0,0,7.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ACTL7A/ACTL7A-sperm-evaluation.md,docs/sperm/reports/ACTL7A.html,False,False,True,True,False,0
ACTL9,,,sperm_candidate,0,0,8.0,18.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ACTL9/ACTL9-sperm-evaluation.md,docs/sperm/reports/ACTL9.html,False,False,True,True,False,0
ACTR10,,,sperm_candidate,0,0,10.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ACTR10/ACTR10-sperm-evaluation.md,docs/sperm/reports/ACTR10.html,False,False,True,True,False,0
ACTRT3,,,sperm_candidate,0,0,10.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ACTRT3/ACTRT3-sperm-evaluation.md,docs/sperm/reports/ACTRT3.html,False,False,True,True,False,0
ADAM30,,,sperm_candidate,0,0,8.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ADAM30/ADAM30-sperm-evaluation.md,docs/sperm/reports/ADAM30.html,False,False,True,True,False,0
ADAM32,,,sperm_candidate,0,0,8.0,18.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ADAM32/ADAM32-sperm-evaluation.md,docs/sperm/reports/ADAM32.html,False,False,True,True,False,0
ADGB,,,sperm_low_priority,0,0,7.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ADGB/ADGB-sperm-evaluation.md,docs/sperm/reports/ADGB.html,False,False,True,True,False,0
AFG3L2,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/AFG3L2/AFG3L2-sperm-evaluation.md,docs/sperm/reports/AFG3L2.html,False,False,False,False,False,0
AGBL2,,,sperm_candidate,0,0,8.0,18.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/AGBL2/AGBL2-sperm-evaluation.md,docs/sperm/reports/AGBL2.html,False,False,True,True,False,0
AIFM1,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/AIFM1/AIFM1-sperm-evaluation.md,docs/sperm/reports/AIFM1.html,False,False,False,False,False,0
AK1,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/AK1/AK1-sperm-evaluation.md,docs/sperm/reports/AK1.html,False,False,False,False,False,0
AK7,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/AK7/AK7-sperm-evaluation.md,docs/sperm/reports/AK7.html,False,False,False,False,False,0
AK8,,,sperm_candidate,0,0,8.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/AK8/AK8-sperm-evaluation.md,docs/sperm/reports/AK8.html,False,False,True,True,False,0
AK9,,,sperm_candidate,0,0,7.0,18.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/AK9/AK9-sperm-evaluation.md,docs/sperm/reports/AK9.html,False,False,True,True,False,0
AKAP3,,,sperm_low_priority,0,0,6.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/AKAP3/AKAP3-sperm-evaluation.md,docs/sperm/reports/AKAP3.html,False,False,True,True,False,0
AKAP4,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/AKAP4/AKAP4-sperm-evaluation.md,docs/sperm/reports/AKAP4.html,False,False,False,False,False,0
AKT1,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/AKT1/AKT1-sperm-evaluation.md,docs/sperm/reports/AKT1.html,False,False,False,False,False,0
ALMS1,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ALMS1/ALMS1-sperm-evaluation.md,docs/sperm/reports/ALMS1.html,False,False,False,False,False,0
ANK2,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ANK2/ANK2-sperm-evaluation.md,docs/sperm/reports/ANK2.html,False,False,False,False,False,0
AQP9,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/AQP9/AQP9-sperm-evaluation.md,docs/sperm/reports/AQP9.html,False,False,False,False,False,0
ARL13A,,,sperm_candidate,0,0,10.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ARL13A/ARL13A-sperm-evaluation.md,docs/sperm/reports/ARL13A.html,False,False,True,True,False,0
ARL13B,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ARL13B/ARL13B-sperm-evaluation.md,docs/sperm/reports/ARL13B.html,False,False,False,False,False,0
ARL2,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ARL2/ARL2-sperm-evaluation.md,docs/sperm/reports/ARL2.html,False,False,False,False,False,0
ARMC9,,,sperm_candidate,0,0,8.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ARMC9/ARMC9-sperm-evaluation.md,docs/sperm/reports/ARMC9.html,False,False,True,True,False,0
ARMS2,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ARMS2/ARMS2-sperm-evaluation.md,docs/sperm/reports/ARMS2.html,False,False,False,False,False,0
ARSA,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ARSA/ARSA-sperm-evaluation.md,docs/sperm/reports/ARSA.html,False,False,False,False,False,0
ART3,,,sperm_low_priority,0,0,6.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ART3/ART3-sperm-evaluation.md,docs/sperm/reports/ART3.html,False,False,True,True,False,0
ASIP,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ASIP/ASIP-sperm-evaluation.md,docs/sperm/reports/ASIP.html,False,False,False,False,False,0
ATAD3A,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ATAD3A/ATAD3A-sperm-evaluation.md,docs/sperm/reports/ATAD3A.html,False,False,False,False,False,0
ATAD3B,,,sperm_low_priority,0,0,7.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ATAD3B/ATAD3B-sperm-evaluation.md,docs/sperm/reports/ATAD3B.html,False,False,True,True,False,0
ATG16L1,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ATG16L1/ATG16L1-sperm-evaluation.md,docs/sperm/reports/ATG16L1.html,False,False,False,False,False,0
ATG7,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ATG7/ATG7-sperm-evaluation.md,docs/sperm/reports/ATG7.html,False,False,False,False,False,0
ATOH7,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ATOH7/ATOH7-sperm-evaluation.md,docs/sperm/reports/ATOH7.html,False,False,False,False,False,0
ATP2A2,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ATP2A2/ATP2A2-sperm-evaluation.md,docs/sperm/reports/ATP2A2.html,False,False,False,False,False,0
ATP5F1A,,,sperm_low_priority,0,0,6.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ATP5F1A/ATP5F1A-sperm-evaluation.md,docs/sperm/reports/ATP5F1A.html,False,False,True,True,False,0
ATP5F1D,,,sperm_candidate,0,0,8.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ATP5F1D/ATP5F1D-sperm-evaluation.md,docs/sperm/reports/ATP5F1D.html,False,False,True,True,False,0
ATP5MG,,,sperm_candidate,0,0,10.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ATP5MG/ATP5MG-sperm-evaluation.md,docs/sperm/reports/ATP5MG.html,False,False,True,True,False,0
ATP5MGL,,,sperm_candidate,0,0,10.0,18.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ATP5MGL/ATP5MGL-sperm-evaluation.md,docs/sperm/reports/ATP5MGL.html,False,False,True,True,False,0
ATP5PF,,,sperm_candidate,0,0,8.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ATP5PF/ATP5PF-sperm-evaluation.md,docs/sperm/reports/ATP5PF.html,False,False,True,True,False,0
ATP6V0A2,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/ATP6V0A2/ATP6V0A2-sperm-evaluation.md,docs/sperm/reports/ATP6V0A2.html,False,False,False,False,False,0
ATP8A2,,,sperm_candidate,0,0,6.0,5.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/ATP8A2/ATP8A2-sperm-evaluation.md,docs/sperm/reports/ATP8A2.html,False,False,True,True,False,0
B9D1,,,sperm_candidate,0,0,8.0,18.0,0,0,,,,False,False,False,,,,,,True,False,,,sperm/detail/B9D1/B9D1-sperm-evaluation.md,docs/sperm/reports/B9D1.html,False,False,True,True,False,0
BAD,,,sperm_eliminated,0,0,0,0,0,0,,,,False,False,False,,,,,,False,False,,,sperm/detail/BAD/BAD-sperm-evaluation.md,docs/sperm/reports/BAD.html,False,False,False,False,False,0
