gene	worker	batch	staged_path	target_path	lines	chars	has_hpa	has_uni	has_pubmed	has_af	has_pae	has_pdb	has_ppi	has_score	has_reason	has_note	has_bad	is_thin	qa_pass
RCBTB1	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RCBTB1-evaluation.md	detail/nucleoplasm/RCBTB1/RCBTB1-evaluation.md	154	9581	True	True	True	True	True	True	True	True	True	True	False	False	True
RCBTB2	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RCBTB2-evaluation.md	detail/nucleoplasm/RCBTB2/RCBTB2-evaluation.md	198	12433	True	True	True	True	True	True	True	True	True	True	False	False	True
RCL1	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RCL1-evaluation.md	detail/nucleoplasm/RCL1/RCL1-evaluation.md	175	10137	True	True	True	True	True	True	True	True	True	True	False	False	True
REEP3	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/REEP3-evaluation.md	detail/nucleoplasm/REEP3/REEP3-evaluation.md	139	8687	True	True	True	True	True	True	True	True	True	True	False	False	True
REP15	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/REP15-evaluation.md	detail/nucleoplasm/REP15/REP15-evaluation.md	132	7237	True	True	True	True	True	True	True	True	True	True	False	False	True
REPIN1	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/REPIN1-evaluation.md	detail/nucleoplasm/REPIN1/REPIN1-evaluation.md	153	9816	True	True	True	True	True	True	True	True	True	True	False	False	True
REXO1L2P	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/REXO1L2P-evaluation.md	detail/nucleoplasm/REXO1L2P/REXO1L2P-evaluation.md	117	6232	True	True	True	False	False	False	True	True	True	True	False	False	False
RHOQ	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RHOQ-evaluation.md	detail/nucleoplasm/RHOQ/RHOQ-evaluation.md	141	8685	True	True	True	True	False	True	True	True	True	True	False	False	True
RHOT2	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RHOT2-evaluation.md	detail/nucleoplasm/RHOT2/RHOT2-evaluation.md	139	8927	True	True	True	True	False	True	True	True	True	True	False	False	True
RHPN1	worker_W1	batch_1	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RHPN1-evaluation.md	detail/nucleoplasm/RHPN1/RHPN1-evaluation.md	146	8474	True	True	True	True	False	True	True	True	True	True	False	False	True
