gene	file_count	paths	statuses	categories	canonical_path	stale_paths	action	reason	in_pilot
AAAS	2	detail/nuclear-envelope/AAAS/AAAS-evaluation.md, detail/rejected/AAAS/AAAS-evaluation.md	scored, rejected	nuclear-envelope, rejected	detail/nuclear-envelope/AAAS/AAAS-evaluation.md	detail/rejected/AAAS/AAAS-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (197L, 9575c) has scoring table; rejected is likely template	True
AAMDC	2	detail/nucleoplasm/AAMDC/AAMDC-evaluation.md, detail/rejected/AAMDC/AAMDC-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/AAMDC/AAMDC-evaluation.md	detail/rejected/AAMDC/AAMDC-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (180L, 10126c) has scoring table; rejected is likely template	True
AATF	2	detail/nucleoplasm/AATF/AATF-evaluation.md, detail/rejected/AATF/AATF-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/AATF/AATF-evaluation.md	detail/rejected/AATF/AATF-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (44L, 1326c) has scoring table; rejected is likely template	False
ABITRAM	2	detail/nucleoplasm/ABITRAM/ABITRAM-evaluation.md, detail/rejected/ABITRAM/ABITRAM-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/ABITRAM/ABITRAM-evaluation.md	detail/rejected/ABITRAM/ABITRAM-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (197L, 10557c) has scoring table; rejected is likely template	True
ABLIM3	2	detail/nucleoplasm/ABLIM3/ABLIM3-evaluation.md, detail/rejected/ABLIM3/ABLIM3-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/ABLIM3/ABLIM3-evaluation.md	detail/rejected/ABLIM3/ABLIM3-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (211L, 12644c) has scoring table; rejected is likely template	True
ABRAXAS1	2	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md, detail/rejected/ABRAXAS1/ABRAXAS1-evaluation.md	scored, rejected	nuclear-body, rejected	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md	detail/rejected/ABRAXAS1/ABRAXAS1-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (207L, 13428c) has scoring table; rejected is likely template	True
ABRAXAS2	2	detail/nucleus-cytoplasm/ABRAXAS2/ABRAXAS2-evaluation.md, detail/rejected/ABRAXAS2/ABRAXAS2-evaluation.md	scored, rejected	nucleus-cytoplasm, rejected	detail/nucleus-cytoplasm/ABRAXAS2/ABRAXAS2-evaluation.md	detail/rejected/ABRAXAS2/ABRAXAS2-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (222L, 13303c) has scoring table; rejected is likely template	True
ABTB2	2	detail/nucleoplasm/ABTB2/ABTB2-evaluation.md, detail/rejected/ABTB2/ABTB2-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/ABTB2/ABTB2-evaluation.md	detail/rejected/ABTB2/ABTB2-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (207L, 11902c) has scoring table; rejected is likely template	True
ABTB3	2	detail/nucleoplasm/ABTB3/ABTB3-evaluation.md, detail/rejected/ABTB3/ABTB3-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/ABTB3/ABTB3-evaluation.md	detail/rejected/ABTB3/ABTB3-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (184L, 10609c) has scoring table; rejected is likely template	True
ACBD4	2	detail/nucleoplasm/ACBD4/ACBD4-evaluation.md, detail/rejected/ACBD4/ACBD4-evaluation.md	scored, rejected	nucleoplasm, rejected	detail/nucleoplasm/ACBD4/ACBD4-evaluation.md	detail/rejected/ACBD4/ACBD4-evaluation.md	KEEP_SCORED_DISCARD_REJECTED	Scored report (195L, 12042c) has scoring table; rejected is likely template	True
