gene	current_path	status	current_lines	current_chars	risk	issues	existed_in_prev_commit	prev_commit	prev_lines	prev_chars	recommended_action	reason
AAAS	detail/rejected/AAAS/AAAS-evaluation.md	rejected	11	346	CRITICAL	THIN,SHORT_REJECTED	True		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AAMDC	detail/rejected/AAMDC/AAMDC-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ABCA13	detail/rejected/ABCA13/ABCA13-evaluation.md	rejected	11	162	CRITICAL	THIN,SHORT_REJECTED,PACKET_ERROR	False		0	0	FULL_REEVALUATE	Packet error — no valid data
ABCA17	detail/rejected/ABCA17/ABCA17-evaluation.md	rejected	11	162	CRITICAL	THIN,SHORT_REJECTED,PACKET_ERROR	False		0	0	FULL_REEVALUATE	Packet error — no valid data
ABCA2	detail/rejected/ABCA2/ABCA2-evaluation.md	rejected	11	160	CRITICAL	THIN,SHORT_REJECTED,PACKET_ERROR	False		0	0	FULL_REEVALUATE	Packet error — no valid data
ABCA3	detail/rejected/ABCA3/ABCA3-evaluation.md	rejected	11	160	CRITICAL	THIN,SHORT_REJECTED,PACKET_ERROR	False		0	0	FULL_REEVALUATE	Packet error — no valid data
ABITRAM	detail/rejected/ABITRAM/ABITRAM-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ABLIM3	detail/rejected/ABLIM3/ABLIM3-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ABRAXAS1	detail/rejected/ABRAXAS1/ABRAXAS1-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ABRAXAS2	detail/rejected/ABRAXAS2/ABRAXAS2-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ABTB2	detail/rejected/ABTB2/ABTB2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ABTB3	detail/rejected/ABTB3/ABTB3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ACBD4	detail/rejected/ACBD4/ACBD4-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ACOXL	detail/rejected/ACOXL/ACOXL-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ACP4	detail/rejected/ACP4/ACP4-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ADAM33	detail/rejected/ADAM33/ADAM33-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ADAT3	detail/rejected/ADAT3/ADAT3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ADPRHL1	detail/rejected/ADPRHL1/ADPRHL1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ADPRM	detail/rejected/ADPRM/ADPRM-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ADPRS	detail/rejected/ADPRS/ADPRS-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AFMID	detail/rejected/AFMID/AFMID-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AGAP2	detail/rejected/AGAP2/AGAP2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AGBL5	detail/rejected/AGBL5/AGBL5-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AGFG1	detail/rejected/AGFG1/AGFG1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AGPAT4	detail/rejected/AGPAT4/AGPAT4-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AGTPBP1	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AHCYL2	detail/rejected/AHCYL2/AHCYL2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AIRIM	detail/rejected/AIRIM/AIRIM-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AKAP6	detail/rejected/AKAP6/AKAP6-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AKAP7	detail/rejected/AKAP7/AKAP7-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AKIP1	detail/rejected/AKIP1/AKIP1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AKIRIN1	detail/rejected/AKIRIN1/AKIRIN1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ALG14	detail/rejected/ALG14/ALG14-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ALG8	detail/rejected/ALG8/ALG8-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ALKBH2	detail/rejected/ALKBH2/ALKBH2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ALKBH6	detail/rejected/ALKBH6/ALKBH6-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AMDHD1	detail/rejected/AMDHD1/AMDHD1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AMDHD2	detail/rejected/AMDHD2/AMDHD2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
AMER1	detail/rejected/AMER1/AMER1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANAPC10	detail/rejected/ANAPC10/ANAPC10-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANAPC11	detail/rejected/ANAPC11/ANAPC11-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANAPC13	detail/rejected/ANAPC13/ANAPC13-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANAPC2	detail/rejected/ANAPC2/ANAPC2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANAPC4	detail/rejected/ANAPC4/ANAPC4-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANAPC5	detail/rejected/ANAPC5/ANAPC5-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANAPC7	detail/rejected/ANAPC7/ANAPC7-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANGEL1	detail/rejected/ANGEL1/ANGEL1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANGEL2	detail/rejected/ANGEL2/ANGEL2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKEF1	detail/rejected/ANKEF1/ANKEF1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKFN1	detail/rejected/ANKFN1/ANKFN1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKMY2	detail/rejected/ANKMY2/ANKMY2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRA2	detail/rejected/ANKRA2/ANKRA2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRD10	detail/rejected/ANKRD10/ANKRD10-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRD12	detail/rejected/ANKRD12/ANKRD12-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRD23	detail/rejected/ANKRD23/ANKRD23-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRD30B	detail/rejected/ANKRD30B/ANKRD30B-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRD34B	detail/rejected/ANKRD34B/ANKRD34B-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRD36	detail/rejected/ANKRD36/ANKRD36-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRD36B	detail/rejected/ANKRD36B/ANKRD36B-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRD37	detail/rejected/ANKRD37/ANKRD37-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKRD54	detail/rejected/ANKRD54/ANKRD54-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
ANKS1A	detail/rejected/ANKS1A/ANKS1A-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	False		0	0	FULL_REEVALUATE	Thin rejected (11L) — must evaluate from scratch
