gene	excel_sheets	has_report	report_paths	status	category	lines	has_duplicate	coverage_status	reason
A1CF	Sheet1:2	True	detail/nucleoplasm/A1CF/A1CF-evaluation.md	scored	nucleoplasm	136	False	COVERED_SCORED	Report present
AAAS	Sheet1:3	True	detail/rejected/AAAS/AAAS-evaluation.md	rejected	rejected	239	False	COVERED_REJECTED	Report present
AAGAB	重新pa一下:271	True	detail/nuclear-speckle/AAGAB/AAGAB-evaluation.md	scored	nuclear-speckle	178	False	COVERED_SCORED	Report present
AAMDC	重新pa一下:28	True	detail/nucleoplasm/AAMDC/AAMDC-evaluation.md	scored	nucleoplasm	181	False	COVERED_SCORED	Report present
AARS1	Sheet1:4	True	detail/nucleoplasm/AARS1/AARS1-evaluation.md	scored	nucleoplasm	180	False	COVERED_SCORED	Report present
AARSD1	研究很多:16	True	detail/nuclear-envelope/AARSD1/AARSD1-evaluation.md	scored	nuclear-envelope	120	False	COVERED_SCORED	Report present
AASS	Sheet1:5	True	detail/rejected/AASS/AASS-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AATF	Sheet1:6	True	detail/nucleolus/AATF/AATF-evaluation.md	scored	nucleolus	181	False	COVERED_SCORED	Report present
ABI1	Sheet1:7	True	detail/rejected/ABI1/ABI1-evaluation.md	rejected	rejected	189	False	COVERED_REJECTED	Report present
ABI2	Sheet1:8	True	detail/rejected/ABI2/ABI2-evaluation.md	scored	rejected	192	False	COVERED_REJECTED	Report present
ABITRAM	重新pa一下:54	True	detail/nucleoplasm/ABITRAM/ABITRAM-evaluation.md	scored	nucleoplasm	199	False	COVERED_SCORED	Report present
ABL1	研究很少:179	True	detail/rejected/ABL1/ABL1-evaluation.md	rejected	rejected	174	False	COVERED_REJECTED	Report present
ABLIM2	Sheet1:9	True	detail/nucleoplasm/ABLIM2/ABLIM2-evaluation.md	scored	nucleoplasm	177	False	COVERED_SCORED	Report present
ABLIM3	重新pa一下:569	True	detail/nucleoplasm/ABLIM3/ABLIM3-evaluation.md	scored	nucleoplasm	212	False	COVERED_SCORED	Report present
ABR	Sheet1:10	True	detail/rejected/ABR/ABR-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
ABRACL	研究很多:6	True	detail/rejected/ABRACL/ABRACL-evaluation.md	rejected	rejected	171	False	COVERED_REJECTED	Report present
ABRAXAS1	重新pa一下:568	True	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md	scored	nuclear-body	208	False	COVERED_SCORED	Report present
ABRAXAS2	重新pa一下:1302	True	detail/nucleus-cytoplasm/ABRAXAS2/ABRAXAS2-evaluation.md	scored	nucleus-cytoplasm	221	False	COVERED_SCORED	Report present
ABT1	Sheet1:11	True	detail/nucleolus/ABT1/ABT1-evaluation.md	scored	nucleolus	281	False	COVERED_SCORED	Report present
ABTB1	Sheet1:12	True	detail/nucleolus/ABTB1/ABTB1-evaluation.md	scored	nucleolus	137	False	COVERED_SCORED	Report present
ABTB2	重新pa一下:273	True	detail/nucleoplasm/ABTB2/ABTB2-evaluation.md	scored	nucleoplasm	208	False	COVERED_SCORED	Report present
ABTB3	重新pa一下:176	True	detail/rejected/ABTB3/ABTB3-evaluation.md	rejected	rejected	228	False	COVERED_REJECTED	Report present
ACACA	Sheet1:13	True	detail/rejected/ACACA/ACACA-evaluation.md	rejected	rejected	179	False	COVERED_REJECTED	Report present
ACADS	Sheet1:14	True	detail/rejected/ACADS/ACADS-evaluation.md	rejected	rejected	37	False	COVERED_REJECTED	Report present
ACAP3	研究很多:53	True	detail/rejected/ACAP3/ACAP3-evaluation.md	rejected	rejected	182	False	COVERED_REJECTED	Report present
ACAT2	Sheet1:15	True	detail/rejected/ACAT2/ACAT2-evaluation.md	scored	rejected	173	False	COVERED_REJECTED	Report present
ACBD4	重新pa一下:269	True	detail/nucleoplasm/ACBD4/ACBD4-evaluation.md	scored	nucleoplasm	196	False	COVERED_SCORED	Report present
ACBD6	研究很多:8	True	detail/nucleus-cytoplasm/ACBD6/ACBD6-evaluation.md	scored	nucleus-cytoplasm	96	False	COVERED_SCORED	Report present
ACD	研究很少:138	True	detail/rejected/ACD/ACD-evaluation.md	rejected	rejected	172	False	COVERED_REJECTED	Report present
ACIN1	Sheet1:16	True	detail/nucleoplasm/ACIN1/ACIN1-evaluation.md	scored	nucleoplasm	274	False	COVERED_SCORED	Report present
ACLY	研究很少:379	True	detail/rejected/ACLY/ACLY-evaluation.md	rejected	rejected	174	False	COVERED_REJECTED	Report present
ACOT12	Sheet1:17	True	detail/nucleoplasm/ACOT12/ACOT12-evaluation.md	scored	nucleoplasm	171	False	COVERED_SCORED	Report present
ACOX1	Sheet1:18	True	detail/rejected/ACOX1/ACOX1-evaluation.md	rejected	rejected	36	False	COVERED_REJECTED	Report present
ACOXL	重新pa一下:722	True	detail/rejected/ACOXL/ACOXL-evaluation.md	rejected	rejected	205	False	COVERED_REJECTED	Report present
ACP1	Sheet1:19	True	detail/rejected/ACP1/ACP1-evaluation.md	rejected	rejected	181	False	COVERED_REJECTED	Report present
ACP4	重新pa一下:1030	True	detail/rejected/ACP4/ACP4-evaluation.md	rejected	rejected	153	False	COVERED_REJECTED	Report present
ACSS2	研究很少:31	True	detail/rejected/ACSS2/ACSS2-evaluation.md	rejected	rejected	170	False	COVERED_REJECTED	Report present
ACYP1	研究很多:9	True	detail/rejected/ACYP1/ACYP1-evaluation.md	rejected	rejected	170	False	COVERED_REJECTED	Report present
ACYP2	研究很多:10	True	detail/rejected/ACYP2/ACYP2-evaluation.md	rejected	rejected	177	False	COVERED_REJECTED	Report present
ADAM33	重新pa一下:270	True	detail/rejected/ADAM33/ADAM33-evaluation.md	rejected	rejected	167	False	COVERED_REJECTED	Report present
ADARB1	Sheet1:20	True	detail/nucleolus/ADARB1/ADARB1-evaluation.md	scored	nucleolus	181	False	COVERED_SCORED	Report present
ADARB2	Sheet1:21	True	detail/nucleoplasm/ADARB2/ADARB2-evaluation.md	scored	nucleoplasm	119	False	COVERED_SCORED	Report present
ADAT1	Sheet1:22	True	detail/nucleoplasm/ADAT1/ADAT1-evaluation.md	scored	nucleoplasm	191	False	COVERED_SCORED	Report present
ADAT2	Sheet1:23	True	detail/nucleoplasm/ADAT2/ADAT2-evaluation.md	scored	nucleoplasm	212	False	COVERED_SCORED	Report present
ADAT3	重新pa一下:1163	True	detail/nucleoplasm/ADAT3/ADAT3-evaluation.md	scored	nucleoplasm	169	False	COVERED_SCORED	Report present
ADD1	Sheet1:24	True	detail/rejected/ADD1/ADD1-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
ADIG	Sheet1:25	True	detail/rejected/ADIG/ADIG-evaluation.md	rejected	rejected	158	False	COVERED_REJECTED	Report present
ADIRF	Sheet1:26	True	detail/nucleoplasm/ADIRF/ADIRF-evaluation.md	scored	nucleoplasm	194	False	COVERED_SCORED	Report present
ADK	Sheet1:27	True	detail/rejected/ADK/ADK-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
ADNP	研究很少:344	True	detail/rejected/ADNP/ADNP-evaluation.md	scored	rejected	211	False	COVERED_REJECTED	Report present
ADPRH	研究很多:13	True	detail/nuclear-envelope/ADPRH/ADPRH-evaluation.md	scored	nuclear-envelope	175	False	COVERED_SCORED	Report present
ADPRHL1	重新pa一下:524	True	detail/rejected/ADPRHL1/ADPRHL1-evaluation.md	rejected	rejected	147	False	COVERED_REJECTED	Report present
ADPRM	重新pa一下:127	True	detail/nucleoplasm/ADPRM/ADPRM-evaluation.md	scored	nucleoplasm	162	False	COVERED_SCORED	Report present
ADPRS	重新pa一下:1161	True	detail/nucleoplasm/ADPRS/ADPRS-evaluation.md	scored	nucleoplasm	217	False	COVERED_SCORED	Report present
ADRA1A	Sheet1:28	True	detail/rejected/ADRA1A/ADRA1A-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AEBP1	Sheet1:29	True	detail/rejected/AEBP1/AEBP1-evaluation.md	scored	rejected	177	False	COVERED_REJECTED	Report present
AEN	Sheet1:30	True	detail/rejected/AEN/AEN-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AFDN	Sheet1:31	True	detail/rejected/AFDN/AFDN-evaluation.md	rejected	rejected	19	False	COVERED_REJECTED	Report present
AFF1	研究很少:332	True	detail/rejected/AFF1/AFF1-evaluation.md	scored	rejected	176	False	COVERED_REJECTED	Report present
AFF2	Sheet1:32	True	detail/nuclear-speckle/AFF2/AFF2-evaluation.md	scored	nuclear-speckle	174	False	COVERED_SCORED	Report present
AFF3	Sheet1:33	True	detail/nucleoplasm/AFF3/AFF3-evaluation.md	scored	nucleoplasm	232	False	COVERED_SCORED	Report present
