priority	task_type	gene	path	issue	recommended_action	manual_review_required	reason
P0	INCOMPLETE_REPORT	MPHOSPH9	detail/rejected/MPHOSPH9/MPHOSPH9-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SEH1L	detail/rejected/SEH1L/SEH1L-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SERGEF	detail/rejected/SERGEF/SERGEF-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MPHOSPH6	detail/rejected/MPHOSPH6/MPHOSPH6-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NT5C1B	detail/rejected/NT5C1B/NT5C1B-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MLIP	detail/rejected/MLIP/MLIP-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MOB1A	detail/rejected/MOB1A/MOB1A-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NRBF2	detail/rejected/NRBF2/NRBF2-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NHSL1	detail/rejected/NHSL1/NHSL1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NME8	detail/rejected/NME8/NME8-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	MRFAP1	detail/rejected/MRFAP1/MRFAP1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	NUBP1	detail/rejected/NUBP1/NUBP1-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
P0	INCOMPLETE_REPORT	SELENOH	detail/rejected/SELENOH/SELENOH-evaluation.md	11L template	REWRITE_REPORT	True	11-line template
