global_index	batch_id	worker_id	recovery_batch	gene	current_path	current_status	current_lines	priority	needs_reharvest	needs_reevaluate	needs_manual_review	missing_sources	risk_level	flags	has_packet	stage_path	final_path	state
1	54	W1	1	RBPJL	detail/rejected/RBPJL/RBPJL-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RBPJL-evaluation.md	N/A	PENDING
2	54	W2	1	RCBTB2	detail/rejected/RCBTB2/RCBTB2-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RCBTB2-evaluation.md	N/A	PENDING
3	54	W3	1	RCCD1	detail/rejected/RCCD1/RCCD1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/RCCD1-evaluation.md	N/A	PENDING
4	54	W4	1	RDH14	detail/rejected/RDH14/RDH14-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/RDH14-evaluation.md	N/A	PENDING
5	55	W1	1	RERG	detail/rejected/RERG/RERG-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RERG-evaluation.md	N/A	PENDING
6	55	W2	1	REXO1	detail/rejected/REXO1/REXO1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/REXO1-evaluation.md	N/A	PENDING
7	55	W3	1	REXO5	detail/rejected/REXO5/REXO5-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/REXO5-evaluation.md	N/A	PENDING
8	55	W4	1	RFESD	detail/rejected/RFESD/RFESD-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/RFESD-evaluation.md	N/A	PENDING
9	55	W1	1	RFNG	detail/rejected/RFNG/RFNG-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RFNG-evaluation.md	N/A	PENDING
10	56	W2	1	RHBDL1	detail/rejected/RHBDL1/RHBDL1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RHBDL1-evaluation.md	N/A	PENDING
11	56	W3	1	RHEBL1	detail/rejected/RHEBL1/RHEBL1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/RHEBL1-evaluation.md	N/A	PENDING
12	56	W4	1	RIMKLA	detail/rejected/RIMKLA/RIMKLA-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/RIMKLA-evaluation.md	N/A	PENDING
13	56	W1	1	RIMKLB	detail/rejected/RIMKLB/RIMKLB-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RIMKLB-evaluation.md	N/A	PENDING
14	56	W2	1	RIMS3	detail/rejected/RIMS3/RIMS3-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RIMS3-evaluation.md	N/A	PENDING
15	57	W3	1	RINL	detail/rejected/RINL/RINL-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/RINL-evaluation.md	N/A	PENDING
16	57	W4	1	RIOX1	detail/rejected/RIOX1/RIOX1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/RIOX1-evaluation.md	N/A	PENDING
17	57	W1	1	RIPOR3	detail/rejected/RIPOR3/RIPOR3-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_1/staged_reports/RIPOR3-evaluation.md	N/A	PENDING
18	57	W2	1	RIPPLY2	detail/rejected/RIPPLY2/RIPPLY2-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_1/staged_reports/RIPPLY2-evaluation.md	N/A	PENDING
19	57	W3	1	RIPPLY3	detail/rejected/RIPPLY3/RIPPLY3-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_1/staged_reports/RIPPLY3-evaluation.md	N/A	PENDING
20	58	W4	1	RIT2	detail/rejected/RIT2/RIT2-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_1/staged_reports/RIT2-evaluation.md	N/A	PENDING
21	58	W1	2	RMC1	detail/rejected/RMC1/RMC1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_2/staged_reports/RMC1-evaluation.md	N/A	PENDING
22	58	W2	2	RMND5A	detail/rejected/RMND5A/RMND5A-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_2/staged_reports/RMND5A-evaluation.md	N/A	PENDING
23	58	W3	2	RMP24	detail/rejected/RMP24/RMP24-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_2/staged_reports/RMP24-evaluation.md	N/A	PENDING
24	58	W4	2	RMP64	detail/rejected/RMP64/RMP64-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W4/batch_2/staged_reports/RMP64-evaluation.md	N/A	PENDING
25	59	W1	2	ROGDI	detail/rejected/ROGDI/ROGDI-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W1/batch_2/staged_reports/ROGDI-evaluation.md	N/A	PENDING
26	59	W2	2	ROPN1L	detail/rejected/ROPN1L/ROPN1L-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W2/batch_2/staged_reports/ROPN1L-evaluation.md	N/A	PENDING
27	59	W3	2	RSPH1	detail/rejected/RSPH1/RSPH1-evaluation.md	rejected	11	P0	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	HARVEST_GAP|FALSE_REJECTION	False	audit_work/parallel_workers/worker_W3/batch_2/staged_reports/RSPH1-evaluation.md	N/A	PENDING
