gene	category	status	wc	risk	has_score	has_hpa	has_if_embed	has_if_files	has_pae_embed	has_pae_file	has_af_plddt	has_pdb	has_domain	has_ppi_table	has_string	has_intact	has_pubmed	has_literature	has_formula	suspicious
ALKBH3	chromatin	scored	1916	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED;LAZY
ARID3A	chromatin	scored	1923	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED;LAZY
ASF1A	chromatin	scored	596	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
ASXL3	chromatin	scored	1426	MED	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED;LAZY
AURKC	chromatin	scored	590	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
BAHD1	chromatin	scored	1221	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED;LAZY
BOD1L2	chromatin	scored	190	HIGH	True	True	False	False	False	False	True	False	True	False	True	True	True	False	True	SHORT;NO_IF;NO_PAE;NO_PDB;NO_PPI_TABLE;NO_LIT
CCDC137	chromatin	scored	784	HIGH	True	True	True	True	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CDYL	chromatin	scored	590	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
CENPH	chromatin	scored	755	HIGH	True	True	True	True	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CENPI	chromatin	scored	818	HIGH	True	True	True	True	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CENPK	chromatin	scored	879	HIGH	True	True	True	False	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CENPL	chromatin	scored	1009	MED	True	True	False	False	False	False	True	True	True	True	True	True	True	True	True	SHORT;NO_IF;NO_PAE;LAZY
CENPM	chromatin	scored	790	HIGH	True	True	True	False	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CENPT	chromatin	scored	738	HIGH	True	True	True	True	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CENPU	chromatin	scored	815	HIGH	True	True	True	True	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CENPV	chromatin	scored	1021	MED	True	True	False	False	False	False	True	True	True	True	True	True	True	True	True	SHORT;NO_IF;NO_PAE;LAZY
CENPX	chromatin	scored	825	HIGH	True	True	True	False	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CFDP1	chromatin	scored	834	HIGH	True	True	True	True	True	True	False	True	True	False	True	True	False	True	True	SHORT;NO_pLDDT;NO_PPI_TABLE;NO_PUBMED;LAZY
CRAMP1	chromatin	scored	941	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
CREB3L4	chromatin	scored	1370	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
CSNK1A1	chromatin	scored	616	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
DDB2	chromatin	scored	577	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
DSN1	chromatin	scored	866	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED;LAZY
GINS4	chromatin	scored	589	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
HP1BP3	chromatin	scored	2473	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
IHO1	chromatin	scored	950	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
JADE1	chromatin	scored	971	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
LRWD1	chromatin	scored	1059	MED	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	SHORT;NO_PDB;NO_PUBMED;LAZY
MACROH2A2	chromatin	scored	1005	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
MPHOSPH8	chromatin	scored	1001	MED	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
NAP1L1	chromatin	scored	609	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
NAP1L2	chromatin	scored	590	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
NAP1L4	chromatin	scored	619	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
NCAPD2	chromatin	scored	622	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
NCAPH	chromatin	scored	589	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
NCAPH2	chromatin	scored	595	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
NCBP2	chromatin	scored	916	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
NFX1	chromatin	scored	890	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
NMD3	chromatin	scored	853	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
NSMCE2	chromatin	scored	597	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
PAXIP1	chromatin	scored	966	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PAXX	chromatin	scored	818	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PHF14	chromatin	scored	586	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
PIDD1	chromatin	scored	869	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PLRG1	chromatin	scored	878	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PMF1	chromatin	scored	821	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PPHLN1	chromatin	scored	843	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PRR14	chromatin	scored	802	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PRR7	chromatin	scored	794	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PRRC2A	chromatin	scored	818	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PTBP3	chromatin	scored	833	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PURB	chromatin	scored	832	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
PUS1	chromatin	scored	834	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
QRICH1	chromatin	scored	814	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
QSER1	chromatin	scored	772	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
REC114	chromatin	scored	820	MED	True	True	True	False	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
RTF2	chromatin	scored	788	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SAMD1	chromatin	scored	1408	MED	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
SEM1	chromatin	scored	806	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SEPHS1	chromatin	scored	829	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SETMAR	chromatin	scored	591	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
SGF29	chromatin	scored	879	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SGTA	chromatin	scored	854	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SHLD1	chromatin	scored	1433	MED	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	SHORT;NO_PUBMED
SLFN5	chromatin	scored	863	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SLTM	chromatin	scored	866	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SMU1	chromatin	scored	868	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED;LAZY
SPC24	chromatin	scored	808	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
SPC25	chromatin	scored	780	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
SPINDOC	chromatin	scored	830	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
SSBP2	chromatin	scored	829	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
STAG3	chromatin	scored	593	HIGH	True	True	False	False	False	False	False	True	True	True	True	True	False	True	True	SHORT;NO_IF;NO_PAE;NO_pLDDT;NO_PUBMED
SUPT16H	chromatin	scored	937	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
SYCE1	chromatin	scored	813	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
SYCE2	chromatin	scored	805	MED	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	SHORT;NO_pLDDT;NO_PUBMED
