gene	count	paths	categories
AFMID	2	detail/rejected/AFMID/AFMID-evaluation.md, detail/nucleoplasm/AFMID/AFMID-evaluation.md	rejected, nucleoplasm
AIRIM	2	detail/rejected/AIRIM/AIRIM-evaluation.md, detail/nucleoplasm/AIRIM/AIRIM-evaluation.md	rejected, nucleoplasm
AKIP1	2	detail/rejected/AKIP1/AKIP1-evaluation.md, detail/nucleoplasm/AKIP1/AKIP1-evaluation.md	rejected, nucleoplasm
AKIRIN1	2	detail/rejected/AKIRIN1/AKIRIN1-evaluation.md, detail/nucleoplasm/AKIRIN1/AKIRIN1-evaluation.md	rejected, nucleoplasm
ALKBH2	2	detail/rejected/ALKBH2/ALKBH2-evaluation.md, detail/nucleoplasm/ALKBH2/ALKBH2-evaluation.md	rejected, nucleoplasm
ALKBH6	2	detail/rejected/ALKBH6/ALKBH6-evaluation.md, detail/nucleoplasm/ALKBH6/ALKBH6-evaluation.md	rejected, nucleoplasm
ANAPC13	2	detail/rejected/ANAPC13/ANAPC13-evaluation.md, detail/nucleoplasm/ANAPC13/ANAPC13-evaluation.md	rejected, nucleoplasm
BCLAF1	2	detail/rejected/BCLAF1/BCLAF1-evaluation.md, detail/nucleoplasm/BCLAF1/BCLAF1-evaluation.md	rejected, nucleoplasm
BICD2	2	detail/rejected/BICD2/BICD2-evaluation.md, detail/nucleoplasm/BICD2/BICD2-evaluation.md	rejected, nucleoplasm
CARD8	2	detail/rejected/CARD8/CARD8-evaluation.md, detail/nucleoplasm/CARD8/CARD8-evaluation.md	rejected, nucleoplasm
CHFR	2	detail/rejected/CHFR/CHFR-evaluation.md, detail/nucleoplasm/CHFR/CHFR-evaluation.md	rejected, nucleoplasm
CHMP4B	2	detail/rejected/CHMP4B/CHMP4B-evaluation.md, detail/nucleoplasm/CHMP4B/CHMP4B-evaluation.md	rejected, nucleoplasm
CIB1	2	detail/rejected/CIB1/CIB1-evaluation.md, detail/nucleoplasm/CIB1/CIB1-evaluation.md	rejected, nucleoplasm
CMIP	2	detail/rejected/CMIP/CMIP-evaluation.md, detail/nucleoplasm/CMIP/CMIP-evaluation.md	rejected, nucleoplasm
DLGAP5	2	detail/rejected/DLGAP5/DLGAP5-evaluation.md, detail/nucleoplasm/DLGAP5/DLGAP5-evaluation.md	rejected, nucleoplasm
FBXO7	2	detail/rejected/FBXO7/FBXO7-evaluation.md, detail/nucleoplasm/FBXO7/FBXO7-evaluation.md	rejected, nucleoplasm
GGA1	2	detail/rejected/GGA1/GGA1-evaluation.md, detail/nucleoplasm/GGA1/GGA1-evaluation.md	rejected, nucleoplasm
HDX	2	detail/rejected/HDX/HDX-evaluation.md, detail/nucleoplasm/HDX/HDX-evaluation.md	rejected, nucleoplasm
HERC2	2	detail/rejected/HERC2/HERC2-evaluation.md, detail/nucleoplasm/HERC2/HERC2-evaluation.md	rejected, nucleoplasm
INPP5E	2	detail/rejected/INPP5E/INPP5E-evaluation.md, detail/nucleoplasm/INPP5E/INPP5E-evaluation.md	rejected, nucleoplasm
ITSN1	2	detail/rejected/ITSN1/ITSN1-evaluation.md, detail/nucleoplasm/ITSN1/ITSN1-evaluation.md	rejected, nucleoplasm
LIMK2	2	detail/rejected/LIMK2/LIMK2-evaluation.md, detail/nucleoplasm/LIMK2/LIMK2-evaluation.md	rejected, nucleoplasm
LTA4H	2	detail/rejected/LTA4H/LTA4H-evaluation.md, detail/nucleoplasm/LTA4H/LTA4H-evaluation.md	rejected, nucleoplasm
LTC4S	2	detail/rejected/LTC4S/LTC4S-evaluation.md, detail/nucleoplasm/LTC4S/LTC4S-evaluation.md	rejected, nucleoplasm
MIOS	2	detail/rejected/MIOS/MIOS-evaluation.md, detail/nucleoplasm/MIOS/MIOS-evaluation.md	rejected, nucleoplasm
MIS18A	2	detail/rejected/MIS18A/MIS18A-evaluation.md, detail/nucleoplasm/MIS18A/MIS18A-evaluation.md	rejected, nucleoplasm
MKLN1	2	detail/rejected/MKLN1/MKLN1-evaluation.md, detail/nucleoplasm/MKLN1/MKLN1-evaluation.md	rejected, nucleoplasm
MLIP	2	detail/rejected/MLIP/MLIP-evaluation.md, detail/nuclear-envelope/MLIP/MLIP-evaluation.md	rejected, nuclear-envelope
MLXIPL	2	detail/rejected/MLXIPL/MLXIPL-evaluation.md, detail/nucleoplasm/MLXIPL/MLXIPL-evaluation.md	rejected, nucleoplasm
MMS19	2	detail/rejected/MMS19/MMS19-evaluation.md, detail/nucleoplasm/MMS19/MMS19-evaluation.md	rejected, nucleoplasm
MMS22L	2	detail/rejected/MMS22L/MMS22L-evaluation.md, detail/nucleoplasm/MMS22L/MMS22L-evaluation.md	rejected, nucleoplasm
MNS1	3	detail/rejected/MNS1/MNS1-evaluation.md, detail/nucleoplasm/MNS1/MNS1-evaluation.md, detail/nuclear-speckle/MNS1/MNS1-evaluation.md	rejected, nucleoplasm, nuclear-speckle
MOB1A	2	detail/rejected/MOB1A/MOB1A-evaluation.md, detail/nucleolus/MOB1A/MOB1A-evaluation.md	rejected, nucleolus
MOB1B	2	detail/rejected/MOB1B/MOB1B-evaluation.md, detail/nucleolus/MOB1B/MOB1B-evaluation.md	rejected, nucleolus
MOB2	2	detail/rejected/MOB2/MOB2-evaluation.md, detail/nucleolus/MOB2/MOB2-evaluation.md	rejected, nucleolus
MOCS2	3	detail/rejected/MOCS2/MOCS2-evaluation.md, detail/nucleoplasm/MOCS2/MOCS2-evaluation.md, detail/nuclear-speckle/MOCS2/MOCS2-evaluation.md	rejected, nucleoplasm, nuclear-speckle
MON2	2	detail/rejected/MON2/MON2-evaluation.md, detail/nucleolus/MON2/MON2-evaluation.md	rejected, nucleolus
MORN2	2	detail/rejected/MORN2/MORN2-evaluation.md, detail/nucleoplasm/MORN2/MORN2-evaluation.md	rejected, nucleoplasm
MOSPD1	2	detail/rejected/MOSPD1/MOSPD1-evaluation.md, detail/nucleoplasm/MOSPD1/MOSPD1-evaluation.md	rejected, nucleoplasm
MPHOSPH6	3	detail/rejected/MPHOSPH6/MPHOSPH6-evaluation.md, detail/nucleolus/MPHOSPH6/MPHOSPH6-evaluation.md, detail/nucleoplasm/MPHOSPH6/MPHOSPH6-evaluation.md	rejected, nucleolus, nucleoplasm
MPHOSPH9	2	detail/rejected/MPHOSPH9/MPHOSPH9-evaluation.md, detail/nucleoplasm/MPHOSPH9/MPHOSPH9-evaluation.md	rejected, nucleoplasm
MPND	2	detail/rejected/MPND/MPND-evaluation.md, detail/nucleoplasm/MPND/MPND-evaluation.md	rejected, nucleoplasm
MPPE1	2	detail/rejected/MPPE1/MPPE1-evaluation.md, detail/nucleoplasm/MPPE1/MPPE1-evaluation.md	rejected, nucleoplasm
MRFAP1	2	detail/rejected/MRFAP1/MRFAP1-evaluation.md, detail/nucleoplasm/MRFAP1/MRFAP1-evaluation.md	rejected, nucleoplasm
MRGBP	2	detail/rejected/MRGBP/MRGBP-evaluation.md, detail/nucleoplasm/MRGBP/MRGBP-evaluation.md	rejected, nucleoplasm
MRI1	3	detail/rejected/MRI1/MRI1-evaluation.md, detail/nucleolus/MRI1/MRI1-evaluation.md, detail/nucleoplasm/MRI1/MRI1-evaluation.md	rejected, nucleolus, nucleoplasm
MRPL44	3	detail/nuclear-body/MRPL44/MRPL44-evaluation.md, detail/rejected/MRPL44/MRPL44-evaluation.md, detail/nucleoplasm/MRPL44/MRPL44-evaluation.md	nuclear-body, rejected, nucleoplasm
NCK1	2	detail/rejected/NCK1/NCK1-evaluation.md, detail/nucleoplasm/NCK1/NCK1-evaluation.md	rejected, nucleoplasm
NEK1	2	detail/rejected/NEK1/NEK1-evaluation.md, detail/nucleoplasm/NEK1/NEK1-evaluation.md	rejected, nucleoplasm
NEXMIF	2	detail/rejected/NEXMIF/NEXMIF-evaluation.md, detail/nucleoplasm/NEXMIF/NEXMIF-evaluation.md	rejected, nucleoplasm
NFATC2IP	2	detail/rejected/NFATC2IP/NFATC2IP-evaluation.md, detail/nucleoplasm/NFATC2IP/NFATC2IP-evaluation.md	rejected, nucleoplasm
NFKBIL1	2	detail/rejected/NFKBIL1/NFKBIL1-evaluation.md, detail/nucleoplasm/NFKBIL1/NFKBIL1-evaluation.md	rejected, nucleoplasm
NFU1	2	detail/rejected/NFU1/NFU1-evaluation.md, detail/nucleoplasm/NFU1/NFU1-evaluation.md	rejected, nucleoplasm
NGDN	3	detail/rejected/NGDN/NGDN-evaluation.md, detail/nucleolus/NGDN/NGDN-evaluation.md, detail/nucleoplasm/NGDN/NGDN-evaluation.md	rejected, nucleolus, nucleoplasm
