gene	current_path	status	score	lines	nuclear_score	hpa_nuclear	uniprot_nuclear	go_nuclear	chromatin_or_rna_or_dna_related	pubmed_relevant	ppi_relevant	structure_relevant	missing_sources	harvest_completed	rejection_reason	risk_level	recommended_action	reason
SPACA9	detail/rejected/SPACA9/SPACA9-evaluation.md	rejected	?	186	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
Trim30a	detail/rejected/Trim30a/Trim30a-evaluation.md	rejected	?	160	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
STEAP3	detail/rejected/STEAP3/STEAP3-evaluation.md	rejected	?	181	?	False	False	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SPATA18	detail/rejected/SPATA18/SPATA18-evaluation.md	rejected	?	189	?	False	False	True	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
EYA4	detail/rejected/EYA4/EYA4-evaluation.md	rejected	?	178	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
Nat8f3	detail/rejected/Nat8f3/Nat8f3-evaluation.md	rejected	?	155	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
MPHOSPH9	detail/rejected/MPHOSPH9/MPHOSPH9-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
Pak6	detail/rejected/Pak6/Pak6-evaluation.md	rejected	?	182	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
Zng1	detail/rejected/Zng1/Zng1-evaluation.md	rejected	?	167	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SEH1L	detail/rejected/SEH1L/SEH1L-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
GABARAPL2	detail/rejected/GABARAPL2/GABARAPL2-evaluation.md	rejected	?	184	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SPANXD	detail/rejected/SPANXD/SPANXD-evaluation.md	rejected	?	177	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SLX1B	detail/rejected/SLX1B/SLX1B-evaluation.md	rejected	?	186	?	False	True	True	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
GRK3	detail/rejected/GRK3/GRK3-evaluation.md	rejected	?	178	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SERGEF	detail/rejected/SERGEF/SERGEF-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
MPHOSPH6	detail/rejected/MPHOSPH6/MPHOSPH6-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
CMYA5	detail/rejected/CMYA5/CMYA5-evaluation.md	rejected	?	175	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
TEX11	detail/rejected/TEX11/TEX11-evaluation.md	rejected	?	169	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NT5C1B	detail/rejected/NT5C1B/NT5C1B-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SCAMP1	detail/rejected/SCAMP1/SCAMP1-evaluation.md	rejected	?	123	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
MLIP	detail/rejected/MLIP/MLIP-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
MOB1A	detail/rejected/MOB1A/MOB1A-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NRBF2	detail/rejected/NRBF2/NRBF2-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
MKKS	detail/rejected/MKKS/MKKS-evaluation.md	rejected	?	194	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
ANXA5	detail/rejected/ANXA5/ANXA5-evaluation.md	rejected	?	182	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
RTN1	detail/rejected/RTN1/RTN1-evaluation.md	rejected	?	164	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
RALGDS	detail/rejected/RALGDS/RALGDS-evaluation.md	rejected	?	180	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
AIRIM	detail/rejected/AIRIM/AIRIM-evaluation.md	rejected	?	111	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
BICD2	detail/rejected/BICD2/BICD2-evaluation.md	rejected	?	191	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NHSL1	detail/rejected/NHSL1/NHSL1-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
TEP1	detail/rejected/TEP1/TEP1-evaluation.md	rejected	?	172	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
PLOD1	detail/rejected/PLOD1/PLOD1-evaluation.md	rejected	?	183	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
VCF1	detail/rejected/VCF1/VCF1-evaluation.md	rejected	?	162	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NME8	detail/rejected/NME8/NME8-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
RSPH1	detail/rejected/RSPH1/RSPH1-evaluation.md	rejected	?	167	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
MRFAP1	detail/rejected/MRFAP1/MRFAP1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
MLXIPL	detail/rejected/MLXIPL/MLXIPL-evaluation.md	rejected	?	205	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SLFN14	detail/rejected/SLFN14/SLFN14-evaluation.md	rejected	?	176	?	False	True	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NUBP1	detail/rejected/NUBP1/NUBP1-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
