gene	path	lines	is_chinese	has_hpa	has_pubmed	has_structure	has_ppi	has_te_module	has_nuclear_reject	has_ppi_pending	has_hpa_url	has_if_embed	has_pae_explained	qa_pass	reason
AAAS	centrosome/detail/AAAS/AAAS-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
ABCA13	centrosome/detail/ABCA13/ABCA13-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ACADS	centrosome/detail/ACADS/ACADS-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
ACTR8	centrosome/detail/ACTR8/ACTR8-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ACTRT3	centrosome/detail/ACTRT3/ACTRT3-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ADCK2	centrosome/detail/ADCK2/ADCK2-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ADNP	centrosome/detail/ADNP/ADNP-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
ADPGK	centrosome/detail/ADPGK/ADPGK-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
AGBL5	centrosome/detail/AGBL5/AGBL5-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
AGTPBP1	centrosome/detail/AGTPBP1/AGTPBP1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
AHI1	centrosome/detail/AHI1/AHI1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
AK5	centrosome/detail/AK5/AK5-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
AK6	centrosome/detail/AK6/AK6-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
AKAP9	centrosome/detail/AKAP9/AKAP9-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
AKNA	centrosome/detail/AKNA/AKNA-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ALDH8A1	centrosome/detail/ALDH8A1/ALDH8A1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ALMS1	centrosome/detail/ALMS1/ALMS1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
ALPK1	centrosome/detail/ALPK1/ALPK1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
AMN1	centrosome/detail/AMN1/AMN1-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ANKAR	centrosome/detail/ANKAR/ANKAR-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ANKRD31	centrosome/detail/ANKRD31/ANKRD31-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ANKRD45	centrosome/detail/ANKRD45/ANKRD45-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ANP32A	centrosome/detail/ANP32A/ANP32A-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
ANP32B	centrosome/detail/ANP32B/ANP32B-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
ANP32E	centrosome/detail/ANP32E/ANP32E-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
APEX1	centrosome/detail/APEX1/APEX1-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
APOBR	centrosome/detail/APOBR/APOBR-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ARHGAP29	centrosome/detail/ARHGAP29/ARHGAP29-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ARHGAP40	centrosome/detail/ARHGAP40/ARHGAP40-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ARHGEF38	centrosome/detail/ARHGEF38/ARHGEF38-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ARL2BP	centrosome/detail/ARL2BP/ARL2BP-centrosome-evaluation.md	99	True	True	True	True	True	False	False	False	True	True	True	True	PASS
ARL3	centrosome/detail/ARL3/ARL3-centrosome-evaluation.md	31	True	True	True	False	False	False	False	False	False	False	False	False	lines=31; no structure; no PPI
