gene	path	status	category	lines	chars	has_yaml	has_hpa	has_uniprot_go	has_pubmed_strict_broad	has_alphafold_plddt_pae	has_pdb_or_no_pdb_explanation	has_ppi	has_te_relevance_reasoning	has_scoring_table	has_final_decision_reason	has_manual_review_note	has_forbidden_placeholders	has_packet_error_conclusion	has_one_line_no_nuclear_rejection	risk_level	recommended_action	reason
ANGEL2	detail/nuclear-body/ANGEL2/ANGEL2-evaluation.md	scored	nuclear-body	179	5838	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
ELF2	detail/nuclear-body/ELF2/ELF2-evaluation.md	scored	nuclear-body	187	5991	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CWF19L2	detail/nuclear-body/CWF19L2/CWF19L2-evaluation.md	scored	nuclear-body	176	5357	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
DHX8	detail/nuclear-body/DHX8/DHX8-evaluation.md	scored	nuclear-body	182	5509	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CXXC1	detail/nuclear-body/CXXC1/CXXC1-evaluation.md	scored	nuclear-body	174	4989	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
ERCC8	detail/nuclear-body/ERCC8/ERCC8-evaluation.md	scored	nuclear-body	190	6151	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
DDX42	detail/nuclear-body/DDX42/DDX42-evaluation.md	scored	nuclear-body	175	5085	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
TSC22D1	detail/nuclear-body/TSC22D1/TSC22D1-evaluation.md	scored	nuclear-body	127	4319	True	True	True	True	True	True	True	True	False	True	True	True	False	False	OK	KEEP	OK
CCNDBP1	detail/nuclear-body/CCNDBP1/CCNDBP1-evaluation.md	scored	nuclear-body	180	5360	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
FAM193B	detail/nuclear-body/FAM193B/FAM193B-evaluation.md	scored	nuclear-body	185	5628	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
FAM175A	detail/nuclear-body/FAM175A/FAM175A-evaluation.md	scored	nuclear-body	177	5785	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
ELL3	detail/nuclear-body/ELL3/ELL3-evaluation.md	scored	nuclear-body	190	6121	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
EXOSC7	detail/nuclear-body/EXOSC7/EXOSC7-evaluation.md	scored	nuclear-body	190	6060	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
NME8	detail/nuclear-body/NME8/NME8-evaluation.md	scored	nuclear-body	184	5555	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
EXOSC1	detail/nuclear-body/EXOSC1/EXOSC1-evaluation.md	scored	nuclear-body	190	6103	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
GEMIN6	detail/nuclear-body/GEMIN6/GEMIN6-evaluation.md	scored	nuclear-body	106	4840	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
CHN2	detail/nuclear-body/CHN2/CHN2-evaluation.md	scored	nuclear-body	179	5787	True	True	True	True	True	True	True	False	True	True	False	False	False	False	OK	KEEP	OK
EPC1	detail/nuclear-body/EPC1/EPC1-evaluation.md	scored	nuclear-body	190	6091	True	True	True	True	True	True	True	True	True	True	False	False	False	False	OK	KEEP	OK
PLXDC2	detail/nuclear-body/PLXDC2/PLXDC2-evaluation.md	scored	nuclear-body	120	3678	True	True	True	True	True	True	True	True	False	True	True	True	False	False	OK	KEEP	OK
