gene	current_path	status	current_lines	current_chars	risk	issues	in_excel	recommended_action	reason
AAAS	rejected/AAAS/AAAS-evaluation.md	rejected	11	346	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AAMDC	rejected/AAMDC/AAMDC-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ABCA13	rejected/ABCA13/ABCA13-evaluation.md	rejected	11	162	CRITICAL	THIN,SHORT_REJECTED,PACKET_ERROR	False	FULL_REEVALUATE	Packet error — harvest failed, must re-harvest
ABCA17	rejected/ABCA17/ABCA17-evaluation.md	rejected	11	162	CRITICAL	THIN,SHORT_REJECTED,PACKET_ERROR	False	FULL_REEVALUATE	Packet error — harvest failed, must re-harvest
ABCA2	rejected/ABCA2/ABCA2-evaluation.md	rejected	11	160	CRITICAL	THIN,SHORT_REJECTED,PACKET_ERROR	False	FULL_REEVALUATE	Packet error — harvest failed, must re-harvest
ABCA3	rejected/ABCA3/ABCA3-evaluation.md	rejected	11	160	CRITICAL	THIN,SHORT_REJECTED,PACKET_ERROR	False	FULL_REEVALUATE	Packet error — harvest failed, must re-harvest
ABITRAM	rejected/ABITRAM/ABITRAM-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ABLIM3	rejected/ABLIM3/ABLIM3-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ABRAXAS1	rejected/ABRAXAS1/ABRAXAS1-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ABRAXAS2	rejected/ABRAXAS2/ABRAXAS2-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ABTB2	rejected/ABTB2/ABTB2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ABTB3	rejected/ABTB3/ABTB3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ACBD4	rejected/ACBD4/ACBD4-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ACOXL	rejected/ACOXL/ACOXL-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ACP4	rejected/ACP4/ACP4-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ADAM33	rejected/ADAM33/ADAM33-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ADAT3	rejected/ADAT3/ADAT3-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ADPRHL1	rejected/ADPRHL1/ADPRHL1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ADPRM	rejected/ADPRM/ADPRM-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ADPRS	rejected/ADPRS/ADPRS-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AFMID	rejected/AFMID/AFMID-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AGAP2	rejected/AGAP2/AGAP2-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AGBL5	rejected/AGBL5/AGBL5-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AGFG1	rejected/AGFG1/AGFG1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AGPAT4	rejected/AGPAT4/AGPAT4-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AGTPBP1	rejected/AGTPBP1/AGTPBP1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AHCYL2	rejected/AHCYL2/AHCYL2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AIRIM	rejected/AIRIM/AIRIM-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AKAP6	rejected/AKAP6/AKAP6-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AKAP7	rejected/AKAP7/AKAP7-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AKIP1	rejected/AKIP1/AKIP1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AKIRIN1	rejected/AKIRIN1/AKIRIN1-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ALG14	rejected/ALG14/ALG14-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ALG8	rejected/ALG8/ALG8-evaluation.md	rejected	11	184	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ALKBH2	rejected/ALKBH2/ALKBH2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ALKBH6	rejected/ALKBH6/ALKBH6-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AMDHD1	rejected/AMDHD1/AMDHD1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AMDHD2	rejected/AMDHD2/AMDHD2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
AMER1	rejected/AMER1/AMER1-evaluation.md	rejected	11	186	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANAPC10	rejected/ANAPC10/ANAPC10-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANAPC11	rejected/ANAPC11/ANAPC11-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANAPC13	rejected/ANAPC13/ANAPC13-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANAPC2	rejected/ANAPC2/ANAPC2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANAPC4	rejected/ANAPC4/ANAPC4-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANAPC5	rejected/ANAPC5/ANAPC5-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANAPC7	rejected/ANAPC7/ANAPC7-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANGEL1	rejected/ANGEL1/ANGEL1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANGEL2	rejected/ANGEL2/ANGEL2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANKEF1	rejected/ANKEF1/ANKEF1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANKFN1	rejected/ANKFN1/ANKFN1-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANKMY2	rejected/ANKMY2/ANKMY2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANKRA2	rejected/ANKRA2/ANKRA2-evaluation.md	rejected	11	188	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANKRD10	rejected/ANKRD10/ANKRD10-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANKRD12	rejected/ANKRD12/ANKRD12-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANKRD23	rejected/ANKRD23/ANKRD23-evaluation.md	rejected	11	190	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANKRD30B	rejected/ANKRD30B/ANKRD30B-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
ANKRD34B	rejected/ANKRD34B/ANKRD34B-evaluation.md	rejected	11	192	CRITICAL	THIN,SHORT_REJECTED	True	FULL_REEVALUATE	In Excel, thin template — must properly evaluate
