gene	path	status	lines	source	report_claim	evidence_exists	evidence_type	evidence_path_or_source	embedded_in_report	mismatch_type	severity	recommended_action	needs_download	needs_embed	needs_report_text_fix	needs_manual_review	reason
GEMIN6	detail/nuclear-body/GEMIN6/GEMIN6-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
TRIM8	detail/nuclear-body/TRIM8/TRIM8-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
FAM122A	detail/nuclear-body/FAM122A/FAM122A-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
NPEPL1	detail/nucleus-cytoplasm/NPEPL1/NPEPL1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
DNPH1	detail/nucleus-cytoplasm/DNPH1/DNPH1-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
AKIRIN2	detail/nucleus-cytoplasm/AKIRIN2/AKIRIN2-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
C15orf39	detail/nucleus-cytoplasm/C15orf39/C15orf39-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
ANKRD16	detail/nucleus-cytoplasm/ANKRD16/ANKRD16-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
BUD23	detail/nucleus-cytoplasm/BUD23/BUD23-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
BOLA2B	detail/nucleus-cytoplasm/BOLA2B/BOLA2B-evaluation.md	scored	?	HPA_IF	missing_claim	True	HPA_IF	?	False	IMAGE_EXISTS_NOT_EMBEDDED	HIGH	EMBED_IMAGE	False	True	True	False	Local HPA_IF exists but not embedded
