gene	path	source	report_claim	evidence_exists	image_or_metadata_exists	image_embedded	old_todo_or_checklist_only	is_true_mismatch	is_audit_false_positive	needs_repair	reason
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
ANKRD2	detail/chromatin/ANKRD2/ANKRD2-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=2
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
ASB7	detail/chromatin/ASB7/ASB7-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
ASB7	detail/chromatin/ASB7/ASB7-evaluation.md	PAE	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	HPA_IF	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	PAE	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=1
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
AUNIP	detail/chromatin/AUNIP/AUNIP-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
AUNIP	detail/chromatin/AUNIP/AUNIP-evaluation.md	PAE	STALE_PATTERN	False	False	False	False	False	False	False	Stale unavailable/no-data claim remains, but no local image/metadata evidence was found by Step 1
AURKC	detail/chromatin/AURKC/AURKC-evaluation.md	HPA_IF	STALE_PATTERN	False	False	False	True	False	True	False	Only old TODO/checklist pattern matched
AURKC	detail/chromatin/AURKC/AURKC-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	HPA_IF	STALE_PATTERN	True	True	True	False	False	True	False	Image/evidence embedded; Local evidence count=2
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	PAE	NO_STALE_PATTERN	True	True	True	False	False	False	False	Image/evidence embedded; Local evidence count=1
