gene	category	status	char_count	risk	flags	has_hpa_details	has_if_or_rescue	has_plddt	has_pae_or_note	has_pdb_info	has_real_ppi	has_pubmed_counts	has_key_lit	rejection_lines	lazy_phrases
ALKBH3	chromatin	scored	8386	HIGH	LAZY:待补充; NO_HPA_DETAILS; NO_PUBMED_COUNTS	False	True	True	True	True	True	False	True	0	待补充
ARID3A	chromatin	scored	8369	HIGH	LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
ASF1A	chromatin	scored	2888	CRITICAL	SHORT_SCORED(2888); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
ASXL3	chromatin	scored	5857	HIGH	LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; NO_IF_NO_RESCUE; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
AURKC	chromatin	scored	2961	CRITICAL	SHORT_SCORED(2961); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
BAHD1	chromatin	scored	5817	HIGH	LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
BOD1L2	chromatin	scored	1721	CRITICAL	SHORT_SCORED(1721); LAZY:IntAct 有限记录; NO_HPA_DETAILS; NO_PDB_INFO; PPI:ONLY_0_PARTNERS; NO_KEY_LIT	False	False	True	True	False	False	True	False	0	IntAct 有限记录
CCDC137	chromatin	scored	4452	HIGH	SHORT_SCORED(4452); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
CDYL	chromatin	scored	2924	CRITICAL	SHORT_SCORED(2924); LAZY:需进一步查询;暂无详细;基于基因家族推断; NO_HPA_DETAILS; NO_IF_NO_RESCUE; NO_PLDDT; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	False	False	True	True	False	False	True	0	需进一步查询;暂无详细;基于基因家族推断;IntAct 有限记录;无记录 \| — \| —
CENPH	chromatin	scored	4127	HIGH	SHORT_SCORED(4127); LAZY:待补充;IntAct 有限记录;无记录 \| — \| —; NO_HPA_DETAILS; PPI:ONLY_0_PARTNERS; NO_PUBMED_COUNTS	False	True	True	True	True	False	False	True	0	待补充;IntAct 有限记录;无记录 \| — \| —
