global_index	batch_id	priority	gene	excel_sheets	has_any_report	duplicate_status	needs_harvest	needs_new_evaluation	current_path	target_category	target_path	worker_id	lock_path	stage_path	final_path	state	reason
1	1	P3	ABL1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ABL1.lock	audit_work/missing_gene_workers/worker_W1/batch_1/staged_reports/ABL1-evaluation.md	?	PENDING	NEW_EVAL
2	1	P3	ACD	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ACD.lock	audit_work/missing_gene_workers/worker_W1/batch_1/staged_reports/ACD-evaluation.md	?	PENDING	NEW_EVAL
3	1	P3	ACLY	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ACLY.lock	audit_work/missing_gene_workers/worker_W1/batch_1/staged_reports/ACLY-evaluation.md	?	PENDING	NEW_EVAL
4	1	P3	ACSS2	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ACSS2.lock	audit_work/missing_gene_workers/worker_W1/batch_1/staged_reports/ACSS2-evaluation.md	?	PENDING	NEW_EVAL
5	1	P3	AGO2	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/AGO2.lock	audit_work/missing_gene_workers/worker_W1/batch_1/staged_reports/AGO2-evaluation.md	?	PENDING	NEW_EVAL
6	2	P3	AGO3	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/AGO3.lock	audit_work/missing_gene_workers/worker_W1/batch_2/staged_reports/AGO3-evaluation.md	?	PENDING	NEW_EVAL
7	2	P3	AHR	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/AHR.lock	audit_work/missing_gene_workers/worker_W1/batch_2/staged_reports/AHR-evaluation.md	?	PENDING	NEW_EVAL
8	2	P3	AIRE	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/AIRE.lock	audit_work/missing_gene_workers/worker_W1/batch_2/staged_reports/AIRE-evaluation.md	?	PENDING	NEW_EVAL
9	2	P3	AKAP11	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/AKAP11.lock	audit_work/missing_gene_workers/worker_W1/batch_2/staged_reports/AKAP11-evaluation.md	?	PENDING	NEW_EVAL
10	2	P3	AKAP13	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/AKAP13.lock	audit_work/missing_gene_workers/worker_W1/batch_2/staged_reports/AKAP13-evaluation.md	?	PENDING	NEW_EVAL
11	3	P3	ALKBH5	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ALKBH5.lock	audit_work/missing_gene_workers/worker_W1/batch_3/staged_reports/ALKBH5-evaluation.md	?	PENDING	NEW_EVAL
12	3	P3	ANG	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ANG.lock	audit_work/missing_gene_workers/worker_W1/batch_3/staged_reports/ANG-evaluation.md	?	PENDING	NEW_EVAL
13	3	P3	APEX1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/APEX1.lock	audit_work/missing_gene_workers/worker_W1/batch_3/staged_reports/APEX1-evaluation.md	?	PENDING	NEW_EVAL
14	3	P3	APEX2	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/APEX2.lock	audit_work/missing_gene_workers/worker_W1/batch_3/staged_reports/APEX2-evaluation.md	?	PENDING	NEW_EVAL
15	3	P3	AR	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/AR.lock	audit_work/missing_gene_workers/worker_W1/batch_3/staged_reports/AR-evaluation.md	?	PENDING	NEW_EVAL
16	4	P3	ARX	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ARX.lock	audit_work/missing_gene_workers/worker_W1/batch_4/staged_reports/ARX-evaluation.md	?	PENDING	NEW_EVAL
17	4	P3	ASH1L	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ASH1L.lock	audit_work/missing_gene_workers/worker_W1/batch_4/staged_reports/ASH1L-evaluation.md	?	PENDING	NEW_EVAL
18	4	P3	ASH2L	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ASH2L.lock	audit_work/missing_gene_workers/worker_W1/batch_4/staged_reports/ASH2L-evaluation.md	?	PENDING	NEW_EVAL
19	4	P3	ASPA	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ASPA.lock	audit_work/missing_gene_workers/worker_W1/batch_4/staged_reports/ASPA-evaluation.md	?	PENDING	NEW_EVAL
20	4	P3	ASXL1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ASXL1.lock	audit_work/missing_gene_workers/worker_W1/batch_4/staged_reports/ASXL1-evaluation.md	?	PENDING	NEW_EVAL
21	5	P3	ATF1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATF1.lock	audit_work/missing_gene_workers/worker_W1/batch_5/staged_reports/ATF1-evaluation.md	?	PENDING	NEW_EVAL
22	5	P3	ATF2	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATF2.lock	audit_work/missing_gene_workers/worker_W1/batch_5/staged_reports/ATF2-evaluation.md	?	PENDING	NEW_EVAL
23	5	P3	ATF3	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATF3.lock	audit_work/missing_gene_workers/worker_W1/batch_5/staged_reports/ATF3-evaluation.md	?	PENDING	NEW_EVAL
24	5	P3	ATF4	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATF4.lock	audit_work/missing_gene_workers/worker_W1/batch_5/staged_reports/ATF4-evaluation.md	?	PENDING	NEW_EVAL
25	5	P3	ATF6	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATF6.lock	audit_work/missing_gene_workers/worker_W1/batch_5/staged_reports/ATF6-evaluation.md	?	PENDING	NEW_EVAL
26	6	P3	ATG16L2	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATG16L2.lock	audit_work/missing_gene_workers/worker_W1/batch_6/staged_reports/ATG16L2-evaluation.md	?	PENDING	NEW_EVAL
27	6	P3	ATG7	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATG7.lock	audit_work/missing_gene_workers/worker_W1/batch_6/staged_reports/ATG7-evaluation.md	?	PENDING	NEW_EVAL
28	6	P3	ATM	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATM.lock	audit_work/missing_gene_workers/worker_W1/batch_6/staged_reports/ATM-evaluation.md	?	PENDING	NEW_EVAL
29	6	P3	ATOH1	研究很少	False	OK	True	True	N/A	?	?	W1	audit_work/locks/missing_gene_evaluation/ATOH1.lock	audit_work/missing_gene_workers/worker_W1/batch_6/staged_reports/ATOH1-evaluation.md	?	PENDING	NEW_EVAL
