batch_id	priority	gene	current_path	current_status	current_lines	source_flags	needs_reharvest	needs_reevaluate	needs_manual_review	missing_sources	risk_level	reason
1	P0	BCLAF1	detail/rejected/BCLAF1/BCLAF1-evaluation.md	rejected	24	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_1
1	P0	MIOS	detail/rejected/MIOS/MIOS-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_1
1	P0	MIS18A	detail/rejected/MIS18A/MIS18A-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_1
1	P0	MKKS	detail/rejected/MKKS/MKKS-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_1
1	P0	MKLN1	detail/rejected/MKLN1/MKLN1-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_1
2	P0	MLIP	detail/rejected/MLIP/MLIP-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_2
2	P0	MLXIPL	detail/rejected/MLXIPL/MLXIPL-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_2
2	P0	MMS19	detail/rejected/MMS19/MMS19-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_2
2	P0	MMS22L	detail/rejected/MMS22L/MMS22L-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_2
2	P0	MNS1	detail/rejected/MNS1/MNS1-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_2
3	P0	MOB1A	detail/rejected/MOB1A/MOB1A-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_3
3	P0	MOB1B	detail/rejected/MOB1B/MOB1B-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_3
3	P0	MOB2	detail/rejected/MOB2/MOB2-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_3
3	P0	MOCS2	detail/rejected/MOCS2/MOCS2-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_3
3	P0	MON2	detail/rejected/MON2/MON2-evaluation.md	rejected	11	HARVEST_GAP|FALSE_REJECTION	True	True	True	HPA,PubMed,AlphaFold,PDB,PPI	HIGH_FALSE_REJECTION_RISK	RECOVERY_BATCH_3
