gene	report_path	remaining_if_gap	remaining_pae_gap
ASB7	detail/chromatin/ASB7/ASB7-evaluation.md	False	True
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	True	False
AUNIP	detail/chromatin/AUNIP/AUNIP-evaluation.md	False	True
AURKC	detail/chromatin/AURKC/AURKC-evaluation.md	True	False
BANF2	detail/chromatin/BANF2/BANF2-evaluation.md	True	False
BARHL2	detail/chromatin/BARHL2/BARHL2-evaluation.md	True	False
BHLHA9	detail/chromatin/BHLHA9/BHLHA9-evaluation.md	True	False
BHLHE23	detail/chromatin/BHLHE23/BHLHE23-evaluation.md	True	False
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	True	True
BSX	detail/chromatin/BSX/BSX-evaluation.md	True	False
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	True	False
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	True	False
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	True	False
CUX2	detail/chromatin/CUX2/CUX2-evaluation.md	True	False
CYREN	detail/chromatin/CYREN/CYREN-evaluation.md	True	False
DBX1	detail/chromatin/DBX1/DBX1-evaluation.md	True	False
DMBX1	detail/chromatin/DMBX1/DMBX1-evaluation.md	True	False
DMRT3	detail/chromatin/DMRT3/DMRT3-evaluation.md	True	False
DMRTB1	detail/chromatin/DMRTB1/DMRTB1-evaluation.md	True	False
DMRTC2	detail/chromatin/DMRTC2/DMRTC2-evaluation.md	True	False
DPRX	detail/chromatin/DPRX/DPRX-evaluation.md	True	False
DYNC1I1	detail/chromatin/DYNC1I1/DYNC1I1-evaluation.md	True	False
DYNLT3	detail/chromatin/DYNLT3/DYNLT3-evaluation.md	True	False
EME2	detail/chromatin/EME2/EME2-evaluation.md	True	False
FBH1	detail/chromatin/FBH1/FBH1-evaluation.md	True	False
FBXO18	detail/chromatin/FBXO18/FBXO18-evaluation.md	True	False
FERD3L	detail/chromatin/FERD3L/FERD3L-evaluation.md	True	False
FOXB2	detail/chromatin/FOXB2/FOXB2-evaluation.md	True	False
FOXI2	detail/chromatin/FOXI2/FOXI2-evaluation.md	True	False
GBX1	detail/chromatin/GBX1/GBX1-evaluation.md	True	False
GSC2	detail/chromatin/GSC2/GSC2-evaluation.md	True	False
H4C7	detail/chromatin/H4C7/H4C7-evaluation.md	True	False
HES2	detail/chromatin/HES2/HES2-evaluation.md	True	False
HMGB4	detail/chromatin/HMGB4/HMGB4-evaluation.md	True	False
MEIOB	detail/chromatin/MEIOB/MEIOB-evaluation.md	True	False
MESP2	detail/chromatin/MESP2/MESP2-evaluation.md	True	False
NAP1L1	detail/chromatin/NAP1L1/NAP1L1-evaluation.md	True	False
NCAPD2	detail/chromatin/NCAPD2/NCAPD2-evaluation.md	False	True
NEUROD6	detail/chromatin/NEUROD6/NEUROD6-evaluation.md	True	False
POU6F2	detail/chromatin/POU6F2/POU6F2-evaluation.md	True	False
PRM3	detail/chromatin/PRM3/PRM3-evaluation.md	True	False
PROX2	detail/chromatin/PROX2/PROX2-evaluation.md	True	False
PRRC2A	detail/chromatin/PRRC2A/PRRC2A-evaluation.md	True	False
RBPJL	detail/chromatin/RBPJL/RBPJL-evaluation.md	True	False
RTF2	detail/chromatin/RTF2/RTF2-evaluation.md	True	False
SOX14	detail/chromatin/SOX14/SOX14-evaluation.md	True	False
SRCAP	detail/chromatin/SRCAP/SRCAP-evaluation.md	False	True
TBX22	detail/chromatin/TBX22/TBX22-evaluation.md	True	False
TFAP2E	detail/chromatin/TFAP2E/TFAP2E-evaluation.md	True	False
TRIOBP	detail/chromatin/TRIOBP/TRIOBP-evaluation.md	True	False
TRNP1	detail/chromatin/TRNP1/TRNP1-evaluation.md	True	False
UFL1	detail/chromatin/UFL1/UFL1-evaluation.md	True	False
VSX2	detail/chromatin/VSX2/VSX2-evaluation.md	True	False
ABRAXAS1	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md	False	True
BABAM1	detail/nuclear-body/BABAM1/BABAM1-evaluation.md	False	True
CIRSR	detail/nuclear-body/CIRSR/CIRSR-evaluation.md	True	False
CWF19L2	detail/nuclear-body/CWF19L2/CWF19L2-evaluation.md	False	True
NRIP2	detail/nuclear-body/NRIP2/NRIP2-evaluation.md	False	True
PML	detail/nuclear-body/PML/PML-evaluation.md	False	True
TRIM8	detail/nuclear-body/TRIM8/TRIM8-evaluation.md	False	True
AGPAT3	detail/nuclear-envelope/AGPAT3/AGPAT3-evaluation.md	True	False
ARFGAP1	detail/nuclear-envelope/ARFGAP1/ARFGAP1-evaluation.md	False	True
C22orf31	detail/nuclear-envelope/C22orf31/C22orf31-evaluation.md	False	True
CHMP2A	detail/nuclear-envelope/CHMP2A/CHMP2A-evaluation.md	True	False
FAM156A	detail/nuclear-envelope/FAM156A/FAM156A-evaluation.md	True	False
FAM156B	detail/nuclear-envelope/FAM156B/FAM156B-evaluation.md	True	False
FAM181B	detail/nuclear-envelope/FAM181B/FAM181B-evaluation.md	False	True
GHDC	detail/nuclear-envelope/GHDC/GHDC-evaluation.md	True	False
KASH5	detail/nuclear-envelope/KASH5/KASH5-evaluation.md	True	False
MAJIN	detail/nuclear-envelope/MAJIN/MAJIN-evaluation.md	True	False
MTMR8	detail/nuclear-envelope/MTMR8/MTMR8-evaluation.md	True	False
SHISA5	detail/nuclear-envelope/SHISA5/SHISA5-evaluation.md	True	False
SPATA46	detail/nuclear-envelope/SPATA46/SPATA46-evaluation.md	True	False
SUN5	detail/nuclear-envelope/SUN5/SUN5-evaluation.md	True	False
SYNE4	detail/nuclear-envelope/SYNE4/SYNE4-evaluation.md	True	False
TMC6	detail/nuclear-envelope/TMC6/TMC6-evaluation.md	True	False
TXLNG	detail/nuclear-envelope/TXLNG/TXLNG-evaluation.md	True	False
UBXN4	detail/nuclear-envelope/UBXN4/UBXN4-evaluation.md	True	False
AAGAB	detail/nuclear-speckle/AAGAB/AAGAB-evaluation.md	False	True
AFF2	detail/nuclear-speckle/AFF2/AFF2-evaluation.md	True	False
BKGD	detail/nuclear-speckle/BKGD/BKGD-evaluation.md	True	False
C16orf87	detail/nuclear-speckle/C16orf87/C16orf87-evaluation.md	False	True
C5orf46	detail/nuclear-speckle/C5orf46/C5orf46-evaluation.md	False	True
CCDC85C	detail/nuclear-speckle/CCDC85C/CCDC85C-evaluation.md	False	True
F8A2	detail/nuclear-speckle/F8A2/F8A2-evaluation.md	True	False
FBXO48	detail/nuclear-speckle/FBXO48/FBXO48-evaluation.md	False	True
HECTD4	detail/nuclear-speckle/HECTD4/HECTD4-evaluation.md	False	True
INCA1	detail/nuclear-speckle/INCA1/INCA1-evaluation.md	False	True
KCTD20	detail/nuclear-speckle/KCTD20/KCTD20-evaluation.md	True	False
