global_index	batch_id	priority	task_type	gene	current_path	current_status	current_category	current_lines	current_score	source_audit	error_type	risk_level	needs_harvest	needs_report_repair	needs_false_rejection_recheck	needs_new_evaluation	needs_manual_review	needs_validator_exception_review	duplicate_status	skip_reason	recommended_action	worker_id	lock_path	stage_path	final_path	state	reason
1	1	P0	FALSE_REJECTION_REOPEN	SPANXD		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/SPANXD.lock	audit_work/continuous_completion_workers/worker_W1/batch_1/staged_reports/SPANXD-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
2	1	P0	FALSE_REJECTION_REOPEN	SERGEF		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/SERGEF.lock	audit_work/continuous_completion_workers/worker_W1/batch_1/staged_reports/SERGEF-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
3	1	P0	FALSE_REJECTION_REOPEN	CMYA5		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/CMYA5.lock	audit_work/continuous_completion_workers/worker_W1/batch_1/staged_reports/CMYA5-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
4	1	P0	FALSE_REJECTION_REOPEN	MLIP		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/MLIP.lock	audit_work/continuous_completion_workers/worker_W1/batch_1/staged_reports/MLIP-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
5	1	P0	FALSE_REJECTION_REOPEN	MKKS		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W1	audit_work/locks/continuous_completion/MKKS.lock	audit_work/continuous_completion_workers/worker_W1/batch_1/staged_reports/MKKS-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
6	2	P0	FALSE_REJECTION_REOPEN	RTN1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/RTN1.lock	audit_work/continuous_completion_workers/worker_W2/batch_2/staged_reports/RTN1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
7	2	P0	FALSE_REJECTION_REOPEN	TEP1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/TEP1.lock	audit_work/continuous_completion_workers/worker_W2/batch_2/staged_reports/TEP1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
8	2	P0	FALSE_REJECTION_REOPEN	NME8		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/NME8.lock	audit_work/continuous_completion_workers/worker_W2/batch_2/staged_reports/NME8-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
9	2	P0	FALSE_REJECTION_REOPEN	MRFAP1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/MRFAP1.lock	audit_work/continuous_completion_workers/worker_W2/batch_2/staged_reports/MRFAP1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
10	2	P0	FALSE_REJECTION_REOPEN	NUBP1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W2	audit_work/locks/continuous_completion/NUBP1.lock	audit_work/continuous_completion_workers/worker_W2/batch_2/staged_reports/NUBP1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
11	3	P0	FALSE_REJECTION_REOPEN	NMRK2		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/NMRK2.lock	audit_work/continuous_completion_workers/worker_W3/batch_3/staged_reports/NMRK2-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
12	3	P0	FALSE_REJECTION_REOPEN	NOS1AP		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/NOS1AP.lock	audit_work/continuous_completion_workers/worker_W3/batch_3/staged_reports/NOS1AP-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
13	3	P0	FALSE_REJECTION_REOPEN	SAMD11		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/SAMD11.lock	audit_work/continuous_completion_workers/worker_W3/batch_3/staged_reports/SAMD11-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
14	3	P0	FALSE_REJECTION_REOPEN	SMTNL1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/SMTNL1.lock	audit_work/continuous_completion_workers/worker_W3/batch_3/staged_reports/SMTNL1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
15	3	P0	FALSE_REJECTION_REOPEN	NHLRC1		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W3	audit_work/locks/continuous_completion/NHLRC1.lock	audit_work/continuous_completion_workers/worker_W3/batch_3/staged_reports/NHLRC1-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
16	4	P0	FALSE_REJECTION_REOPEN	SBF2		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/SBF2.lock	audit_work/continuous_completion_workers/worker_W4/batch_4/staged_reports/SBF2-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
17	4	P0	FALSE_REJECTION_REOPEN	MMS22L		rejected	?	0	?	remaining_rejected_false_negative_audit		HIGH	False	True	True	True	True	False	N/A	N/A	FALSE_REJECTION_REOPEN	W4	audit_work/locks/continuous_completion/MMS22L.lock	audit_work/continuous_completion_workers/worker_W4/batch_4/staged_reports/MMS22L-evaluation.md	?	PENDING	FALSE_REJECTION_REOPEN
