gene	category	report_path	syntax	source_image	is_external	resolved_path	exists	reason	suggested_markdown_path
ALKBH3	chromatin	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ALKBH3/IF_images/U2OS_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ALKBH3/IF_images/U2OS_1.jpg	True	resolved	detail/chromatin/ALKBH3/IF_images/U2OS_1.jpg
ALKBH3	chromatin	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ALKBH3/IF_images/U2OS_2.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ALKBH3/IF_images/U2OS_2.jpg	True	resolved	detail/chromatin/ALKBH3/IF_images/U2OS_2.jpg
ALKBH3	chromatin	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ALKBH3/ALKBH3-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ALKBH3/ALKBH3-PAE.png	True	resolved	detail/chromatin/ALKBH3/ALKBH3-PAE.png
ALKBH3	chromatin	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	obsidian	ALKBH3-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ALKBH3/ALKBH3-PAE.png	True	resolved	detail/chromatin/ALKBH3/ALKBH3-PAE.png
ALKBH3	chromatin	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ALKBH3/ALKBH3-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ALKBH3/ALKBH3-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ALKBH3/ALKBH3-PAE.png
ARID3A	chromatin	detail/chromatin/ARID3A/ARID3A-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ARID3A/IF_images/U2OS_1.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ARID3A/IF_images/U2OS_1.jpg	True	resolved	detail/chromatin/ARID3A/IF_images/U2OS_1.jpg
ARID3A	chromatin	detail/chromatin/ARID3A/ARID3A-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ARID3A/IF_images/U2OS_2.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ARID3A/IF_images/U2OS_2.jpg	True	resolved	detail/chromatin/ARID3A/IF_images/U2OS_2.jpg
ARID3A	chromatin	detail/chromatin/ARID3A/ARID3A-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ARID3A/ARID3A-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ARID3A/ARID3A-PAE.png	True	resolved	detail/chromatin/ARID3A/ARID3A-PAE.png
ARID3A	chromatin	detail/chromatin/ARID3A/ARID3A-evaluation.md	obsidian	ARID3A-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ARID3A/ARID3A-PAE.png	True	resolved	detail/chromatin/ARID3A/ARID3A-PAE.png
ARID3A	chromatin	detail/chromatin/ARID3A/ARID3A-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ARID3A/ARID3A-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ARID3A/ARID3A-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ARID3A/ARID3A-PAE.png
ASF1A	chromatin	detail/chromatin/ASF1A/ASF1A-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ASF1A/IF_images/ASF1A_IF_red_green.jpg	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ASF1A/IF_images/ASF1A_IF_red_green.jpg	True	resolved	detail/chromatin/ASF1A/IF_images/ASF1A_IF_red_green.jpg
ASF1A	chromatin	detail/chromatin/ASF1A/ASF1A-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ASF1A/ASF1A-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ASF1A/ASF1A-PAE.png	True	resolved	detail/chromatin/ASF1A/ASF1A-PAE.png
ASF1A	chromatin	detail/chromatin/ASF1A/ASF1A-evaluation.md	obsidian	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ASF1A/ASF1A-PAE.png	False	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ASF1A/ASF1A-PAE.png	True	resolved_outside_project	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ASF1A/ASF1A-PAE.png
ASXL3	chromatin	detail/chromatin/ASXL3/ASXL3-evaluation.md	obsidian	Projects/TEreg-finding/protein-interested/detail/chromatin/ASXL3/ASXL3-PAE.png	False	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ASXL3/ASXL3-PAE.png	True	resolved	detail/chromatin/ASXL3/ASXL3-PAE.png
