gene	path	status	category	score	nuclear_score	lines	has_hpa	has_if_image	has_pae	has_pdb	has_ppi	has_pubmed	has_scoring_table	has_manual_review	has_images	parse_quality	reason
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	scored	chromatin	68.9	8	239	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ANKRD2	detail/chromatin/ANKRD2/ANKRD2-evaluation.md	scored	chromatin	63.1	7	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	scored	chromatin	60.1	9	232	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ASB7	detail/chromatin/ASB7/ASB7-evaluation.md	scored	chromatin	1.83	4	150	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	scored	chromatin	1.83	9	118	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	scored	chromatin	59.6	8	190	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
AUNIP	detail/chromatin/AUNIP/AUNIP-evaluation.md	scored	chromatin	1.83	7	146	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
AURKC	detail/chromatin/AURKC/AURKC-evaluation.md	scored	chromatin	57.2	7	187	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	scored	chromatin	76.5	9	194	True	False	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BANF2	detail/chromatin/BANF2/BANF2-evaluation.md	scored	chromatin	72.2	7	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BARHL2	detail/chromatin/BARHL2/BARHL2-evaluation.md	scored	chromatin	69.7	8	171	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BATF2	detail/chromatin/BATF2/BATF2-evaluation.md	scored	chromatin	60.0	9	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BHLHA9	detail/chromatin/BHLHA9/BHLHA9-evaluation.md	scored	chromatin	66.4	7	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BHLHE23	detail/chromatin/BHLHE23/BHLHE23-evaluation.md	scored	chromatin	74.4	8	175	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	scored	chromatin	1.83	5	141	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
BSX	detail/chromatin/BSX/BSX-evaluation.md	scored	chromatin	66.9	8	161	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CALCOCO1	detail/chromatin/CALCOCO1/CALCOCO1-evaluation.md	scored	chromatin	68.6	7	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	scored	chromatin	1.83	7	104	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	scored	chromatin	1.83	8	109	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	scored	chromatin	1.83	8	115	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	scored	chromatin	1.83	8	104	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	scored	chromatin	76.0	8	155	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CKAP5	detail/chromatin/CKAP5/CKAP5-evaluation.md	scored	chromatin	45.3	4	177	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	scored	chromatin	73.2	8	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	scored	chromatin	78.1	7	176	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	rejected	chromatin		5	197	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CTPS1	detail/chromatin/CTPS1/CTPS1-evaluation.md	scored	chromatin	69.7	7	173	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CUX2	detail/chromatin/CUX2/CUX2-evaluation.md	scored	chromatin	48.1	7	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
CYREN	detail/chromatin/CYREN/CYREN-evaluation.md	scored	chromatin	71.4	7	180	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DBX1	detail/chromatin/DBX1/DBX1-evaluation.md	scored	chromatin	68.9	8	171	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DMBX1	detail/chromatin/DMBX1/DMBX1-evaluation.md	scored	chromatin	68.6	8	167	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DMRT3	detail/chromatin/DMRT3/DMRT3-evaluation.md	scored	chromatin	57.8	8	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DMRTB1	detail/chromatin/DMRTB1/DMRTB1-evaluation.md	scored	chromatin	74.4	8	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DMRTC2	detail/chromatin/DMRTC2/DMRTC2-evaluation.md	scored	chromatin	72.5	8	170	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DNAJB13	detail/chromatin/DNAJB13/DNAJB13-evaluation.md	scored	chromatin	62.2	4	168	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DPRX	detail/chromatin/DPRX/DPRX-evaluation.md	scored	chromatin	73.1	8	169	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	scored	chromatin	73.8	7	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DYNC1I1	detail/chromatin/DYNC1I1/DYNC1I1-evaluation.md	scored	chromatin	61.9	4	184	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
DYNLT3	detail/chromatin/DYNLT3/DYNLT3-evaluation.md	scored	chromatin	75.8	7	181	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	scored	chromatin	76.7	7	188	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
EME2	detail/chromatin/EME2/EME2-evaluation.md	scored	chromatin	78.3	8	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
EXD2	detail/chromatin/EXD2/EXD2-evaluation.md	scored	chromatin	81.1	7	196	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
FAM131A	detail/chromatin/FAM131A/FAM131A-evaluation.md	scored	chromatin	71.9	7	180	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
FBH1	detail/chromatin/FBH1/FBH1-evaluation.md	scored	chromatin	71.7	8	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
FBXO18	detail/chromatin/FBXO18/FBXO18-evaluation.md	scored	chromatin	77.2	8	183	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
FERD3L	detail/chromatin/FERD3L/FERD3L-evaluation.md	scored	chromatin	73.1	8	169	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
FOXB2	detail/chromatin/FOXB2/FOXB2-evaluation.md	scored	chromatin	74.2	8	157	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
FOXI2	detail/chromatin/FOXI2/FOXI2-evaluation.md	scored	chromatin	74.2	8	169	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
GBX1	detail/chromatin/GBX1/GBX1-evaluation.md	scored	chromatin	69.7	8	171	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
GINS4	detail/chromatin/GINS4/GINS4-evaluation.md	scored	chromatin	1.83	7	120	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
GSC2	detail/chromatin/GSC2/GSC2-evaluation.md	scored	chromatin	74.4	8	178	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
H4C7	detail/chromatin/H4C7/H4C7-evaluation.md	scored	chromatin	76.4	8	174	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
HES2	detail/chromatin/HES2/HES2-evaluation.md	scored	chromatin	62.2	8	160	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
HMGB4	detail/chromatin/HMGB4/HMGB4-evaluation.md	scored	chromatin	72.5	8	172	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
HP1BP3	detail/chromatin/HP1BP3/HP1BP3-evaluation.md	rejected	chromatin		9	252	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
HPF1	detail/chromatin/HPF1/HPF1-evaluation.md	scored	chromatin	70.0	7	179	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
IHO1	detail/chromatin/IHO1/IHO1-evaluation.md	scored	chromatin	76.5	9	180	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
JADE1	detail/chromatin/JADE1/JADE1-evaluation.md	scored	chromatin	67.8	8	180	True	True	True	True	True	True	True	False	False	GOOD	ok_or_rejected_without_score
