gene	current_path	in_queue	was_processed	has_harvest_packet	packet_path	missing_sources	report_status	report_lines	was_rejected_due_to_missing_harvest	needs_reharvest	needs_manual_review	reason
ABCA13	detail/rejected/ABCA13/ABCA13-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ABCA13.json	NONE	rejected	158	False	False	False	Report (158L), packet=True, missing modules=0
ABCA17	detail/rejected/ABCA17/ABCA17-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ABCA17.json	NONE	rejected	155	False	False	False	Report (155L), packet=True, missing modules=0
ABCA2	detail/rejected/ABCA2/ABCA2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ABCA2.json	NONE	rejected	155	False	False	False	Report (155L), packet=True, missing modules=0
ABCA3	detail/rejected/ABCA3/ABCA3-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ABCA3.json	NONE	rejected	155	False	False	False	Report (155L), packet=True, missing modules=0
ACP4	detail/rejected/ACP4/ACP4-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ACP4.json	NONE	rejected	154	False	False	False	Report (154L), packet=True, missing modules=0
ADAM33	detail/rejected/ADAM33/ADAM33-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ADAM33.json	NONE	rejected	168	False	False	False	Report (168L), packet=True, missing modules=0
ADAT3	detail/nucleoplasm/ADAT3/ADAT3-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ADAT3.json	NONE	scored	170	False	False	False	Report (170L), packet=True, missing modules=0
ADPRHL1	detail/rejected/ADPRHL1/ADPRHL1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ADPRHL1.json	NONE	rejected	148	False	False	False	Report (148L), packet=True, missing modules=0
ADPRM	detail/nucleoplasm/ADPRM/ADPRM-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ADPRM.json	NONE	scored	163	False	False	False	Report (163L), packet=True, missing modules=0
ADPRS	detail/nucleoplasm/ADPRS/ADPRS-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ADPRS.json	NONE	scored	218	False	False	False	Report (218L), packet=True, missing modules=0
AFMID	detail/rejected/AFMID/AFMID-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AFMID.json	NONE	rejected	173	False	False	False	Report (173L), packet=True, missing modules=0
AGAP2	detail/nucleoplasm/AGAP2/AGAP2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AGAP2.json	NONE	scored	218	False	False	False	Report (218L), packet=True, missing modules=0
AGBL5	detail/nucleus-cytoplasm/AGBL5/AGBL5-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AGBL5.json	NONE	scored	217	False	False	False	Report (217L), packet=True, missing modules=0
AGFG1	detail/nucleus-cytoplasm/AGFG1/AGFG1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AGFG1.json	NONE	scored	220	False	False	False	Report (220L), packet=True, missing modules=0
AGPAT4	detail/rejected/AGPAT4/AGPAT4-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AGPAT4.json	NONE	rejected	114	False	False	False	Report (114L), packet=True, missing modules=0
AGTPBP1	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AGTPBP1.json	NONE	rejected	114	False	False	False	Report (114L), packet=True, missing modules=0
AHCYL2	detail/nucleus-cytoplasm/AHCYL2/AHCYL2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AHCYL2.json	NONE	scored	164	False	False	False	Report (164L), packet=True, missing modules=0
AIRIM	detail/rejected/AIRIM/AIRIM-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AIRIM.json	NONE	rejected	111	False	False	False	Report (111L), packet=True, missing modules=0
AKAP6	detail/rejected/AKAP6/AKAP6-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AKAP6.json	NONE	rejected	129	False	False	False	Report (129L), packet=True, missing modules=0
AKAP7	detail/nucleus-cytoplasm/AKAP7/AKAP7-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AKAP7.json	NONE	scored	143	False	False	False	Report (143L), packet=True, missing modules=0
AKIP1	detail/rejected/AKIP1/AKIP1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AKIP1.json	NONE	rejected	114	False	False	False	Report (114L), packet=True, missing modules=0
AKIRIN1	detail/rejected/AKIRIN1/AKIRIN1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AKIRIN1.json	NONE	rejected	122	False	False	False	Report (122L), packet=True, missing modules=0
ALG14	detail/nucleolus/ALG14/ALG14-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ALG14.json	NONE	scored	141	False	False	False	Report (141L), packet=True, missing modules=0
ALG8	detail/rejected/ALG8/ALG8-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ALG8.json	NONE	rejected	121	False	False	False	Report (121L), packet=True, missing modules=0
ALKBH2	detail/rejected/ALKBH2/ALKBH2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ALKBH2.json	NONE	rejected	121	False	False	False	Report (121L), packet=True, missing modules=0
ALKBH6	detail/rejected/ALKBH6/ALKBH6-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ALKBH6.json	NONE	rejected	123	False	False	False	Report (123L), packet=True, missing modules=0
AMDHD1	detail/nucleus-cytoplasm/AMDHD1/AMDHD1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AMDHD1.json	NONE	scored	142	False	False	False	Report (142L), packet=True, missing modules=0
AMDHD2	detail/rejected/AMDHD2/AMDHD2-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AMDHD2.json	NONE	rejected	120	False	False	False	Report (120L), packet=True, missing modules=0
AMER1	detail/nuclear-body/AMER1/AMER1-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/AMER1.json	NONE	scored	146	False	False	False	Report (146L), packet=True, missing modules=0
ANAPC10	detail/nucleoplasm/ANAPC10/ANAPC10-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANAPC10.json	NONE	scored	176	False	False	False	Report (176L), packet=True, missing modules=0
ANAPC11	detail/nucleolus/ANAPC11/ANAPC11-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANAPC11.json	NONE	scored	181	False	False	False	Report (181L), packet=True, missing modules=0
ANAPC13	detail/rejected/ANAPC13/ANAPC13-evaluation.md	True	True	True	/Users/quii/Desktop/projects/TE-regulated proteins finding/protein_data/harvest_packets/ANAPC13.json	NONE	rejected	179	False	False	False	Report (179L), packet=True, missing modules=0
