gene	current_path	status	lines	chars	has_hpa	has_uni	has_pubmed	has_af	has_pae	has_pdb	has_ppi	has_score	has_reason	has_note	has_forbidden	is_template	quality_pass	needs_repair	reason
VPS51	detail/rejected/VPS51/VPS51-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NAA30	detail/rejected/NAA30/NAA30-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
CHMP4B	detail/rejected/CHMP4B/CHMP4B-evaluation.md	rejected	184	6263	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
POU6F2	detail/rejected/POU6F2/POU6F2-evaluation.md	rejected	11	188	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PKN3	detail/rejected/PKN3/PKN3-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PCID2	detail/rejected/PCID2/PCID2-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NEMF	detail/rejected/NEMF/NEMF-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MYPN	detail/rejected/MYPN/MYPN-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
YPEL2	detail/rejected/YPEL2/YPEL2-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TJP3	detail/rejected/TJP3/TJP3-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MSANTD1	detail/rejected/MSANTD1/MSANTD1-evaluation.md	rejected	11	190	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TSPAN2	detail/rejected/TSPAN2/TSPAN2-evaluation.md	rejected	11	188	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
SMTN	detail/rejected/SMTN/SMTN-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
DCTN6	detail/rejected/DCTN6/DCTN6-evaluation.md	rejected	171	5440	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
CMYA5	detail/rejected/CMYA5/CMYA5-evaluation.md	rejected	175	5230	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
MTMR7	detail/rejected/MTMR7/MTMR7-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PASD1	detail/rejected/PASD1/PASD1-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PHOSPHO2	detail/rejected/PHOSPHO2/PHOSPHO2-evaluation.md	rejected	11	192	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TAB3	detail/rejected/TAB3/TAB3-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TTC33	detail/rejected/TTC33/TTC33-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
CIMAP1D	detail/rejected/CIMAP1D/CIMAP1D-evaluation.md	rejected	164	4461	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
TOGARAM2	detail/rejected/TOGARAM2/TOGARAM2-evaluation.md	rejected	11	192	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
Obox6	detail/rejected/Obox6/Obox6-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
WDR12	detail/rejected/WDR12/WDR12-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
SLX9	detail/rejected/SLX9/SLX9-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PBOV1	detail/rejected/PBOV1/PBOV1-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
SPOPL	detail/rejected/SPOPL/SPOPL-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TSPAN13	detail/rejected/TSPAN13/TSPAN13-evaluation.md	rejected	11	190	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
