gene	report_path	remaining_if_gap	remaining_pae_gap
ASB7	detail/chromatin/ASB7/ASB7-evaluation.md	False	True
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	True	False
AUNIP	detail/chromatin/AUNIP/AUNIP-evaluation.md	False	True
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	True	True
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	True	False
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	True	False
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	True	False
EME2	detail/chromatin/EME2/EME2-evaluation.md	True	False
FBXO18	detail/chromatin/FBXO18/FBXO18-evaluation.md	True	False
NCAPD2	detail/chromatin/NCAPD2/NCAPD2-evaluation.md	False	True
PRRC2A	detail/chromatin/PRRC2A/PRRC2A-evaluation.md	True	False
RTF2	detail/chromatin/RTF2/RTF2-evaluation.md	True	False
UFL1	detail/chromatin/UFL1/UFL1-evaluation.md	True	False
ABRAXAS1	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md	False	True
BABAM1	detail/nuclear-body/BABAM1/BABAM1-evaluation.md	False	True
TRIM8	detail/nuclear-body/TRIM8/TRIM8-evaluation.md	False	True
AGPAT3	detail/nuclear-envelope/AGPAT3/AGPAT3-evaluation.md	True	False
ARFGAP1	detail/nuclear-envelope/ARFGAP1/ARFGAP1-evaluation.md	False	True
FAM156A	detail/nuclear-envelope/FAM156A/FAM156A-evaluation.md	True	False
FAM156B	detail/nuclear-envelope/FAM156B/FAM156B-evaluation.md	True	False
CCDC85C	detail/nuclear-speckle/CCDC85C/CCDC85C-evaluation.md	False	True
ALKBH4	detail/nucleolus/ALKBH4/ALKBH4-evaluation.md	True	False
BCAS3	detail/nucleolus/BCAS3/BCAS3-evaluation.md	False	True
C6orf89	detail/nucleolus/C6orf89/C6orf89-evaluation.md	True	False
CAMKMT	detail/nucleolus/CAMKMT/CAMKMT-evaluation.md	False	True
CEP85	detail/nucleolus/CEP85/CEP85-evaluation.md	False	True
DIEXF	detail/nucleolus/DIEXF/DIEXF-evaluation.md	True	False
FOXO6	detail/nucleolus/FOXO6/FOXO6-evaluation.md	True	False
FRG1	detail/nucleolus/FRG1/FRG1-evaluation.md	True	False
FSAF1	detail/nucleolus/FSAF1/FSAF1-evaluation.md	True	False
AAAS	detail/nucleoplasm/AAAS/AAAS-evaluation.md	False	True
AAMDC	detail/nucleoplasm/AAMDC/AAMDC-evaluation.md	False	True
ABITRAM	detail/nucleoplasm/ABITRAM/ABITRAM-evaluation.md	False	True
ABLIM3	detail/nucleoplasm/ABLIM3/ABLIM3-evaluation.md	False	True
ABTB2	detail/nucleoplasm/ABTB2/ABTB2-evaluation.md	False	True
ACBD4	detail/nucleoplasm/ACBD4/ACBD4-evaluation.md	False	True
ADAM33	detail/nucleoplasm/ADAM33/ADAM33-evaluation.md	True	False
ADAT3	detail/nucleoplasm/ADAT3/ADAT3-evaluation.md	False	True
ANAPC10	detail/nucleoplasm/ANAPC10/ANAPC10-evaluation.md	False	True
ANAPC4	detail/nucleoplasm/ANAPC4/ANAPC4-evaluation.md	True	False
ANHX	detail/nucleoplasm/ANHX/ANHX-evaluation.md	True	False
ANKFN1	detail/nucleoplasm/ANKFN1/ANKFN1-evaluation.md	False	True
ANKMY2	detail/nucleoplasm/ANKMY2/ANKMY2-evaluation.md	False	True
ANKRD10	detail/nucleoplasm/ANKRD10/ANKRD10-evaluation.md	False	True
ANKRD12	detail/nucleoplasm/ANKRD12/ANKRD12-evaluation.md	False	True
ANKRD23	detail/nucleoplasm/ANKRD23/ANKRD23-evaluation.md	False	True
ANKRD30B	detail/nucleoplasm/ANKRD30B/ANKRD30B-evaluation.md	False	True
ANKRD36	detail/nucleoplasm/ANKRD36/ANKRD36-evaluation.md	False	True
ANKRD36B	detail/nucleoplasm/ANKRD36B/ANKRD36B-evaluation.md	False	True
ANKRD37	detail/nucleoplasm/ANKRD37/ANKRD37-evaluation.md	False	True
ANKS1A	detail/nucleoplasm/ANKS1A/ANKS1A-evaluation.md	False	True
ANKS3	detail/nucleoplasm/ANKS3/ANKS3-evaluation.md	False	True
ARGFX	detail/nucleoplasm/ARGFX/ARGFX-evaluation.md	True	False
ASCL3	detail/nucleoplasm/ASCL3/ASCL3-evaluation.md	True	False
ASCL4	detail/nucleoplasm/ASCL4/ASCL4-evaluation.md	True	False
ASCL5	detail/nucleoplasm/ASCL5/ASCL5-evaluation.md	True	False
ATF7IP2	detail/nucleoplasm/ATF7IP2/ATF7IP2-evaluation.md	True	False
ATG10	detail/nucleoplasm/ATG10/ATG10-evaluation.md	False	True
ATOSB	detail/nucleoplasm/ATOSB/ATOSB-evaluation.md	False	True
ATXN3L	detail/nucleoplasm/ATXN3L/ATXN3L-evaluation.md	True	False
ATXN8	detail/nucleoplasm/ATXN8/ATXN8-evaluation.md	True	True
BABAM2	detail/nucleoplasm/BABAM2/BABAM2-evaluation.md	False	True
BACC1	detail/nucleoplasm/BACC1/BACC1-evaluation.md	True	False
BARHL1	detail/nucleoplasm/BARHL1/BARHL1-evaluation.md	True	False
BCLAF1	detail/nucleoplasm/BCLAF1/BCLAF1-evaluation.md	False	True
BEND2	detail/nucleoplasm/BEND2/BEND2-evaluation.md	True	False
BEND6	detail/nucleoplasm/BEND6/BEND6-evaluation.md	False	True
BOD1	detail/nucleoplasm/BOD1/BOD1-evaluation.md	True	False
BOD1L1	detail/nucleoplasm/BOD1L1/BOD1L1-evaluation.md	False	True
BTBD10	detail/nucleoplasm/BTBD10/BTBD10-evaluation.md	False	True
C2CD4B	detail/nucleoplasm/C2CD4B/C2CD4B-evaluation.md	True	False
CCHCR1	detail/nucleoplasm/CCHCR1/CCHCR1-evaluation.md	True	False
CDY1B	detail/nucleoplasm/CDY1B/CDY1B-evaluation.md	True	True
CDY2B	detail/nucleoplasm/CDY2B/CDY2B-evaluation.md	True	True
CELF5	detail/nucleoplasm/CELF5/CELF5-evaluation.md	True	False
CENPBD1	detail/nucleoplasm/CENPBD1/CENPBD1-evaluation.md	True	False
CENPS	detail/nucleoplasm/CENPS/CENPS-evaluation.md	True	False
CEP19	detail/nucleoplasm/CEP19/CEP19-evaluation.md	False	True
CEP63	detail/nucleoplasm/CEP63/CEP63-evaluation.md	False	True
CEP68	detail/nucleoplasm/CEP68/CEP68-evaluation.md	False	True
CEPT1	detail/nucleoplasm/CEPT1/CEPT1-evaluation.md	True	False
CERS4	detail/nucleoplasm/CERS4/CERS4-evaluation.md	True	False
CHCT1	detail/nucleoplasm/CHCT1/CHCT1-evaluation.md	False	True
CITED4	detail/nucleoplasm/CITED4/CITED4-evaluation.md	False	True
CLASP1	detail/nucleoplasm/CLASP1/CLASP1-evaluation.md	True	False
