gene	path	status	score	nuclear_score	false_rejection_risk	has_packet	has_hpa	has_uniprot_go	has_pubmed	has_pdb_or_no_pdb	has_ppi	current_decision	is_true_remaining_critical	is_audit_false_positive	reason
ABTB3	detail/rejected/ABTB3/ABTB3-evaluation.md	rejected	89	6	LOW	True	True	True	True	True	True	rejected	False	True	No true critical false-rejection signal by current heuristic
ACOXL	detail/rejected/ACOXL/ACOXL-evaluation.md	rejected	89	6	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
ACP4	detail/rejected/ACP4/ACP4-evaluation.md	rejected	90	4	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
ADIG	detail/rejected/ADIG/ADIG-evaluation.md	rejected	95	1	LOW	True	True	True	True	True	True	rejected	False	True	No true critical false-rejection signal by current heuristic
ADNP	detail/rejected/ADNP/ADNP-evaluation.md	rejected	119.5	1	HIGH	True	False	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
ADPRHL1	detail/rejected/ADPRHL1/ADPRHL1-evaluation.md	rejected	102	1	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
AFMID	detail/nucleoplasm/AFMID/AFMID-evaluation.md	scored		30	LOW	True	True	True	True	True	True	scored	False	True	No true critical false-rejection signal by current heuristic
AGPAT4	detail/rejected/AGPAT4/AGPAT4-evaluation.md	rejected	102	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
AGTPBP1	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	rejected	95	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
AIRIM	detail/nucleoplasm/AIRIM/AIRIM-evaluation.md	scored		30	LOW	True	True	True	True	True	True	scored	False	True	Expected rescued gene is currently scored
AK6	detail/rejected/AK6/AK6-evaluation.md	rejected		6	HIGH	True	True	True	False	True	False	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
AKAP6	detail/rejected/AKAP6/AKAP6-evaluation.md	rejected	95	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
AKIP1	detail/nucleoplasm/AKIP1/AKIP1-evaluation.md	scored		30	LOW	True	True	True	True	True	True	scored	False	True	Expected rescued gene is currently scored
AKIRIN1	detail/nucleoplasm/AKIRIN1/AKIRIN1-evaluation.md	scored		30	LOW	True	True	True	True	True	True	scored	False	True	Expected rescued gene is currently scored
ALKBH2	detail/nucleoplasm/ALKBH2/ALKBH2-evaluation.md	scored		30	LOW	True	True	True	True	True	True	scored	False	True	Expected rescued gene is currently scored
ALKBH6	detail/nucleoplasm/ALKBH6/ALKBH6-evaluation.md	scored		30	LOW	True	True	True	True	True	True	scored	False	True	Expected rescued gene is currently scored
AMDHD2	detail/rejected/AMDHD2/AMDHD2-evaluation.md	rejected	121	3	HIGH	True	True	True	True	True	True	rejected	False	True	Rejected report contains nuclear evidence without clear PubMed>100/nuclear<=3 rejection basis; needs manual/deep audit, not counted as true CRITICAL in Step 1
ANAPC13	detail/nucleoplasm/ANAPC13/ANAPC13-evaluation.md	scored		30	LOW	True	True	True	True	True	True	scored	False	True	No true critical false-rejection signal by current heuristic
BBLN	detail/rejected/BBLN/BBLN-evaluation.md	rejected	93.0	1	LOW	True	True	True	True	True	True	rejected	False	True	No true critical false-rejection signal by current heuristic
