gene	category	status	report_path	mismatch_type	risk	report_claim	actual_evidence	packet_evidence	source_checked	candidates	local_files	action_suggestion	notes
ASXL3	chromatin	scored	detail/chromatin/ASXL3/ASXL3-evaluation.md	NO_DATA	MED	 | — | | Protein Atlas (IF) | 暂无数据（Pending cell analysis） | — | | UniProt | Nucleus (ECO:0000305) | Sequence analy	local_IF=0 local_PAE=1		packet+local	0	0	GENUINE_ABSENCE	
ASXL3	chromatin	scored	detail/chromatin/ASXL3/ASXL3-evaluation.md	PENDING	MED	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis） | — | | UniProt | Nucleus (ECO:0000305) | Sequence analysis |  **结论**: ASXL3 的	local_IF=0 local_PAE=1		packet+local	0	0	GENUINE_ABSENCE	
ASXL3	chromatin	scored	detail/chromatin/ASXL3/ASXL3-evaluation.md	NO_IF	MED	subcellular |  > **IF状态**: HPA无IF数据; 主定位: N/A)  数据来源 - PubMed: https://pubmed.ncbi.nlm.nih.gov/?term=%22ASXL3%22%	local_IF=0 local_PAE=1		packet+local	0	0	GENUINE_ABSENCE	
AURKC	chromatin	scored	detail/chromatin/AURKC/AURKC-evaluation.md	IF_UNAVAIL	LOW	/entry/Q9UQB9  **HPA IF 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
AURKC	chromatin	scored	detail/chromatin/AURKC/AURKC-evaluation.md	NO_IF	MED	mprehensive |  **HPA IF 图像**: 无 IF 图像数据。仅 IHC 和 RNA 表达数据可用。  **结论**: AURKC 在有丝分裂/减数分裂期间定位于染色体 (着丝粒) 和纺锤体。HPA 无 IF 	local_IF=0 local_PAE=0	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
AURKC	chromatin	scored	detail/chromatin/AURKC/AURKC-evaluation.md	NO_IF	MED	裂/减数分裂期间定位于染色体 (着丝粒) 和纺锤体。HPA 无 IF 验证数据。核定位评分 7/10。  #### 3.2 蛋白大小评估  **评价**: 309 aa (35.6 kDa)，小蛋白。适合重组表达、结晶学 (已有	local_IF=0 local_PAE=0	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
AURKC	chromatin	scored	detail/chromatin/AURKC/AURKC-evaluation.md	NO_IF	MED	0，新颖性低 (niche 空间有限) 2. ⚠️ HPA 无 IF 验证数据 3. 细胞周期依赖性定位 (有丝分裂时染色体/纺锤体)，间期定位不明确 4. 与 AURKB 功能冗余可能增加研究复杂性 5. 减数分裂特异性 (正	local_IF=0 local_PAE=0	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
AURKC	chromatin	scored	detail/chromatin/AURKC/AURKC-evaluation.md	NO_IF	MED	F 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=0	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
BAHD1	chromatin	scored	detail/chromatin/BAHD1/BAHD1-evaluation.md	NO_IF	HIGH	. 无 PDB 实验结构 3. Protein Atlas 无 IF 验证 4. Polycomb 通路研究竞争激烈  **下一步建议**: - [ ] 表达 BAH 域进行组蛋白肽结合实验 - [ ] ChIP-seq 鉴定 	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
BOD1L2	chromatin	scored	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	IF_UNAVAIL	LOW	**评分: 5/10**。  **HPA IF 状态**: IF unavailable — HPA未提供BOD1L2的IF免疫荧光图像。HPA页面存在(gene ENSG00000228075)，但仅有IHC和RNA原位杂交图像，无IF red_	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
BOD1L2	chromatin	scored	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	NO_IF	MED	裂调控因子的特征模式。GO为IEA级证据（电子注释）。HPA无IF图像。**评分: 5/10**。  **HPA IF 状态**: IF unavailable — HPA未提供BOD1L2的IF免疫荧光图像。HPA页面存在(	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
BOD1L2	chromatin	scored	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	NO_IF	MED	00000228075)，但仅有IHC和RNA原位杂交图像，无IF red_green图像。定位基于UniProt + GO注释。  #### 3.2 蛋白大小评估 172 aa / 18.1 kDa，为小型蛋白 (<200 	local_IF=0 local_PAE=1	 PAE_URL exists	packet+local	0	0	GENUINE_ABSENCE	
CDYL	chromatin	scored	detail/chromatin/CDYL/CDYL-evaluation.md	IF_UNAVAIL	HIGH	/entry/Q9Y232  **HPA IF 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=1	HPA has 1 IF thumbnails, 12 red_green/blue_red_green PAE_URL exists	packet+local	12	0	DOWNLOAD_IF	
CDYL	chromatin	scored	detail/chromatin/CDYL/CDYL-evaluation.md	NO_IF	MED	F 状态**: IF unavailable — HPA 暂无 IF 原图数据。核定位基于 UniProt + GO-CC。 	local_IF=0 local_PAE=1	HPA has 1 IF thumbnails, 12 red_green/blue_red_green PAE_URL exists	packet+local	12	0	DOWNLOAD_IF	
CENPH	chromatin	scored	detail/chromatin/CENPH/CENPH-evaluation.md	NO_DATA	HIGH	Prot | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt | — |  **结论**: Nucleus; Chromosome, centro	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
CENPH	chromatin	scored	detail/chromatin/CENPH/CENPH-evaluation.md	PENDING	HIGH	| | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt | — |  **结论**: Nucleus; Chromosome, centromere, kinetochore。CENP	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
CENPI	chromatin	scored	detail/chromatin/CENPI/CENPI-evaluation.md	NO_DATA	HIGH	Prot | | Protein Atlas (IF) | 暂无数据（Pending cell analysis），核定位基于 UniProt | — |  **结论**: Nucleus; Chromosome, centro	local_IF=2 local_PAE=1	 LOCAL_IF=2	packet+local	0	2	EMBED_LOCAL	
