gene	in_centrosome_seed	in_main_atlas	main_status	main_category	main_score	main_report_path	main_docs_report_path	centrosome_action	reason
AAAS	TRUE	TRUE	scored	nucleoplasm	54.1	detail/nucleoplasm/AAAS/AAAS-evaluation.md	reports/AAAS.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ABCA13	TRUE	TRUE	rejected	rejected	None	detail/rejected/ABCA13/ABCA13-evaluation.md	reports/ABCA13.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ACADS	TRUE	TRUE	rejected	rejected	None	detail/rejected/ACADS/ACADS-evaluation.md	reports/ACADS.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ACTR8	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ACTRT3	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ADCK2	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ADNP	TRUE	TRUE	rejected	rejected	None	detail/rejected/ADNP/ADNP-evaluation.md	reports/ADNP.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ADPGK	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
AGBL5	TRUE	TRUE	scored	nucleus-cytoplasm	63.4	detail/nucleus-cytoplasm/AGBL5/AGBL5-evaluation.md	reports/AGBL5.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
AGTPBP1	TRUE	TRUE	rejected	rejected	None	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	reports/AGTPBP1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
AHI1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
AK5	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
AK6	TRUE	TRUE	rejected	rejected	None	detail/rejected/AK6/AK6-evaluation.md	reports/AK6.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
AKAP9	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
AKNA	TRUE	TRUE	scored	nucleolus	55.7	detail/nucleolus/AKNA/AKNA-evaluation.md	reports/AKNA.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ALDH8A1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
ALMS1	TRUE	TRUE	rejected	rejected	None	detail/rejected/ALMS1/ALMS1-evaluation.md	reports/ALMS1.html	EVALUATE_INDEPENDENTLY	Gene in main atlas; will generate independent centrosome evaluation with also_in_main_atlas=True
ALPK1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
AMN1	TRUE	FALSE						EVALUATE_NEW	Gene not in main atlas; centrosome-only evaluation
