priority	gene	path	status	lines	chars	missing_sources	has_hpa	has_uniprot_go	has_pubmed	has_alphafold_pae	has_pdb_or_no_pdb	has_ppi	false_rejection_risk	needs_harvest	needs_reevaluate	recommended_next_action	reason
P2	RAB24	detail/rejected/RAB24/RAB24-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	TBX4	detail/rejected/TBX4/TBX4-evaluation.md	rejected	46	776	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	LIG1	detail/rejected/LIG1/LIG1-evaluation.md	rejected	39	717	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 39L
P1	SP5	detail/rejected/SP5/SP5-evaluation.md	rejected	46	797	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	STUB1	detail/rejected/STUB1/STUB1-evaluation.md	rejected	40	891	HPA,PDB	False	False	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 40L
P1	CFAP97D2	detail/rejected/CFAP97D2/CFAP97D2-evaluation.md	rejected	35	667	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P2	RFPL4A	detail/rejected/RFPL4A/RFPL4A-evaluation.md	rejected	49	896		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	GRK5	detail/rejected/GRK5/GRK5-evaluation.md	rejected	35	708	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P2	FBXL17	detail/rejected/FBXL17/FBXL17-evaluation.md	rejected	49	896		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	EGLN1	detail/rejected/EGLN1/EGLN1-evaluation.md	rejected	37	665	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 37L
P1	APRT	detail/rejected/APRT/APRT-evaluation.md	rejected	20	273	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 20L
P1	MARS1	detail/rejected/MARS1/MARS1-evaluation.md	rejected	33	564	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 33L
P2	NUDCD1	detail/rejected/NUDCD1/NUDCD1-evaluation.md	rejected	49	896		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	IRAK3	detail/rejected/IRAK3/IRAK3-evaluation.md	rejected	26	400	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 26L
P1	JRK	detail/rejected/JRK/JRK-evaluation.md	rejected	26	353	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 26L
P1	SMAD7	detail/rejected/SMAD7/SMAD7-evaluation.md	rejected	46	767	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	NFATC2	detail/rejected/NFATC2/NFATC2-evaluation.md	rejected	46	861	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	RB1CC1	detail/rejected/RB1CC1/RB1CC1-evaluation.md	rejected	46	803	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	MBIP	detail/rejected/MBIP/MBIP-evaluation.md	rejected	49	890		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	FOXP4	detail/rejected/FOXP4/FOXP4-evaluation.md	rejected	22	302	PDB,PPI	True	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 22L
P2	TTC5	detail/rejected/TTC5/TTC5-evaluation.md	rejected	49	890		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	SAFB	detail/rejected/SAFB/SAFB-evaluation.md	rejected	46	765	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	CEP78	detail/rejected/CEP78/CEP78-evaluation.md	rejected	35	652	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 35L
P1	ANLN	detail/rejected/ANLN/ANLN-evaluation.md	rejected	20	274	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 20L
P1	LXN	detail/rejected/LXN/LXN-evaluation.md	rejected	36	623	HPA,PubMed,PDB,PPI	False	True	False	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 36L
P1	IRAK4	detail/rejected/IRAK4/IRAK4-evaluation.md	rejected	26	559	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 26L
P1	NTRK3	detail/rejected/NTRK3/NTRK3-evaluation.md	rejected	46	781	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	NUP37	detail/rejected/NUP37/NUP37-evaluation.md	rejected	45	972	HPA,PDB,PPI	False	True	True	True	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 45L
P1	PBX2	detail/rejected/PBX2/PBX2-evaluation.md	rejected	46	784	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	NCOA1	detail/rejected/NCOA1/NCOA1-evaluation.md	rejected	46	772	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P2	Sgo2a	detail/rejected/Sgo2a/Sgo2a-evaluation.md	rejected	49	893		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	SPDL1	detail/rejected/SPDL1/SPDL1-evaluation.md	rejected	46	781	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	LHX4	detail/rejected/LHX4/LHX4-evaluation.md	rejected	41	804	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 41L
P1	STIP1	detail/rejected/STIP1/STIP1-evaluation.md	rejected	40	891	HPA,PDB	False	False	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 40L
P1	POU2AF1	detail/rejected/POU2AF1/POU2AF1-evaluation.md	rejected	46	832	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	SGO1	detail/rejected/SGO1/SGO1-evaluation.md	rejected	46	749	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	HLTF	detail/rejected/HLTF/HLTF-evaluation.md	rejected	44	987	HPA,PDB	False	True	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 44L
P2	RALGAPA1	detail/rejected/RALGAPA1/RALGAPA1-evaluation.md	rejected	49	902		True	True	True	True	True	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 49L
P1	EBF3	detail/rejected/EBF3/EBF3-evaluation.md	rejected	37	657	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 37L
P1	PPIB	detail/rejected/PPIB/PPIB-evaluation.md	rejected	46	764	HPA,PDB	False	True	True	False	False	True	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	INF2	detail/rejected/INF2/INF2-evaluation.md	rejected	26	556	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 26L
P1	NAA10	detail/rejected/NAA10/NAA10-evaluation.md	rejected	46	849	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
P1	OGA	detail/rejected/OGA/OGA-evaluation.md	rejected	46	747	HPA,PDB,PPI	False	True	True	False	False	False	False	True	True	HARVEST_AND_UPGRADE	thin rejected 46L
