gene	path	lines	chars	has_uni_q	has_uni_nd	has_uni_url	has_af_q	has_af_url	has_go_nd	has_hpa_nd	has_if_un	has_pae_nd	has_pdb_0	has_ppi_0	has_pm_0	has_pkt_e	has_one_line	nuclear_score	issue_count	risk_level
RCBTB1	detail/rejected/RCBTB1/RCBTB1-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
YPEL1	detail/rejected/YPEL1/YPEL1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
PTOV1	detail/rejected/PTOV1/PTOV1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
OOEP	detail/rejected/OOEP/OOEP-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
RMI2	detail/rejected/RMI2/RMI2-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
URI1	detail/rejected/URI1/URI1-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
PLSCR4	detail/rejected/PLSCR4/PLSCR4-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TSPY8	detail/rejected/TSPY8/TSPY8-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
MACO1	detail/rejected/MACO1/MACO1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SYNE3	detail/rejected/SYNE3/SYNE3-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
JMJD7	detail/rejected/JMJD7/JMJD7-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
PLEKHA2	detail/rejected/PLEKHA2/PLEKHA2-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
FIRRM	detail/rejected/FIRRM/FIRRM-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
FAM9B	detail/rejected/FAM9B/FAM9B-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
INPP4A	detail/rejected/INPP4A/INPP4A-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
IFFO1	detail/rejected/IFFO1/IFFO1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
NDOR1	detail/rejected/NDOR1/NDOR1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
PTTG1IP	detail/rejected/PTTG1IP/PTTG1IP-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TSPY9	detail/rejected/TSPY9/TSPY9-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
WDR74	detail/rejected/WDR74/WDR74-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DAZ4	detail/rejected/DAZ4/DAZ4-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
KLHDC10	detail/rejected/KLHDC10/KLHDC10-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
GHDC	detail/rejected/GHDC/GHDC-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
STYX	detail/rejected/STYX/STYX-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
FAM9C	detail/rejected/FAM9C/FAM9C-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
LYRM4	detail/rejected/LYRM4/LYRM4-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
NTMT2	detail/rejected/NTMT2/NTMT2-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TATDN1	detail/rejected/TATDN1/TATDN1-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
WDR18	detail/rejected/WDR18/WDR18-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Ifi211	detail/rejected/Ifi211/Ifi211-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SHISA5	detail/rejected/SHISA5/SHISA5-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TRAK1	detail/rejected/TRAK1/TRAK1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Gm52993	detail/rejected/Gm52993/Gm52993-evaluation.md	49	899	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
KLHL20	detail/rejected/KLHL20/KLHL20-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
ELAC1	detail/rejected/ELAC1/ELAC1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
ELP5	detail/rejected/ELP5/ELP5-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TC2N	detail/rejected/TC2N/TC2N-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
SEPTIN12	detail/rejected/SEPTIN12/SEPTIN12-evaluation.md	49	902	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
NICN1	detail/rejected/NICN1/NICN1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TRIM68	detail/rejected/TRIM68/TRIM68-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
XRRA1	detail/rejected/XRRA1/XRRA1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TERB2	detail/rejected/TERB2/TERB2-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DGCR6L	detail/rejected/DGCR6L/DGCR6L-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
PRR19	detail/rejected/PRR19/PRR19-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Trap1a	detail/rejected/Trap1a/Trap1a-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
RUSC1	detail/rejected/RUSC1/RUSC1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
STPG1	detail/rejected/STPG1/STPG1-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TMC8	detail/rejected/TMC8/TMC8-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
TNKS1BP1	detail/rejected/TNKS1BP1/TNKS1BP1-evaluation.md	49	902	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
RAMACL	detail/rejected/RAMACL/RAMACL-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DNAAF4	detail/rejected/DNAAF4/DNAAF4-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
Sox19	detail/rejected/Sox19/Sox19-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
PPM1E	detail/rejected/PPM1E/PPM1E-evaluation.md	49	893	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
GARIN3	detail/rejected/GARIN3/GARIN3-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DUX3	detail/rejected/DUX3/DUX3-evaluation.md	49	890	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
DYNLT4	detail/rejected/DYNLT4/DYNLT4-evaluation.md	49	896	True	True	True	True	True	True	True	True	True	True	True	True	False	False	0	8	CRITICAL_FALSE_ABSENCE_RISK
