gene	action	canonical_path	stale_path	quarantine_path	canonical_exists	stale_exists_before	stale_exists_after	canonical_lines	stale_lines	reason
AAAS	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nuclear-envelope/AAAS/AAAS-evaluation.md	detail/rejected/AAAS/AAAS-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/AAAS	True	True	False	197	11	Pilot re-evaluation created scored report; old 11L template rejected is stale
AAMDC	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nucleoplasm/AAMDC/AAMDC-evaluation.md	detail/rejected/AAMDC/AAMDC-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/AAMDC	True	True	False	180	11	Pilot re-evaluation created scored report; old 11L template rejected is stale
AATF	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nucleoplasm/AATF/AATF-evaluation.md	detail/rejected/AATF/AATF-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/AATF	True	True	False	44	55	Pilot re-evaluation created scored report; old 55L template rejected is stale
ABITRAM	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nucleoplasm/ABITRAM/ABITRAM-evaluation.md	detail/rejected/ABITRAM/ABITRAM-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/ABITRAM	True	True	False	197	11	Pilot re-evaluation created scored report; old 11L template rejected is stale
ABLIM3	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nucleoplasm/ABLIM3/ABLIM3-evaluation.md	detail/rejected/ABLIM3/ABLIM3-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/ABLIM3	True	True	False	211	11	Pilot re-evaluation created scored report; old 11L template rejected is stale
ABRAXAS1	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md	detail/rejected/ABRAXAS1/ABRAXAS1-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/ABRAXAS1	True	True	False	207	11	Pilot re-evaluation created scored report; old 11L template rejected is stale
ABRAXAS2	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nucleus-cytoplasm/ABRAXAS2/ABRAXAS2-evaluation.md	detail/rejected/ABRAXAS2/ABRAXAS2-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/ABRAXAS2	True	True	False	222	11	Pilot re-evaluation created scored report; old 11L template rejected is stale
ABTB2	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nucleoplasm/ABTB2/ABTB2-evaluation.md	detail/rejected/ABTB2/ABTB2-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/ABTB2	True	True	False	207	11	Pilot re-evaluation created scored report; old 11L template rejected is stale
ABTB3	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nucleoplasm/ABTB3/ABTB3-evaluation.md	detail/rejected/ABTB3/ABTB3-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/ABTB3	True	True	False	184	11	Pilot re-evaluation created scored report; old 11L template rejected is stale
ACBD4	QUARANTINE_STALE_REJECTED_DUPLICATE	detail/nucleoplasm/ACBD4/ACBD4-evaluation.md	detail/rejected/ACBD4/ACBD4-evaluation.md	audit_work/quarantine/stale_duplicates_20260602_225513/ACBD4	True	True	False	195	11	Pilot re-evaluation created scored report; old 11L template rejected is stale
