gene	excel_sheets	has_report	report_paths	status	category	lines	chars	has_duplicate	coverage_status	reason
A1CF	?	True	detail/nucleoplasm/A1CF/A1CF-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AAAS	?	True	detail/rejected/AAAS/AAAS-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AAGAB	?	True	detail/nuclear-speckle/AAGAB/AAGAB-evaluation.md	COVERED_SCORED	nuclear-speckle	?	?	?	COVERED_SCORED	OK
AAMDC	?	True	detail/nucleoplasm/AAMDC/AAMDC-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AARS1	?	True	detail/nucleoplasm/AARS1/AARS1-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
AARSD1	?	True	detail/nuclear-envelope/AARSD1/AARSD1-evaluation.md	COVERED_SCORED	nuclear-envelope	?	?	?	COVERED_SCORED	OK
AASS	?	True	detail/rejected/AASS/AASS-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
AATF	?	True	detail/nucleolus/AATF/AATF-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ABI1	?	True	detail/rejected/ABI1/ABI1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ABI2	?	True	detail/rejected/ABI2/ABI2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ABITRAM	?	True	detail/nucleoplasm/ABITRAM/ABITRAM-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ABL1	?	True	detail/rejected/ABL1/ABL1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ABLIM2	?	True	detail/nucleoplasm/ABLIM2/ABLIM2-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ABLIM3	?	True	detail/nucleoplasm/ABLIM3/ABLIM3-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ABR	?	True	detail/rejected/ABR/ABR-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ABRACL	?	True	detail/rejected/ABRACL/ABRACL-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ABRAXAS1	?	True	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md	COVERED_SCORED	nuclear-body	?	?	?	COVERED_SCORED	OK
ABRAXAS2	?	True	detail/nucleus-cytoplasm/ABRAXAS2/ABRAXAS2-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
ABT1	?	True	detail/nucleolus/ABT1/ABT1-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ABTB1	?	True	detail/nucleolus/ABTB1/ABTB1-evaluation.md	COVERED_SCORED	nucleolus	?	?	?	COVERED_SCORED	OK
ABTB2	?	True	detail/nucleoplasm/ABTB2/ABTB2-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ABTB3	?	True	detail/rejected/ABTB3/ABTB3-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACACA	?	True	detail/rejected/ACACA/ACACA-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACADS	?	True	detail/rejected/ACADS/ACADS-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACAP3	?	True	detail/rejected/ACAP3/ACAP3-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACAT2	?	True	detail/rejected/ACAT2/ACAT2-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACBD4	?	True	detail/nucleoplasm/ACBD4/ACBD4-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ACBD6	?	True	detail/nucleus-cytoplasm/ACBD6/ACBD6-evaluation.md	COVERED_SCORED	nucleus-cytoplasm	?	?	?	COVERED_SCORED	OK
ACD	?	True	detail/rejected/ACD/ACD-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACIN1	?	True	detail/nucleoplasm/ACIN1/ACIN1-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ACLY	?	True	detail/rejected/ACLY/ACLY-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACOT12	?	True	detail/nucleoplasm/ACOT12/ACOT12-evaluation.md	COVERED_SCORED	nucleoplasm	?	?	?	COVERED_SCORED	OK
ACOX1	?	True	detail/rejected/ACOX1/ACOX1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACOXL	?	True	detail/rejected/ACOXL/ACOXL-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
ACP1	?	True	detail/rejected/ACP1/ACP1-evaluation.md	COVERED_REJECTED	rejected	?	?	?	COVERED_REJECTED	OK
