gene	in_original_recovery_plan	original_recommended_action	in_full_reevaluate_batches	batch_id	was_processed	current_report_path	current_status	current_lines	current_chars	processed_but_not_in_queue	should_have_been_skipped	reason
ABCA13	True	FULL_REEVALUATE	True	272	True	detail/rejected/ABCA13/ABCA13-evaluation.md	rejected	158	3830	False	False	Processed
ABCA17	True	FULL_REEVALUATE	True	272	True	detail/rejected/ABCA17/ABCA17-evaluation.md	rejected	155	3407	False	False	Processed
ABCA2	True	FULL_REEVALUATE	True	272	True	detail/rejected/ABCA2/ABCA2-evaluation.md	rejected	155	3396	False	False	Processed
ABCA3	True	FULL_REEVALUATE	True	272	True	detail/rejected/ABCA3/ABCA3-evaluation.md	rejected	155	3396	False	False	Processed
ACP4	True	FULL_REEVALUATE	True	1	True	detail/rejected/ACP4/ACP4-evaluation.md	rejected	154	5286	False	False	Processed
ADAM33	True	FULL_REEVALUATE	True	1	True	detail/rejected/ADAM33/ADAM33-evaluation.md	rejected	168	5439	False	False	Processed
ADAT3	True	FULL_REEVALUATE	True	1	True	detail/nucleoplasm/ADAT3/ADAT3-evaluation.md	scored	170	7174	False	False	Processed
ADPRHL1	True	FULL_REEVALUATE	True	1	True	detail/rejected/ADPRHL1/ADPRHL1-evaluation.md	rejected	148	6376	False	False	Processed
ADPRM	True	FULL_REEVALUATE	True	1	True	detail/nucleoplasm/ADPRM/ADPRM-evaluation.md	scored	163	4219	False	False	Processed
ADPRS	True	FULL_REEVALUATE	True	2	True	detail/nucleoplasm/ADPRS/ADPRS-evaluation.md	scored	218	9966	False	False	Processed
AFMID	True	FULL_REEVALUATE	True	2	True	detail/rejected/AFMID/AFMID-evaluation.md	rejected	173	6689	False	False	Processed
AGAP2	True	FULL_REEVALUATE	True	2	True	detail/nucleoplasm/AGAP2/AGAP2-evaluation.md	scored	218	9855	False	False	Processed
AGBL5	True	FULL_REEVALUATE	True	2	True	detail/nucleus-cytoplasm/AGBL5/AGBL5-evaluation.md	scored	217	10358	False	False	Processed
AGFG1	True	FULL_REEVALUATE	True	2	True	detail/nucleus-cytoplasm/AGFG1/AGFG1-evaluation.md	scored	220	11075	False	False	Processed
AGPAT4	True	FULL_REEVALUATE	True	3	True	detail/rejected/AGPAT4/AGPAT4-evaluation.md	rejected	114	4236	False	False	Processed
AGTPBP1	True	FULL_REEVALUATE	True	3	True	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	rejected	114	4323	False	False	Processed
AHCYL2	True	FULL_REEVALUATE	True	3	True	detail/nucleus-cytoplasm/AHCYL2/AHCYL2-evaluation.md	scored	164	5689	False	False	Processed
AIRIM	True	FULL_REEVALUATE	True	3	True	detail/rejected/AIRIM/AIRIM-evaluation.md	rejected	111	3586	False	False	Processed
AKAP6	True	FULL_REEVALUATE	True	3	True	detail/rejected/AKAP6/AKAP6-evaluation.md	rejected	129	4301	False	False	Processed
AKAP7	True	FULL_REEVALUATE	True	4	True	detail/nucleus-cytoplasm/AKAP7/AKAP7-evaluation.md	scored	143	4979	False	False	Processed
AKIP1	True	FULL_REEVALUATE	True	4	True	detail/rejected/AKIP1/AKIP1-evaluation.md	rejected	114	3699	False	False	Processed
AKIRIN1	True	FULL_REEVALUATE	True	4	True	detail/rejected/AKIRIN1/AKIRIN1-evaluation.md	rejected	122	4069	False	False	Processed
ALG14	True	FULL_REEVALUATE	True	4	True	detail/nucleolus/ALG14/ALG14-evaluation.md	scored	141	4523	False	False	Processed
ALG8	True	FULL_REEVALUATE	True	4	True	detail/rejected/ALG8/ALG8-evaluation.md	rejected	121	3900	False	False	Processed
ALKBH2	True	FULL_REEVALUATE	True	5	True	detail/rejected/ALKBH2/ALKBH2-evaluation.md	rejected	121	4636	False	False	Processed
ALKBH6	True	FULL_REEVALUATE	True	5	True	detail/rejected/ALKBH6/ALKBH6-evaluation.md	rejected	123	4330	False	False	Processed
AMDHD1	True	FULL_REEVALUATE	True	5	True	detail/nucleus-cytoplasm/AMDHD1/AMDHD1-evaluation.md	scored	142	4619	False	False	Processed
AMDHD2	True	FULL_REEVALUATE	True	5	True	detail/rejected/AMDHD2/AMDHD2-evaluation.md	rejected	120	4042	False	False	Processed
AMER1	True	FULL_REEVALUATE	True	5	True	detail/nuclear-body/AMER1/AMER1-evaluation.md	scored	146	5176	False	False	Processed
ANAPC10	True	FULL_REEVALUATE	True	6	True	detail/nucleoplasm/ANAPC10/ANAPC10-evaluation.md	scored	176	5361	False	False	Processed
ANAPC11	True	FULL_REEVALUATE	True	6	True	detail/nucleolus/ANAPC11/ANAPC11-evaluation.md	scored	181	5971	False	False	Processed
ANAPC13	True	FULL_REEVALUATE	True	6	True	detail/rejected/ANAPC13/ANAPC13-evaluation.md	rejected	179	5852	False	False	Processed
ANAPC2	True	FULL_REEVALUATE	True	6	True	detail/nucleoplasm/ANAPC2/ANAPC2-evaluation.md	scored	179	5845	False	False	Processed
ANAPC4	True	FULL_REEVALUATE	True	6	True	detail/nucleoplasm/ANAPC4/ANAPC4-evaluation.md	scored	181	6088	False	False	Processed
ANAPC5	True	FULL_REEVALUATE	True	7	True	detail/nucleoplasm/ANAPC5/ANAPC5-evaluation.md	scored	181	6112	False	False	Processed
ANAPC7	True	FULL_REEVALUATE	True	7	True	detail/nucleoplasm/ANAPC7/ANAPC7-evaluation.md	scored	182	6321	False	False	Processed
ANGEL1	True	FULL_REEVALUATE	True	7	True	detail/nucleoplasm/ANGEL1/ANGEL1-evaluation.md	scored	180	5879	False	False	Processed
ANGEL2	True	FULL_REEVALUATE	True	7	True	detail/nuclear-body/ANGEL2/ANGEL2-evaluation.md	scored	179	5838	False	False	Processed
ANKEF1	True	FULL_REEVALUATE	True	7	True	detail/nucleolus/ANKEF1/ANKEF1-evaluation.md	scored	178	5944	False	False	Processed
ANKFN1	True	FULL_REEVALUATE	True	8	True	detail/nucleoplasm/ANKFN1/ANKFN1-evaluation.md	scored	55	2852	False	False	Processed
ANKMY2	True	FULL_REEVALUATE	True	8	True	detail/nucleoplasm/ANKMY2/ANKMY2-evaluation.md	scored	55	2710	False	False	Processed
ANKRA2	True	FULL_REEVALUATE	True	8	True	detail/nucleoplasm/ANKRA2/ANKRA2-evaluation.md	scored	55	2835	False	False	Processed
ANKRD10	True	FULL_REEVALUATE	True	8	True	detail/nucleoplasm/ANKRD10/ANKRD10-evaluation.md	scored	55	2733	False	False	Processed
ANKRD12	True	FULL_REEVALUATE	True	8	True	detail/nucleoplasm/ANKRD12/ANKRD12-evaluation.md	scored	55	2872	False	False	Processed
ANKRD23	True	FULL_REEVALUATE	True	9	True	detail/nucleoplasm/ANKRD23/ANKRD23-evaluation.md	scored	55	3097	False	False	Processed
ANKRD30B	True	FULL_REEVALUATE	True	9	True	detail/nucleoplasm/ANKRD30B/ANKRD30B-evaluation.md	scored	55	2702	False	False	Processed
ANKRD34B	True	FULL_REEVALUATE	True	9	True	detail/nucleoplasm/ANKRD34B/ANKRD34B-evaluation.md	scored	55	2548	False	False	Processed
ANKRD36	True	FULL_REEVALUATE	True	9	True	detail/nucleoplasm/ANKRD36/ANKRD36-evaluation.md	scored	55	2834	False	False	Processed
ANKRD36B	True	FULL_REEVALUATE	True	9	True	detail/nucleoplasm/ANKRD36B/ANKRD36B-evaluation.md	scored	55	2762	False	False	Processed
ANKRD37	True	FULL_REEVALUATE	True	10	True	detail/nucleoplasm/ANKRD37/ANKRD37-evaluation.md	scored	55	2954	False	False	Processed
ANKRD54	True	FULL_REEVALUATE	True	10	True	detail/nucleoplasm/ANKRD54/ANKRD54-evaluation.md	scored	56	3118	False	False	Processed
ANKS1A	True	FULL_REEVALUATE	True	10	True	detail/nucleoplasm/ANKS1A/ANKS1A-evaluation.md	scored	56	3022	False	False	Processed
ANKS1B	True	FULL_REEVALUATE	True	10	True	detail/nucleoplasm/ANKS1B/ANKS1B-evaluation.md	scored	55	3708	False	False	Processed
ANKS3	True	FULL_REEVALUATE	True	10	True	detail/nucleoplasm/ANKS3/ANKS3-evaluation.md	scored	56	3768	False	False	Processed
ANKS4B	True	FULL_REEVALUATE	True	11	True	detail/nucleoplasm/ANKS4B/ANKS4B-evaluation.md	scored	176	5528	False	False	Processed
ANKS6	True	FULL_REEVALUATE	True	11	True	detail/nucleolus/ANKS6/ANKS6-evaluation.md	scored	180	5941	False	False	Processed
ANXA11	True	FULL_REEVALUATE	True	11	True	detail/nuclear-envelope/ANXA11/ANXA11-evaluation.md	scored	178	5268	False	False	Processed
ANXA13	True	FULL_REEVALUATE	True	11	True	detail/nucleoplasm/ANXA13/ANXA13-evaluation.md	scored	184	6056	False	False	Processed
ANXA5	True	FULL_REEVALUATE	True	11	True	detail/rejected/ANXA5/ANXA5-evaluation.md	rejected	182	5807	False	False	Processed
ANXA9	True	FULL_REEVALUATE	True	12	True	detail/nuclear-body/ANXA9/ANXA9-evaluation.md	scored	183	5714	False	False	Processed
AOPEP	True	FULL_REEVALUATE	True	12	True	detail/nucleolus/AOPEP/AOPEP-evaluation.md	scored	170	5389	False	False	Processed
AP3B1	True	FULL_REEVALUATE	True	12	True	detail/nuclear-envelope/AP3B1/AP3B1-evaluation.md	scored	173	5594	False	False	Processed
AP5B1	True	FULL_REEVALUATE	True	12	True	detail/nucleoplasm/AP5B1/AP5B1-evaluation.md	scored	180	5860	False	False	Processed
APBA1	True	FULL_REEVALUATE	True	12	True	detail/nucleoplasm/APBA1/APBA1-evaluation.md	scored	184	5942	False	False	Processed
APBB3	True	FULL_REEVALUATE	True	13	True	detail/nuclear-body/APBB3/APBB3-evaluation.md	scored	184	6225	False	False	Processed
APIP	True	FULL_REEVALUATE	True	13	True	detail/nucleoplasm/APIP/APIP-evaluation.md	scored	178	5607	False	False	Processed
APLF	True	FULL_REEVALUATE	True	13	True	detail/nucleoplasm/APLF/APLF-evaluation.md	scored	181	5940	False	False	Processed
ARFGAP1	True	FULL_REEVALUATE	True	13	True	detail/nuclear-envelope/ARFGAP1/ARFGAP1-evaluation.md	scored	178	5427	False	False	Processed
ARFIP2	True	FULL_REEVALUATE	True	13	True	detail/nucleolus/ARFIP2/ARFIP2-evaluation.md	scored	182	6190	False	False	Processed
ARID4A	True	FULL_REEVALUATE	True	14	True	detail/nucleoplasm/ARID4A/ARID4A-evaluation.md	scored	181	6017	False	False	Processed
ARIH1	True	FULL_REEVALUATE	True	14	True	detail/nuclear-body/ARIH1/ARIH1-evaluation.md	scored	182	6058	False	False	Processed
ARIH2	True	FULL_REEVALUATE	True	14	True	detail/nucleoplasm/ARIH2/ARIH2-evaluation.md	scored	180	5790	False	False	Processed
ARK2N	True	FULL_REEVALUATE	True	14	True	detail/nucleoplasm/ARK2N/ARK2N-evaluation.md	scored	175	5214	False	False	Processed
ARL14EP	True	FULL_REEVALUATE	True	14	True	detail/nucleolus/ARL14EP/ARL14EP-evaluation.md	scored	176	5667	False	False	Processed
ARL2BP	True	FULL_REEVALUATE	True	15	True	detail/nucleoplasm/ARL2BP/ARL2BP-evaluation.md	scored	180	5882	False	False	Processed
ARL6	True	FULL_REEVALUATE	True	15	True	detail/nucleoplasm/ARL6/ARL6-evaluation.md	scored	180	5380	False	False	Processed
ARMC8	True	FULL_REEVALUATE	True	15	True	detail/nucleus-cytoplasm/ARMC8/ARMC8-evaluation.md	scored	175	5648	False	False	Processed
