gene	path	status	lines	chars	has_yaml	has_hpa	has_uniprot_go	has_pubmed	has_structure	has_ppi	has_scoring_table	has_final_decision	has_packet_error_conclusion	has_one_line_no_nuclear_rejection	is_blocking_incomplete	reason
CAMKMT	detail/nucleolus/CAMKMT/CAMKMT-evaluation.md	scored	62	2793	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ADAT3	detail/nucleoplasm/ADAT3/ADAT3-evaluation.md	scored	169	7174	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
AGAP2	detail/nucleoplasm/AGAP2/AGAP2-evaluation.md	scored	217	9855	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKFN1	detail/nucleoplasm/ANKFN1/ANKFN1-evaluation.md	scored	54	2852	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKMY2	detail/nucleoplasm/ANKMY2/ANKMY2-evaluation.md	scored	54	2710	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRA2	detail/nucleoplasm/ANKRA2/ANKRA2-evaluation.md	scored	54	2835	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRD10	detail/nucleoplasm/ANKRD10/ANKRD10-evaluation.md	scored	54	2733	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRD12	detail/nucleoplasm/ANKRD12/ANKRD12-evaluation.md	scored	54	2872	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRD23	detail/nucleoplasm/ANKRD23/ANKRD23-evaluation.md	scored	54	3097	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRD30B	detail/nucleoplasm/ANKRD30B/ANKRD30B-evaluation.md	scored	54	2702	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRD34B	detail/nucleoplasm/ANKRD34B/ANKRD34B-evaluation.md	scored	54	2548	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRD36	detail/nucleoplasm/ANKRD36/ANKRD36-evaluation.md	scored	54	2834	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRD36B	detail/nucleoplasm/ANKRD36B/ANKRD36B-evaluation.md	scored	54	2762	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRD37	detail/nucleoplasm/ANKRD37/ANKRD37-evaluation.md	scored	54	2954	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKRD54	detail/nucleoplasm/ANKRD54/ANKRD54-evaluation.md	scored	55	3118	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKS1A	detail/nucleoplasm/ANKS1A/ANKS1A-evaluation.md	scored	55	3022	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKS1B	detail/nucleoplasm/ANKS1B/ANKS1B-evaluation.md	scored	54	3708	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
ANKS3	detail/nucleoplasm/ANKS3/ANKS3-evaluation.md	scored	55	3768	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
CCDC88A	detail/nucleoplasm/CCDC88A/CCDC88A-evaluation.md	scored	69	2956	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
CSNK2A3	detail/nucleoplasm/CSNK2A3/CSNK2A3-evaluation.md	scored	63	2896	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
TRIM63	detail/nucleoplasm/TRIM63/TRIM63-evaluation.md	scored	197	19854	False	True	True	True	True	True	False	True	True	False	True	Packet error/harvest failure appears in final report body
AGBL5	detail/nucleus-cytoplasm/AGBL5/AGBL5-evaluation.md	scored	216	10358	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
AGFG1	detail/nucleus-cytoplasm/AGFG1/AGFG1-evaluation.md	scored	219	11075	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
CABLES1	detail/nucleus-cytoplasm/CABLES1/CABLES1-evaluation.md	scored	65	2677	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
CABYR	detail/nucleus-cytoplasm/CABYR/CABYR-evaluation.md	scored	68	2718	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
CALML6	detail/nucleus-cytoplasm/CALML6/CALML6-evaluation.md	scored	68	2972	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
CCDC62	detail/nucleus-cytoplasm/CCDC62/CCDC62-evaluation.md	scored	62	2622	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
PKIG	detail/nucleus-cytoplasm/PKIG/PKIG-evaluation.md	scored	63	2836	True	True	True	True	True	True	True	False	False	False	False	Missing: Decision
AASS	detail/rejected/AASS/AASS-evaluation.md	rejected	19	273	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ABR	detail/rejected/ABR/ABR-evaluation.md	rejected	19	272	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ACADS	detail/rejected/ACADS/ACADS-evaluation.md	rejected	37	884	True	False	True	True	True	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,PPI
ACOX1	detail/rejected/ACOX1/ACOX1-evaluation.md	rejected	36	778	True	False	True	True	True	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,PPI
ADD1	detail/rejected/ADD1/ADD1-evaluation.md	rejected	19	273	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ADK	detail/rejected/ADK/ADK-evaluation.md	rejected	19	271	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ADNP	detail/rejected/ADNP/ADNP-evaluation.md	rejected	211	7122	True	False	True	True	True	True	True	True	False	False	False	Missing: HPA
ADRA1A	detail/rejected/ADRA1A/ADRA1A-evaluation.md	rejected	19	277	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AEN	detail/rejected/AEN/AEN-evaluation.md	rejected	19	271	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AFDN	detail/rejected/AFDN/AFDN-evaluation.md	rejected	19	274	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AGL	detail/rejected/AGL/AGL-evaluation.md	rejected	19	272	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AHRR	detail/rejected/AHRR/AHRR-evaluation.md	rejected	19	273	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AICDA	detail/rejected/AICDA/AICDA-evaluation.md	rejected	19	276	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AIM2	detail/rejected/AIM2/AIM2-evaluation.md	rejected	19	274	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AIMP2	detail/rejected/AIMP2/AIMP2-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AJUBA	detail/rejected/AJUBA/AJUBA-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AK6	detail/rejected/AK6/AK6-evaluation.md	rejected	41	1073	True	True	True	False	True	False	True	True	False	False	False	Thin rejected/backlog candidate; Missing: PubMed,PPI
AKT2	detail/rejected/AKT2/AKT2-evaluation.md	rejected	39	887	True	False	False	True	False	True	True	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,UniProt/GO,Structure
AKT3	detail/rejected/AKT3/AKT3-evaluation.md	rejected	39	887	True	False	False	True	False	True	True	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,UniProt/GO,Structure
ALMS1	detail/rejected/ALMS1/ALMS1-evaluation.md	rejected	19	276	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ALOX5	detail/rejected/ALOX5/ALOX5-evaluation.md	rejected	19	276	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ALOX5AP	detail/rejected/ALOX5AP/ALOX5AP-evaluation.md	rejected	19	279	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ALX4	detail/rejected/ALX4/ALX4-evaluation.md	rejected	19	273	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AMD1	detail/rejected/AMD1/AMD1-evaluation.md	rejected	19	273	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AMHR2	detail/rejected/AMHR2/AMHR2-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
ANXA10	detail/rejected/ANXA10/ANXA10-evaluation.md	rejected	19	277	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
AOX1	detail/rejected/AOX1/AOX1-evaluation.md	rejected	19	274	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
APAF1	detail/rejected/APAF1/APAF1-evaluation.md	rejected	19	277	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
APPL1	detail/rejected/APPL1/APPL1-evaluation.md	rejected	19	275	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
APRT	detail/rejected/APRT/APRT-evaluation.md	rejected	19	273	True	False	True	True	False	False	False	True	False	False	False	Thin rejected/backlog candidate; Missing: HPA,Structure,PPI
