gene_symbol	species	full_name	aliases	uniprot_accession	uniprot_entry_name	uniprot_length	uniprot_reviewed	uniprot_pubmed_count	pubmed_count_strict	pubmed_count_loose	citations	hotness	hpa_nuclear	hpa_locations	hpa_reliability	compartments_nuclear_score	compartments_nuclear_evidence	uniprot_subcellular	uniprot_all_gene_names	uniprot_go_c	uniprot_go_ids	tier	num_sources	evidence_quality	source_uniprot	source_hpa	source_compartments	category	category_reason	final_category	ChIP_Atlas_class	ChIP_Atlas_antigen	ChIP_Atlas_hg38	ChIP_Atlas_mm10	ENCODE_ChIP_WT	ENCODE_ChIP_pert	ATAC_perturbed	FP80_Degree	FP80_Nuclear_Degree	FP80_ChIP_Neighbor_Degree	FP90_Degree	FP90_Nuclear_Degree	FP90_ChIP_Neighbor_Degree	BioGRID_Human_Degree	BioGRID_Human_Nuclear_Degree	BioGRID_Human_ChIP_Neighbor_Degree	BioGRID_Mouse_Degree	BioGRID_Mouse_Nuclear_Degree	BioGRID_Mouse_ChIP_Neighbor_Degree	STRING_Human_Degree	STRING_Human_Nuclear_Degree	STRING_Human_ChIP_Neighbor_Degree	STRING_Mouse_Degree	STRING_Mouse_Nuclear_Degree	STRING_Mouse_ChIP_Neighbor_Degree	Combined_BS_Human_Degree	Combined_BS_Human_Nuclear_Degree	Combined_BS_Human_ChIP_Neighbor_Degree	Combined_BS_Mouse_Degree	Combined_BS_Mouse_Nuclear_Degree	Combined_BS_Mouse_ChIP_Neighbor_Degree	Has_FP80_PPI	Has_FP90_PPI	Has_BioGRID_Human_PPI	Has_BioGRID_Mouse_PPI	Has_STRING_Human_PPI	Has_STRING_Mouse_PPI	Has_Combined_BS_Human_PPI	Has_Combined_BS_Mouse_PPI	Has_Any_Human_PPI	Has_Any_Mouse_PPI	Has_Any_PPI
A1CF	human	APOBEC1 complementation factor	ACF;ASP	B4E1E3;Q9NQ94	A1CF_HUMAN	594	True	13	81	49329	81	热门	True	Nucleoplasm	Supported	5.000	UniProtKB;evidence=IDA;score=5.0;sources=HPA	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Endoplasmic reticulum {ECO:0000256|ARBA:ARBA00004240}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12881431, ECO:0000269|PubMed:24916387}. Endoplasmic reticulum {ECO:0000250}. Cytoplasm {ECO:0000269|PubMed:12881431}. Note=Predominantly nuclear where it localizes to heterochromatin. Also cytoplasmic where it is found at the outer surface of the endoplasmic reticulum (By similarity). Shuttles between the nucleus and cytoplasm. May be transported into the nucleus by the nuclear import protein TNPO2/TRN2 or by APOBEC1. {ECO:0000250}.	A1CF ACF ASP			1	3	3	True	True	True	families	family_Chromatin_remodeling	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	32	22	5	0	0	0	10	8	1	0	0	0	40	28	5	0	0	0	False	False	True	False	True	False	True	False	True	False	True
AAAS	human	Aladin	ADRACALA; GL003	Q9NRG9	AAAS_HUMAN	546	True	17	5645	5645	5645	热门	True	Centrosome; Cytosol; End piece; Nuclear membrane; Nucleoplasm	Supported	5.000	score=5.0; evidence=IDA; sources=HPA;UniProtKB	SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:19782045}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:26246606}. Nucleus envelope {ECO:0000269|PubMed:27754849}. Note=In metaphase cells localizes within the spindle with some accumulation around spindle poles, with the highest concentration between the centrosome and metaphase plate (PubMed:26246606). The localization to the spindle is microtubule-mediated (PubMed:26246606). {ECO:0000269|PubMed:26246606}.	AAAS ADRACALA GL003			1	3	3	True	True	True	families	family_Cell_cycle;family_DNA_replication;family_Nuclear_pore	families			WT:0/pert:0	WT:0/pert:0	0	0	False	4	4	2	2	2	1	156	82	21	0	0	0	36	35	9	0	0	0	184	109	27	0	0	0	True	True	True	False	True	False	True	False	True	True	True
AAMDC	human	Mth938 domain-containing protein	C11orf67; PTD015	Q9H7C9	AAMDC_HUMAN	122	True	5	6	8	6	中等	True	Cytosol; Nucleoplasm	Approved			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Note=Diffuse distribution with some highly concentrated spots around the nucleus. {ECO:0000250}.	AAMDC C11orf67 PTD015			1	2	3	True	True	False	families	family_DNA_repair	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	35	27	10	0	0	0	0	0	0	0	0	0	35	27	10	0	0	0	False	False	True	False	False	False	True	False	True	False	True
AARS1	human	Alanine--tRNA ligase, cytoplasmic	AARS	P49588	SYAC_HUMAN	968	True	35	80	1127	80	热门	False		Supported	5.000	score=5.0; evidence=IDA; sources=UniProtKB	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03133, ECO:0000269|PubMed:27911835, ECO:0000269|PubMed:38512451}. Nucleus {ECO:0000269|PubMed:38512451}. Note=Translocates to the nucleus in response to increased levels of lactate; nuclear translocation is dependent on KPNA4. {ECO:0000269|PubMed:38512451}.	AARS1 AARS			1	3	3	True	True	True	rbp_rnp_nonfamily	reclassified_from_RBP	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	3	2	1	1	1	1	0	0	0	0	0	0	56	33	3	0	0	0	56	33	3	0	0	0	True	True	False	False	True	False	True	False	True	True	True
AATF	human	Protein AATF	CHE1; DED; HSPC277	Q9NY61	AATF_HUMAN	560	True	18	169	4399	169	热门	True	Nucleoli; Nucleoplasm	Supported	5.000	score=5.0; evidence=IDA; sources=HPA;UniProtKB	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:34516797}.	AATF CHE1 DED HSPC277			1	3	3	True	True	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear	TFs and others	AATF	WT:3/pert:0	WT:0/pert:0	1	0	False	9	9	1	6	6	1	327	277	98	0	0	0	141	134	17	0	0	0	410	353	108	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ABCF1	human	ATP-binding cassette sub-family F member 1	A0A1U9X609;ABC50	A0A1U9X609;Q59F96;Q8NE71	ABCF1_HUMAN	845	True	19	81	83	81	热门	False		Enhanced	5.000	evidence=IDA;score=5.0;sources=UniProtKB	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Nucleus envelope {ECO:0000256|ARBA:ARBA00004259}. Nucleus, nucleoplasm {ECO:0000256|ARBA:ARBA00004642}.;SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:19570978}. Nucleus, nucleoplasm {ECO:0000269|PubMed:19570978}. Nucleus envelope {ECO:0000269|PubMed:19570978}.	ABCF1 ABC50			1	3	3	True	True	True	suspicious_nonfamily	reclassified_from_suspicious (Tier 1);merged_A0A1U9X609	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	5	5	2	2	2	1	197	157	58	0	0	0	47	32	2	0	0	0	241	187	59	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ABHD14B	human	Putative protein-lysine deacylase ABHD14B	ABHD14B;CIB;HEL-S-299;hCG_42593	B4DNR3;Q96IU4;V9HW87	ABHEB_HUMAN	210	True	9	18	4541	18	中等	True	Cytosol;Nucleoli;Nucleoplasm	Supported	5.000	UniProtKB;evidence=IDA;score=5.0;sources=HPA	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11053859, ECO:0000269|PubMed:14672934, ECO:0000269|PubMed:31478652}. Nucleus {ECO:0000269|PubMed:11053859, ECO:0000269|PubMed:14672934, ECO:0000269|PubMed:31478652}. Note=Predominantly cytoplasmic. {ECO:0000269|PubMed:14672934}.	ABHD14B CIB			1	3	3	True	True	True	unclassified_core_nuclear	core_nuclear_unclassified;merged_HEL-S-299	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	28	20	6	0	0	0	0	0	0	0	0	0	28	20	6	0	0	0	False	False	True	False	False	False	True	False	True	False	True
ABI1	human	Abl interactor 1	SSH3BP1	Q8IZP0	ABI1_HUMAN	508	True	25	642	642	642	热门	False		Approved			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cell projection, lamellipodium {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Postsynaptic density {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Localized to protruding lamellipodia and filopodia tips. Also localized to neuronal growth cones and synaptosomes. May shuttle from the postsynaptic densities to the nucleus (By similarity). {ECO:0000250}.	ABI1 SSH3BP1			1	2	3	True	True	False	suspicious_nonfamily	reclassified_from_suspicious (Tier 1)	unclassified_core_nuclear	TFs and others	ABI1	WT:1/pert:1	WT:0/pert:0	0	0	False	11	5	0	8	2	0	200	130	32	0	0	0	43	25	4	0	0	0	218	143	34	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ABI2	human	Abl interactor 2	ARGBPIA	Q9NYB9	ABI2_HUMAN	513	True	15	330	330	330	热门	True	Cytosol; Nucleoplasm; Vesicles	Supported	4.000	score=4.0; evidence=IDA; sources=HPA	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11516653, ECO:0000269|PubMed:7590236, ECO:0000269|PubMed:8649853}. Nucleus {ECO:0000269|PubMed:7590236}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell projection, lamellipodium {ECO:0000269|PubMed:11516653, ECO:0000269|PubMed:15572692}. Cell projection, filopodium {ECO:0000269|PubMed:11516653}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:15572692}. Cell junction, adherens junction {ECO:0000269|PubMed:15572692}. Note=Isoform 1 but not isoform 3 is localized to protruding lamellipodia and filopodia tips (PubMed:11516653, PubMed:15572692). Present at nascent adherens junctions, where it clusters adjacent to the tips of F-actin protrusions (PubMed:15572692). {ECO:0000269|PubMed:11516653, ECO:0000269|PubMed:15572692}.	ABI2 ARGBPIA			1	3	3	True	True	True	suspicious_nonfamily	reclassified_from_suspicious (Tier 1)	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	10	6	1	7	3	0	280	159	35	0	0	0	33	18	4	0	0	0	289	165	36	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ABITRAM	human	Protein Abitram	C9orf6; FAM206A	Q9NX38	ABITM_HUMAN	181	True	4	0	0	4	较少	True	Cytokinetic bridge; Cytosol; Kinetochore; Mitotic spindle; Nucleoplasm; Primary cilium; Primary cilium tip	Approved	3.000	score=3.0; evidence=IBA; sources=GO_Central	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q80ZQ9}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q80ZQ9}. Nucleus {ECO:0000250|UniProtKB:Q80ZQ9}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q80ZQ9}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q80ZQ9}. Note=Localizes to somata and dendrites in cortical neurons (By similarity). Colocalizes with G- and F-actin in lamellipodia (By similarity). Colocalizes in the nucleus with PTK2 (By similarity). {ECO:0000250|UniProtKB:Q80ZQ9}.	ABITRAM C9orf6 FAM206A			1	3	3	True	True	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	2	1	0	2	1	0	0	0	0	0	0	0	5	1	0	0	0	0	5	1	0	0	0	0	True	True	False	False	True	False	True	False	True	True	True
