gene	batch_id	current_path	current_status	current_lines	current_chars	was_in_recovery_master_queue	was_processed	was_committed	qa_pass	qa_fail_reason	old_status	new_status	old_score	new_score	needs_reharvest	harvest_completed	has_hpa	has_uniprot_go	has_pubmed_strict_broad	has_alphafold_plddt_pae	has_pdb_or_no_pdb_explanation	has_ppi	has_scoring_table	has_final_decision_reason	has_manual_review_note	has_forbidden_placeholders	has_packet_error_conclusion	has_one_line_no_nuclear_rejection	completion_status	reason
BCLAF1	1	detail/rejected/BCLAF1/BCLAF1-evaluation.md	rejected	181	6808	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=181 qa=False pkt=True
MIOS	1	detail/nucleoplasm/MIOS/MIOS-evaluation.md	scored	219	8631	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	False	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=219 qa=False pkt=True
MIS18A	1	detail/nucleoplasm/MIS18A/MIS18A-evaluation.md	scored	209	8151	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	False	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=209 qa=False pkt=True
MKKS	1	detail/rejected/MKKS/MKKS-evaluation.md	rejected	194	7760	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=194 qa=False pkt=True
MKLN1	1	detail/rejected/MKLN1/MKLN1-evaluation.md	rejected	209	8338	True	True	True	False		rejected	rejected	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=209 qa=False pkt=True
MLIP	2	detail/nuclear-envelope/MLIP/MLIP-evaluation.md	scored	188	5421	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	True	False	False	False	COMPLETE_PASS	lines=188 qa=False pkt=True
MLXIPL	2	detail/nucleoplasm/MLXIPL/MLXIPL-evaluation.md	scored	202	6371	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	True	False	False	False	COMPLETE_PASS	lines=202 qa=False pkt=True
MMS19	2	detail/nucleoplasm/MMS19/MMS19-evaluation.md	scored	207	6741	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=207 qa=False pkt=True
MMS22L	2	detail/nucleoplasm/MMS22L/MMS22L-evaluation.md	scored	203	6215	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=203 qa=False pkt=True
MNS1	2	detail/nuclear-speckle/MNS1/MNS1-evaluation.md	scored	211	6946	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=211 qa=False pkt=True
MOB1A	3	detail/nucleolus/MOB1A/MOB1A-evaluation.md	scored	199	6506	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=199 qa=False pkt=True
MOB1B	3	detail/nucleolus/MOB1B/MOB1B-evaluation.md	scored	199	6446	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=199 qa=False pkt=True
MOB2	3	detail/nucleolus/MOB2/MOB2-evaluation.md	scored	203	6326	True	True	True	False		rejected	scored	?	?	False	True	True	True	True	True	True	True	True	True	False	False	False	False	COMPLETE_BUT_NEEDS_MANUAL_REVIEW	lines=203 qa=False pkt=True
